,english,spanish,en_pos,es_pos
162,Don't come out of your room.,No salgas de tu habitación.,VERB ADV VERB ADP ADP DET NOUN PUNCT ,ADV VERB ADP DET NOUN PUNCT 
163,She looks younger than her age.,Ella parece más joven a comparación de la edad que tiene.,PRON VERB ADJ ADP DET NOUN PUNCT ,PRON AUX ADV ADJ ADP NOUN ADP DET NOUN PRON VERB PUNCT 
164,See you later.,Nos vemos después.,VERB PRON ADV PUNCT ,PRON VERB ADV PUNCT 
165,My ex-girlfriend appeared in my dream last night.,Mi ex-novia apareció en mis sueños ayer por la noche.,DET NOUN NOUN NOUN VERB ADP DET NOUN ADJ NOUN PUNCT ,DET ADJ PUNCT NOUN VERB ADP DET NOUN ADV ADP DET NOUN PUNCT 
166,Her eyes expressed her true feelings.,Sus ojos expresaron sus verdaderos sentimientos.,DET NOUN VERB DET ADJ NOUN PUNCT ,DET NOUN VERB DET ADJ NOUN PUNCT 
167,Tomorrow is a special day. ,Mañana es un día especial.,NOUN VERB DET ADJ NOUN PUNCT ,ADV AUX DET NOUN ADJ PUNCT 
168,"The highter a bird flies, the farther it can see.","Más alto vuela el pajaro, más lejos puede ver.",DET NOUN DET NOUN VERB PUNCT DET ADV PRON VERB VERB PUNCT ,ADV ADJ VERB DET NOUN PUNCT ADV ADV AUX VERB PUNCT 
169,How is the weather? ,¿Cómo está el clima?,ADV VERB DET NOUN PUNCT ,PUNCT PRON VERB DET NOUN PUNCT 
170,What's the date today? ,¿Qué fecha hoy?,PRON VERB DET NOUN NOUN PUNCT ,PUNCT DET NOUN ADV PUNCT 
171,Leave a message.,Déjame un mensaje.,VERB DET NOUN PUNCT ,VERB DET NOUN PUNCT 
172,No one can know the relationship between a man and a woman.,Nadie pueden saber la relación entre un hombre y una mujer.,DET NOUN VERB VERB DET NOUN ADP DET NOUN CCONJ DET NOUN PUNCT ,PRON AUX VERB DET NOUN ADP DET NOUN CONJ DET NOUN PUNCT 
173,There's no food left over.,No sobró comida.,ADV VERB DET NOUN VERB PART PUNCT ,ADV VERB NOUN PUNCT 
174,This is my younger brother.,Éste es mi hermano menor.,DET VERB DET ADJ NOUN PUNCT ,PRON AUX DET NOUN ADJ PUNCT 
175,"Generally speaking, a woman will live longer than a man.","Generalmente, la mujer vive más que el hombre.",ADV VERB PUNCT DET NOUN VERB VERB ADV ADP DET NOUN PUNCT ,ADV PUNCT DET NOUN VERB ADV SCONJ DET NOUN PUNCT 
176,She is looking for a family man.,Ella está buscando un hombre de hogar.,PRON VERB VERB ADP DET NOUN NOUN PUNCT ,PRON AUX VERB DET NOUN ADP NOUN PUNCT 
177,Which way is south?,¿En qué dirección está el Sur?,DET NOUN VERB ADJ PUNCT ,PUNCT ADP DET NOUN AUX DET PROPN PUNCT 
178,Hyean wants a perfect husband.,Hyean desea a marido perfecto.,PROPN VERB DET ADJ NOUN PUNCT ,PROPN VERB ADP NOUN ADJ PUNCT 
179,There were few male students in the class.,Había pocos estudiantes varones en la clase.,ADV VERB ADJ ADJ NOUN ADP DET NOUN PUNCT ,AUX DET NOUN ADJ ADP DET NOUN PUNCT 
180,Bats sleep during the day.,Los murciélagos duermen durante el día.,NOUN VERB ADP DET NOUN PUNCT ,DET NOUN NOUN ADP DET NOUN PUNCT 
181,Your grades are too low.,Tus grados son demasiado bajos.,DET NOUN VERB ADV ADJ PUNCT ,AUX NOUN AUX ADV ADJ PUNCT 
182,My wife gave birth to a son last night.,Mi esposa nació un hijo el ayer por la noche.,DET NOUN VERB NOUN ADP DET NOUN ADJ NOUN PUNCT ,DET NOUN VERB DET NOUN DET NOUN ADP DET NOUN PUNCT 
183,I'm going to get married next year.,Me voy a casar el próximo año. ,PRON VERB VERB PART VERB VERB ADJ NOUN PUNCT ,PRON AUX ADP VERB DET ADJ NOUN PUNCT 
184,Hand in your answer sheet.,Entreguen la hoja con las respuestas.,VERB ADP DET NOUN NOUN PUNCT ,VERB DET NOUN ADP DET NOUN PUNCT 
185,Go down the stairs carefully.,Bajar las escaleras cuidadosamente.,VERB ADP DET NOUN ADV PUNCT ,VERB DET NOUN ADV PUNCT 
186,It is more difficult to come down the mountain.,Es más difícil bajar las montañas.,PRON VERB ADV ADJ PART VERB ADP DET NOUN PUNCT ,AUX ADV ADJ VERB DET NOUN PUNCT 
187,Did you see the snow fall yesterday?,¿Ayer has visto caer la nieve?,VERB PRON VERB DET NOUN NOUN NOUN PUNCT ,PUNCT ADV AUX AUX VERB DET NOUN PUNCT 
188,Tomorrow is Monday. ,La mañana es lunes.,NOUN VERB PROPN PUNCT ,DET NOUN AUX NOUN PUNCT 
189,What is this smell?,¿Qué es este olor?,PRON VERB DET NOUN PUNCT ,PUNCT PRON AUX DET NOUN PUNCT 
190,That restaurant is famous for naengmyeon.,Ese restaurante es famoso por negmion.,DET NOUN VERB ADJ ADP NOUN PUNCT ,DET NOUN AUX ADJ ADP ADJ PUNCT 
191,I need a refrigerator for kimchi.,Necesito un refrigerador para el kimchi.,PRON VERB DET NOUN ADP NOUN PUNCT ,VERB DET NOUN ADP DET NOUN PUNCT 
192,I'll always be with you.,Estaré siempre contigo.,PRON AUX ADV VERB ADP PRON PUNCT ,VERB ADV VERB PUNCT 
193,The dress is too small for me.,El vestido es demasiado pequeño para mí.,DET NOUN VERB ADV ADJ ADP PRON PUNCT ,DET NOUN AUX ADV ADJ ADP PRON PUNCT 
194,She wants to live in a large house.,Ella desea vivir en una casa amplia.,PRON VERB PART VERB ADP DET ADJ NOUN PUNCT ,PRON VERB VERB ADP DET NOUN ADJ PUNCT 
195,Don’t  put  your hand in your pocket.,No poner tu mano en tu bolsillo.,VERB ADV SPACE VERB SPACE DET NOUN ADP DET NOUN PUNCT ,ADV VERB DET NOUN ADP DET NOUN PUNCT 
196,Did you go to school yesterday? - Yes.,¿Fuiste a la escuela ayer? - Sí.,VERB PRON VERB ADP NOUN NOUN PUNCT PUNCT INTJ PUNCT ,PUNCT VERB ADP DET NOUN ADV PUNCT PUNCT ADV PUNCT 
197,How about wearing another necktie?,¿Qué tal usar otra corbata?,ADV ADP VERB DET NOUN PUNCT ,PUNCT PRON AUX VERB DET NOUN PUNCT 
198,I go abroad twice a year.,Voy al extranjero dos veces al año.,PRON VERB ADV DET DET NOUN PUNCT ,VERB ADP NOUN NUM NOUN ADP NOUN PUNCT 
199,This yellow hat suits you well.,Este sombrero amarillo te queda bien.,DET ADJ NOUN VERB PRON ADV PUNCT ,DET NOUN ADJ PRON VERB ADV PUNCT 
200,We sang and danced  all night long.,Cantamos y bailamos toda la noche.,PRON VERB CCONJ VERB SPACE DET NOUN ADV PUNCT ,VERB CONJ VERB DET DET NOUN PUNCT 
201,I made an effort to smile in front of others.,Hice un esfuerzo para sonreír delante de otros.,PRON VERB DET NOUN PART VERB ADP NOUN ADP NOUN PUNCT ,VERB DET NOUN ADP VERB ADV ADP PRON PUNCT 
202,You can take notes in this lecture.,Puedes tomar notas en esta conferencia.,PRON VERB VERB NOUN ADP DET NOUN PUNCT ,PROPN VERB NOUN ADP DET NOUN PUNCT 
203,Let's play at the playground.,Juguemos en el patio.,VERB PRON VERB ADP DET NOUN PUNCT ,VERB ADP DET NOUN PUNCT 
204,I was surprised by her sudden death.,Fui sorprendido por su muerte repentina.,PRON VERB ADJ ADP DET ADJ NOUN PUNCT ,AUX ADJ ADP DET NOUN ADJ PUNCT 
205,What traditional Korean games are there?,¿Qué juegos coreanos tradicionales hay?,PRON ADJ ADJ NOUN VERB ADV PUNCT ,PUNCT DET NOUN ADJ ADJ AUX PUNCT 
206,No kidding!,¡Sin embromar!,DET NOUN PUNCT ,PUNCT ADP VERB PUNCT 
207,This building is really high!,¡Este edificio es realmente alto!,DET NOUN VERB ADV ADJ PUNCT ,PUNCT DET NOUN AUX ADV ADJ PUNCT 
208,Where do I put this box?,¿Dónde pongo esta caja?,ADV VERB PRON VERB DET NOUN PUNCT ,PUNCT PRON VERB DET NOUN PUNCT 
209,Who are you?,¿Quién es usted?,PRON VERB PRON PUNCT ,PUNCT PRON AUX PRON PUNCT 
210,My older sister looks like my mom.,Mi hermana mayor se parece a mi mamá.,DET ADJ NOUN VERB ADP DET NOUN PUNCT ,DET NOUN ADJ PRON VERB ADP DET NOUN PUNCT 
211,His eyes met mine on the street.,Sus ojos se econtraron con los mios en la calle.,DET NOUN VERB PRON ADP DET NOUN PUNCT ,DET NOUN PRON VERB ADP DET NOUN ADP DET NOUN PUNCT 
212,"As the snow melted, the roads became very slippery.",Los caminos están muy revaladizos porque la nieve se ha derretido.,ADP DET NOUN VERB PUNCT DET NOUN VERB ADV ADJ PUNCT ,DET NOUN AUX ADV ADJ SCONJ DET NOUN PRON AUX VERB PUNCT 
213,The teacher cried tears of joy after the students left.,El profesor derramó sus lágrimas de felicidad cuando sus alumnos se marcharon.,DET NOUN VERB NOUN ADP NOUN ADP DET NOUN VERB PUNCT ,DET NOUN VERB DET NOUN ADP NOUN SCONJ DET NOUN PRON VERB PUNCT 
214,He was lying on the bed reading a book.,Él estaba acostado en la cama leyendo un libro.,PRON VERB VERB ADP DET NOUN VERB DET NOUN PUNCT ,PRON AUX ADJ ADP DET NOUN VERB DET NOUN PUNCT 
215,What's the big news?,¿Cuál es la gran noticia?,PRON VERB DET ADJ NOUN PUNCT ,PUNCT PRON AUX DET ADJ NOUN PUNCT 
216,I suddenly felt a sharp pain in my chest.,Sentía repentinamente un dolor agudo en mi pecho.,PRON ADV VERB DET ADJ NOUN ADP DET NOUN PUNCT ,VERB NOUN DET NOUN VERB ADP DET NOUN PUNCT 
217,Is it always hot in Korea?,¿Corea es siempre caluroso?,VERB PRON ADV ADJ ADP PROPN PUNCT ,PUNCT PROPN AUX ADV ADJ PUNCT 
218,I won't wear this sweater again. It has stretched.,No usaré este suéter otra vez. Se estiró.,PRON AUX ADV VERB DET NOUN ADV PUNCT PRON VERB VERB PUNCT ,ADV VERB DET VERB DET NOUN PUNCT PRON VERB PUNCT 
219,Only one with special abilities can do this work.,Solamente uno con capacidades especiales puede hacer este trabajo.,ADV NUM ADP ADJ NOUN VERB VERB DET NOUN PUNCT ,ADV PRON ADP NOUN ADJ AUX VERB DET NOUN PUNCT 
220,Hurry up. We are going to be late.,Apúrate. Vamos a llegar tarde.,VERB PART PUNCT PRON VERB VERB PART VERB ADJ PUNCT ,PROPN PUNCT AUX ADP VERB ADV PUNCT 
221,The party was almost finished when we all arrived.,Cuando llegamos el partido estaba casi terminado.,DET NOUN VERB ADV VERB ADV PRON DET VERB PUNCT ,SCONJ VERB DET NOUN AUX ADV ADJ PUNCT 
222,Is it possible to go to Japan and get back in a day?,¿Es posible ir y volver a Japón en un solo día?,VERB PRON ADJ PART VERB ADP PROPN CCONJ VERB ADV ADP DET NOUN PUNCT ,PUNCT AUX ADJ VERB CONJ VERB ADP PROPN ADP DET ADJ NOUN PUNCT 
223,"When I was young, I used to go to a public bath.","Cuando era joven, solía ir a un baño público.",ADV PRON VERB ADJ PUNCT PRON VERB PART VERB ADP DET ADJ NOUN PUNCT ,SCONJ AUX ADJ PUNCT AUX VERB ADP DET NOUN ADJ PUNCT 
224,"Although they are twins, their personalities are totally different.","Aunque son gemelos, sus personalidades son totalmente diferentes.",ADP PRON VERB NOUN PUNCT DET NOUN VERB ADV ADJ PUNCT ,SCONJ AUX NOUN PUNCT DET NOUN AUX ADV ADJ PUNCT 
225,Who is the girl sitting with her legs crossed over there?,¿Quién es la muchacha que se sienta con las piernas cruzadas?,PRON VERB DET NOUN VERB ADP DET NOUN VERB ADV ADV PUNCT ,PUNCT PRON AUX DET NOUN PRON PRON VERB ADP DET NOUN ADJ PUNCT 
226,Let's cross the bridge.,Crucemos el puente.,VERB PRON VERB DET NOUN PUNCT ,VERB DET NOUN PUNCT 
227,I'll never do that again.,Nunca haré eso otra vez.,PRON AUX ADV VERB DET ADV PUNCT ,ADV VERB PRON DET NOUN PUNCT 
228,They offer various services.,Ofrecen varios servicios.,PRON VERB ADJ NOUN PUNCT ,VERB DET NOUN PUNCT 
229,When is the next flight?,¿Cuándo es el siguiente vuelo?,ADV VERB DET ADJ NOUN PUNCT ,PUNCT PRON AUX DET ADJ NOUN PUNCT 
230,How did you get hurt?,¿Cómo se lastimó?,ADV VERB PRON VERB VERB PUNCT ,PUNCT PRON PRON VERB PUNCT 
231,The player wiped the sweat off his face with a towel.,El jugador limpió el sudor de su cara con una toalla.,DET NOUN VERB DET NOUN ADP DET NOUN ADP DET NOUN PUNCT ,DET NOUN VERB DET NOUN ADP DET NOUN ADP DET NOUN PUNCT 
232,I don't even know these basic words.,Incluso no sé estas palabras básicas.,PRON VERB ADV ADV VERB DET ADJ NOUN PUNCT ,ADV ADV VERB DET NOUN ADJ PUNCT 
233,Close the window.,Cerrar la ventana.,VERB DET NOUN PUNCT ,VERB DET NOUN PUNCT 
234,When can we see a full moon this month?,¿Cuándo podemos ver la Luna Llena este mes?,ADV VERB PRON VERB DET ADJ NOUN DET NOUN PUNCT ,PUNCT PRON AUX VERB DET PROPN PROPN DET NOUN PUNCT 
235,This cake tastes sweet.,Esta torta sale dulce.,DET NOUN VERB ADJ PUNCT ,DET NOUN VERB NOUN PUNCT 
236,The world has changed a lot during the last ten years.,El mundo ha cambiado mucho durante estos diez años.,DET NOUN VERB VERB DET NOUN ADP DET ADJ NUM NOUN PUNCT ,DET NOUN AUX VERB ADV ADP DET NUM NOUN PUNCT 
237,Five hundred dollars a month.,Quinientos dólares por mes.,NUM NUM NOUN DET NOUN PUNCT ,NUM NOUN ADP NOUN PUNCT 
238,Mark your mother's birthday on the calendar.,Marque el cumpleaños de tu madre en el calendario.,VERB DET NOUN PART NOUN ADP DET NOUN PUNCT ,VERB DET NOUN ADP DET NOUN ADP DET NOUN PUNCT 
239,"Which came first, the chicken or the egg?","¿Qué vino primero, el pollo o el huevo?",DET VERB ADV PUNCT DET NOUN CCONJ DET NOUN PUNCT ,PUNCT PRON VERB ADJ PUNCT DET NOUN CONJ DET NOUN PUNCT 
240,Please look up a recipe for chicken soup on the internet.,"Por favor, busca por internet una receta para la sopa de carne de pollo.",INTJ VERB PART DET NOUN ADP NOUN NOUN ADP DET NOUN PUNCT ,ADP NOUN PUNCT VERB ADP NOUN DET NOUN ADP DET NOUN ADP NOUN ADP NOUN PUNCT 
241,Put this item in a bag.,Pon estos artículos en un bolso.,VERB DET NOUN ADP DET NOUN PUNCT ,NOUN DET NOUN ADP DET NOUN PUNCT 
242,How many cigarettes do you smoke a day?,¿Cuántos cigarrillos fumas en un día?,ADV ADJ NOUN VERB PRON VERB DET NOUN PUNCT ,PUNCT NOUN NOUN ADJ ADP DET NOUN PUNCT 
243,"Don't ask me, just answer.","No me preguntes, solo responde.",VERB ADV VERB PRON PUNCT ADV VERB PUNCT ,ADV PRON VERB PUNCT ADV VERB PUNCT 
244,Most of the article is false.,La mayor parte del artículo es falso.,ADJ ADP DET NOUN VERB ADJ PUNCT ,DET ADJ NOUN ADP NOUN AUX ADJ PUNCT 
245,Americans use forks instead of chopsticks.,Los americanos usan tenedores en vez de palillos.,PROPN VERB NOUN ADV ADP NOUN PUNCT ,DET NOUN VERB NOUN ADP NOUN ADP NOUN PUNCT 
246,Who was your favorite past president?,¿Quién fue tu presidente favorito?,PRON VERB DET ADJ ADJ NOUN PUNCT ,PUNCT PRON AUX DET NOUN ADJ PUNCT 
247,Which university do you want to go to?,¿A qué universidad deseas ir?,DET NOUN VERB PRON VERB PART VERB ADP PUNCT ,PUNCT ADP DET NOUN NOUN VERB PUNCT 
248,My girlfriend is an undergraduate who is four years younger than me.,Mi novia es una estudiante universitaria y es cuatro años menor que yo.,DET NOUN VERB DET NOUN PRON VERB NUM NOUN ADJ ADP PRON PUNCT ,DET NOUN AUX DET NOUN ADJ CONJ AUX NUM NOUN ADJ SCONJ PRON PUNCT 
249,"After a long talk, they decided to break up.","Después de que una charla larga, ellos decidieron cortar.",ADP DET ADJ NOUN PUNCT PRON VERB PART VERB PART PUNCT ,ADV ADP SCONJ DET NOUN ADJ PUNCT PRON VERB VERB PUNCT 
250,This is my teacher's house.,Ésta es la residencia de mi profesor.,DET VERB DET NOUN PART NOUN PUNCT ,PRON AUX DET NOUN ADP DET NOUN PUNCT 
251,Do you have anything more to say?,¿Tienes otra cosa más para decir?,VERB PRON VERB NOUN ADJ PART VERB PUNCT ,PUNCT VERB DET NOUN ADV ADP VERB PUNCT 
252,He threw the ball as far as he could.,Él lanzó la bola lo más alto que pudo.,PRON VERB DET NOUN ADV ADV ADP PRON VERB PUNCT ,PRON VERB DET NOUN DET ADV ADJ PRON VERB PUNCT 
253,Korea is very hot in the summer.,En Corea hace mucho calor en verano.,PROPN VERB ADV ADJ ADP DET NOUN PUNCT ,ADP PROPN AUX DET NOUN ADP NOUN PUNCT 
254,You should return those books to the library.,Debes devolver esos libros a la biblioteca.,PRON VERB VERB DET NOUN ADP DET NOUN PUNCT ,AUX VERB DET NOUN ADP DET NOUN PUNCT 
255,I don't like driving in the city.,No me gusta conducir en la ciudad.,PRON VERB ADV VERB VERB ADP DET NOUN PUNCT ,ADV PRON VERB VERB ADP DET NOUN PUNCT 
256,I need your help.,Necesito ayuda.,PRON VERB DET NOUN PUNCT ,VERB NOUN PUNCT 
257,The train will be arriving shortly.,El tren arrivará pronto.,DET NOUN VERB VERB VERB ADV PUNCT ,DET NOUN VERB ADV PUNCT 
258,Give me the money.,Dame el dinero.,VERB PRON DET NOUN PUNCT ,VERB DET NOUN PUNCT 
259,Turn right at the corner.,Dar vuelta a la derecha en la esquina.,VERB ADV ADP DET NOUN PUNCT ,VERB NOUN ADP DET NOUN ADP DET NOUN PUNCT 
260,Children are playing by spinning a top.,Los niños están jugando haciendo girar una peonza.,NOUN VERB VERB ADP VERB DET NOUN PUNCT ,DET NOUN AUX AUX AUX VERB DET NOUN PUNCT 
261,"Because we were lost, we had to go back the way we came.","Porque nos perdimos, tuvimos que regresar de la manera en que vinimos.",ADP PRON VERB VERB PUNCT PRON VERB PART VERB ADV DET NOUN PRON VERB PUNCT ,SCONJ PRON VERB PUNCT VERB SCONJ VERB ADP DET NOUN ADP PRON VERB PUNCT 
262,When is Dad coming back?,¿Cuándo vuelve papá?,ADV VERB PROPN VERB ADV PUNCT ,PUNCT PRON AUX VERB PUNCT 
263,Please help me!,¡Ayudenme por favor!,INTJ VERB PRON PUNCT ,PUNCT VERB ADP NOUN PUNCT 
264,A stranger was wandering through our village.,Un extranjero merodeaba a través de nuestra aldea.,DET NOUN VERB VERB ADP DET NOUN PUNCT ,DET NOUN VERB ADP NOUN ADP DET NOUN PUNCT 
265,He accidently found an unknown animal.,Él accidentalmente encontró un animal desconocido.,PRON ADV VERB DET ADJ NOUN PUNCT ,PRON ADV VERB DET NOUN ADJ PUNCT 
266,I am not on good terms with my younger brother(sister).,No estoy de buen humor con mi hermano (hermana) menor.,PRON VERB ADV ADP ADJ NOUN ADP DET ADJ NOUN PUNCT PUNCT ,ADV AUX ADP ADJ NOUN ADP DET NOUN PUNCT NOUN PUNCT ADJ PUNCT 
267,Take care while I'm gone.,Cuídate mientras no estoy.,VERB NOUN ADP PRON VERB VERB PUNCT ,PROPN SCONJ ADV AUX PUNCT 
268,The window of our house faces east.,La ventana de nuestra casa hace frente al Este.,DET NOUN ADP DET NOUN VERB ADV PUNCT ,DET NOUN ADP DET NOUN VERB ADV ADP PROPN PUNCT 
269,Koreans believe that dreams about pigs are the luckiest.,Los coreanos creen que los sueños sobre cerdos son los más afortunados.,PROPN VERB ADP VERB ADP NOUN VERB DET ADJ PUNCT ,DET NOUN VERB SCONJ DET NOUN ADP ADJ AUX DET ADV ADJ PUNCT 
270,Wine goes best with beef or pork.,El vino va bien con el bife o la carne de cerdo.,NOUN VERB ADV ADP NOUN CCONJ NOUN PUNCT ,DET NOUN VERB ADV ADP DET NOUN CONJ DET NOUN ADP NOUN PUNCT 
271,My parents wanted me to become a doctor.,Mis padres quisieron convertirme en doctor.,DET NOUN VERB PRON PART VERB DET NOUN PUNCT ,DET NOUN VERB ADV ADP NOUN PUNCT 
272,Put it on the desk.,Pónlo arriba del escritorio.,VERB PRON ADP DET NOUN PUNCT ,VERB ADV ADP NOUN PUNCT 
273,From the back I couldn't tell who he was.,Desde atrás no se podía reconocer quiénes eran.,ADP DET NOUN PRON AUX ADV VERB PRON PRON VERB PUNCT ,ADP ADV ADV PRON AUX VERB NOUN AUX PUNCT 
274,Do you give pocket money to your parents?,¿Les das dinero a tus padres?,VERB PRON VERB NOUN NOUN ADP DET NOUN PUNCT ,PUNCT DET VERB NOUN ADP NUM NOUN PUNCT 
275,"Please, listen to me.","Por favor, escúchame.",INTJ PUNCT VERB ADP PRON PUNCT ,ADP NOUN PUNCT VERB PUNCT 
276,It took me a lot of time to finish the work.,Me tomó mucho tiempo acabar con el trabajo.,PRON VERB PRON DET NOUN ADP NOUN PART VERB DET NOUN PUNCT ,PRON VERB DET NOUN VERB ADP DET NOUN PUNCT 
277,Raise your hand!,¡Levánta tu mano!,VERB DET NOUN PUNCT ,PUNCT PROPN DET NOUN PUNCT 
278,"Strange as it may sound, what I said was true.","Te puede sonar extraño, pero lo que yo dije era cierto.",ADJ ADP PRON VERB VERB PUNCT PRON PRON VERB VERB ADJ PUNCT ,PRON AUX VERB NOUN PUNCT CONJ DET PRON PRON VERB AUX ADJ PUNCT 
279,Do not enter!,¡No entrar!,VERB ADV VERB PUNCT ,PUNCT ADV VERB PUNCT 
280,Please come in. ,"Entre, por favor.",INTJ VERB PART PUNCT ,ADP PUNCT ADP NOUN PUNCT 
281,Carry the baby on your back.,Carga el niño en la espalda. ,VERB DET NOUN ADP DET NOUN PUNCT ,VERB DET NOUN ADP DET NOUN PUNCT 
282,Yesterday's weather was good for climbing.,Ayer hacía un lindo clima para ir a escalar. ,NOUN PART NOUN VERB ADJ ADP VERB PUNCT ,ADV VERB DET ADJ NOUN ADP AUX ADP VERB PUNCT 
283,It is warm today.,Hoy el clima es caluroso.,PRON VERB ADJ NOUN PUNCT ,ADV DET NOUN AUX ADJ PUNCT 
284,My husband wants to have a daughter.,Mi marido desea tener una hija.,DET NOUN VERB PART VERB DET NOUN PUNCT ,DET NOUN VERB VERB DET NOUN PUNCT 
285,This toothpaste is strawberry-flavored.,Pasta dental sabor a frutilla.,DET NOUN VERB ADV PUNCT VERB PUNCT ,NOUN ADJ NOUN ADP NOUN PUNCT 
286,Who does this land belong to?,¿De quién es esta Tierra?,PRON VERB DET NOUN VERB ADP PUNCT ,PUNCT ADP PRON AUX DET PROPN PUNCT 
287,She said she liked him the first time she met him.,Ella dijo que le gustó desde la primera vez en que lo vio.,PRON VERB PRON VERB PRON DET ADJ NOUN PRON VERB PRON PUNCT ,PRON VERB SCONJ PRON VERB ADP DET ADJ NOUN ADP PRON PRON VERB PUNCT 
288,It's all because of you.,Es toda debido a ti.,PRON VERB DET ADP ADP PRON PUNCT ,AUX DET ADJ ADP PRON PUNCT 
289,When are you leaving?,¿Cuándo te estás yendo?,ADV VERB PRON VERB PUNCT ,PUNCT PRON PRON AUX VERB PUNCT 
290,A good idea occurred to me.,Se me ocurrió una buena idea.,DET ADJ NOUN VERB ADP PRON PUNCT ,PRON PRON VERB DET ADJ NOUN PUNCT 
291,Have you ever tried this rice cake? It's delicious.,¿Has probado esta torta de arroz? Es deliciosa.,VERB PRON ADV VERB DET NOUN NOUN PUNCT PRON VERB ADJ PUNCT ,PUNCT ADV VERB DET NOUN ADP NOUN PUNCT AUX ADJ PUNCT 
292,Were you late for school again?,¿Llegaste a la escuela tarde otra vez?,VERB PRON ADJ ADP NOUN ADV PUNCT ,PUNCT VERB ADP DET NOUN ADV DET NOUN PUNCT 
293,I bought the same MP3 player as his.,Compré el mismo  MP3 que el suyo.,PRON VERB DET ADJ NOUN NOUN ADP DET PUNCT ,VERB DET DET SPACE PROPN SCONJ DET DET PUNCT 
294,Stand straight and speak clearly.,Estar parado recto y hablar correctamente.,VERB ADV CCONJ VERB ADV PUNCT ,AUX ADJ NOUN CONJ VERB ADV PUNCT 
295,You mean the girl running on the playground?,¿Te refieres a esa muchacha que esta corriendo en el campo de deportes?,PRON VERB DET NOUN VERB ADP DET NOUN PUNCT ,PUNCT DET NOUN ADP DET NOUN SCONJ DET VERB ADP DET NOUN ADP NOUN PUNCT 
296,Please give me some hot water.,Por favor deme un poco de agua caliente.,INTJ VERB PRON DET ADJ NOUN PUNCT ,ADP NOUN VERB DET PRON ADP NOUN ADJ PUNCT 
297,Do you know this word's meaning?,¿Sabes el significado de esta palabra?,VERB PRON VERB DET NOUN PART NOUN PUNCT ,PUNCT VERB DET NOUN ADP DET NOUN PUNCT 
298,Turn the radio on.,Girar la radio.,VERB DET NOUN PART PUNCT ,VERB DET NOUN PUNCT 
299,How about a bowl of ramen?,¿Cómo sobre un tazón de fuente de ramion?,ADV ADP DET NOUN ADP NOUN PUNCT ,PUNCT PRON ADP DET NOUN ADP NOUN ADP NOUN PUNCT 
300,I am going to Russia to learn ballet next year.,Voy a Rusia a aprender ballet clásico el año próximo.,PRON VERB VERB ADP PROPN PART VERB NOUN ADJ NOUN PUNCT ,AUX ADP PROPN ADP VERB NOUN ADJ DET NOUN ADJ PUNCT 
301,How many fishes did you catch?,¿Cuántos pescados cogiste?,ADV ADJ NOUN VERB PRON VERB PUNCT ,PUNCT NOUN ADJ ADJ PUNCT 
302,Can I get you something to drink?,¿Puedo conseguirte algo para beber?,VERB PRON VERB PRON NOUN PART VERB PUNCT ,PUNCT AUX ADV PRON ADP VERB PUNCT 
303,You may change your mind when you get to the sea.,Puedes cambiar de opinión cuando llegues al mar.,PRON VERB VERB DET NOUN ADV PRON VERB ADP DET NOUN PUNCT ,AUX VERB ADP NOUN SCONJ VERB ADP NOUN PUNCT 
304,It's the last day of this month.,Es el último día de este mes.,PRON VERB DET ADJ NOUN ADP DET NOUN PUNCT ,AUX DET ADJ NOUN ADP DET NOUN PUNCT 
305,It will take three days to finish this work.,Tomará tres días para acabar este trabajo.,PRON VERB VERB NUM NOUN PART VERB DET NOUN PUNCT ,VERB NUM NOUN ADP VERB DET NOUN PUNCT 
306,Don't stand there blocking the gateway.,No estar parado allí bloqueando la entrada.,VERB ADV VERB ADV VERB DET NOUN PUNCT ,ADV AUX ADJ ADV VERB DET NOUN PUNCT 
307,When would you like to meet?,¿Cúando nos podemos ver?,ADV VERB PRON VERB PART VERB PUNCT ,PUNCT VERB PRON AUX VERB PUNCT 
308,I am thinking about making a Valentine's day present myself.,Estoy pensando preparar yo mismo el regalo para San Valentín.,PRON VERB VERB ADP VERB DET PROPN PART NOUN VERB PRON PUNCT ,AUX AUX VERB PRON DET DET NOUN ADP PROPN PROPN PUNCT 
309,We have much in common.,Tenemos mucho en común.,PRON VERB ADJ ADP ADJ PUNCT ,VERB ADV ADP NOUN PUNCT 
310,Do you work out a lot?,¿Haces mucho deporte?,VERB PRON VERB PART DET NOUN PUNCT ,PUNCT VERB DET NOUN PUNCT 
311,Equus means horse in Latin.,Equus significa caballo en latín.,ADJ VERB NOUN ADP PROPN PUNCT ,ADV VERB NOUN ADP NOUN PUNCT 
312,Don't say that.,No diga eso.,VERB ADV VERB DET PUNCT ,ADV VERB PRON PUNCT 
313,Stop worrying and take a break.,Deja de preocuparte y descansa.,VERB VERB CCONJ VERB DET NOUN PUNCT ,AUX ADP NOUN CONJ VERB PUNCT 
314,You should have said it earlier.,Me lo hubiese dicho anteriormente.,PRON VERB VERB VERB PRON ADV PUNCT ,PRON PRON AUX VERB ADV PUNCT 
