,english,spanish,en_poss,en_tags,es_poss,es_tags
267,Take care while I'm gone.,Cuídate mientras no estoy.,VERB NOUN ADP PRON VERB VERB PUNCT ,VB NN IN PRP VBP VBN . ,VERB SCONJ ADV AUX PUNCT ,VBP IN RB VBP . 
268,The window of our house faces east.,La ventana de nuestra casa hace frente al Este.,DET NOUN ADP DET NOUN VERB ADV PUNCT ,DT NN IN PRP$ NN VBZ RB . ,DET NOUN ADP DET NOUN VERB NOUN ADP PROPN PUNCT ,DT NN IN PRP$ NN VBZ NN IN NNP . 
269,Koreans believe that dreams about pigs are the luckiest.,Los coreanos creen que los sueños sobre cerdos son los más afortunados.,PROPN VERB ADP NOUN ADP NOUN VERB DET ADJ PUNCT ,NNPS VBP IN NNS IN NNS VBP DT JJS . ,DET NOUN VERB SCONJ DET NOUN ADP NOUN AUX DET ADV ADJ PUNCT ,DT NNS VBP IN DT NNS IN NNS VBP DT RB VBN . 
270,Wine goes best with beef or pork.,El vino va bien con el bife o la carne de cerdo.,NOUN VERB ADV ADP NOUN CCONJ NOUN PUNCT ,NN VBZ RBS IN NN CC NN . ,DET NOUN VERB ADV ADP DET NOUN CCONJ DET NOUN ADP NOUN PUNCT ,DT NN VBZ RB IN DT NN CC DT NN IN NN . 
271,My parents wanted me to become a doctor.,Mis padres quisieron convertirme en doctor.,DET NOUN VERB PRON PART VERB DET NOUN PUNCT ,PRP$ NNS VBD PRP TO VB DT NN . ,DET NOUN VERB NOUN ADP NOUN PUNCT ,PRP$ NNS VBD NNP IN NN . 
272,Put it on the desk.,Pónlo arriba del escritorio.,VERB PRON ADP DET NOUN PUNCT ,VB PRP IN DT NN . ,PROPN ADV ADP NOUN PUNCT ,NNP RB IN NN . 
273,From the back I couldn't tell who he was.,Desde atrás no se podía reconocer quiénes eran.,ADP DET NOUN PRON AUX ADV VERB PRON PRON VERB PUNCT ,IN DT NN PRP MD RB VB WP PRP VBD . ,ADP ADV ADV PRON AUX VERB PRON AUX PUNCT ,IN RB RB PRP VBD TO VB WP VBD . 
274,Do you give pocket money to your parents?,¿Les das dinero a tus padres?,VERB PRON VERB NOUN NOUN ADP DET NOUN PUNCT ,VBP PRP VB NN NN IN PRP$ NNS . ,PUNCT PRON VERB NOUN ADP DET NOUN PUNCT ,. PRP VBP NN IN DT NNS . 
275,"Please, listen to me.","Por favor, escúchame.",INTJ PUNCT VERB ADP PRON PUNCT ,"UH , VB IN PRP . ",ADP NOUN PUNCT VERB PUNCT ,"IN NNP , VBZ . "
276,It took me a lot of time to finish the work.,Me tomó mucho tiempo acabar con el trabajo.,PRON VERB PRON DET NOUN ADP NOUN PART VERB DET NOUN PUNCT ,PRP VBD PRP DT NN IN NN TO VB DT NN . ,PRON VERB DET NOUN VERB ADP DET NOUN PUNCT ,PRP VBD DT NN TO VB IN DT NN . 
277,Raise your hand!,¡Levánta tu mano!,VERB DET NOUN PUNCT ,VB PRP$ NN . ,PUNCT PROPN DET NOUN PUNCT ,. NNP PRP$ NN . 
278,"Strange as it may sound, what I said was true.","Te puede sonar extraño, pero lo que yo dije era cierto.",ADJ ADP PRON VERB VERB PUNCT PRON PRON VERB VERB ADJ PUNCT ,"JJ IN PRP MD VB , WP PRP VBD VBD JJ . ",PRON AUX VERB ADJ PUNCT CCONJ DET PRON PRON VERB AUX ADJ PUNCT ,"PRP VBZ TO VB JJ , CC DT DT PRP VBD VBD JJ . "
279,Do not enter!,¡No entrar!,VERB ADV VERB PUNCT ,VBP RB VB . ,PUNCT ADV VERB PUNCT ,. RB TO VB . 
280,Please come in. ,"Entre, por favor.",INTJ VERB PART PUNCT ,UH VB RP . ,ADP PUNCT ADP NOUN PUNCT ,"IN , IN NNP . "
281,Carry the baby on your back.,Carga el niño en la espalda. ,VERB DET NOUN ADP DET NOUN PUNCT ,VB DT NN IN PRP$ NN . ,NOUN DET NOUN ADP DET NOUN PUNCT ,NN DT NN IN DT NN . 
282,Yesterday's weather was good for climbing.,Ayer hacía un lindo clima para ir a escalar. ,NOUN PART NOUN VERB ADJ ADP VERB PUNCT ,NN POS NN VBD JJ IN VBG . ,ADV VERB DET ADJ NOUN ADP AUX ADP VERB PUNCT ,RB VBD DT JJ NN IN TO VB IN TO VB . 
283,It is warm today.,Hoy el clima es caluroso.,PRON VERB ADJ NOUN PUNCT ,PRP VBZ JJ NN . ,ADV DET NOUN AUX ADJ PUNCT ,RB DT NN VBZ JJ . 
284,My husband wants to have a daughter.,Mi marido desea tener una hija.,DET NOUN VERB PART VERB DET NOUN PUNCT ,PRP$ NN VBZ TO VB DT NN . ,DET NOUN VERB VERB DET NOUN PUNCT ,PRP$ NN VBZ TO VB DT NN . 
285,This toothpaste is strawberry-flavored.,Pasta dental sabor a frutilla.,DET NOUN VERB NOUN PUNCT VERB PUNCT ,DT NN VBZ NN HYPH VBN . ,PROPN ADJ NOUN ADP NOUN PUNCT ,NNP JJ NN IN NN . 
286,Who does this land belong to?,¿De quién es esta Tierra?,PRON VERB DET NOUN VERB ADP PUNCT ,WP VBZ DT NN VB IN . ,PUNCT ADP PRON AUX DET PROPN PUNCT ,. IN WP VBZ DT NNP . 
287,She said she liked him the first time she met him.,Ella dijo que le gustó desde la primera vez en que lo vio.,PRON VERB PRON VERB PRON DET ADJ NOUN PRON VERB PRON PUNCT ,PRP VBD PRP VBD PRP DT JJ NN PRP VBD PRP . ,PRON VERB SCONJ PRON VERB ADP DET ADJ NOUN ADP PRON PRON VERB PUNCT ,PRP VBD IN PRP VBD IN DT JJ NN IN DT PRP VBD . 
288,It's all because of you.,Es toda debido a ti.,PRON VERB ADV ADP ADP PRON PUNCT ,PRP VBZ RB IN IN PRP . ,AUX DET ADJ ADP PRON PUNCT ,VBZ DT JJ IN PRP . 
289,When are you leaving?,¿Cuándo te estás yendo?,ADV VERB PRON VERB PUNCT ,WRB VBP PRP VBG . ,PUNCT PRON PRON AUX VERB PUNCT ,. WDT PRP VBP VBG . 
290,A good idea occurred to me.,Se me ocurrió una buena idea.,DET ADJ NOUN VERB ADP PRON PUNCT ,DT JJ NN VBD IN PRP . ,PRON PRON VERB DET ADJ NOUN PUNCT ,PRP PRP VBD DT JJ NN . 
291,Have you ever tried this rice cake? It's delicious.,¿Has probado esta torta de arroz? Es deliciosa.,VERB PRON ADV VERB DET NOUN NOUN PUNCT PRON VERB ADJ PUNCT ,VBP PRP RB VBN DT NN NN . PRP VBZ JJ . ,PUNCT AUX VERB DET NOUN ADP NOUN PUNCT AUX ADJ PUNCT ,. VBP VBN DT NN IN NN . VBZ JJ . 
292,Were you late for school again?,¿Llegaste a la escuela tarde otra vez?,VERB PRON ADJ ADP NOUN ADV PUNCT ,VBD PRP JJ IN NN RB . ,PUNCT VERB ADP DET NOUN ADV DET NOUN PUNCT ,. VBP IN DT NN RB DT NN . 
293,I bought the same MP3 player as his.,Compré el mismo  MP3 que el suyo.,PRON VERB DET ADJ NOUN NOUN ADP PRON PUNCT ,PRP VBD DT JJ NN NN IN PRP . ,VERB DET DET SPACE PROPN SCONJ DET DET PUNCT ,VBD DT DT _SP NNP IN DT PRP$ . 
294,Stand straight and speak clearly.,Estar parado recto y hablar correctamente.,VERB ADV CCONJ VERB ADV PUNCT ,VB RB CC VB RB . ,AUX ADJ ADJ CCONJ VERB ADV PUNCT ,TO VB JJ JJ CC TO VB RB . 
295,You mean the girl running on the playground?,¿Te refieres a esa muchacha que esta corriendo en el campo de deportes?,PRON VERB DET NOUN VERB ADP DET NOUN PUNCT ,PRP VBP DT NN VBG IN DT NN . ,PUNCT PRON VERB ADP DET NOUN PRON DET VERB ADP DET NOUN ADP NOUN PUNCT ,. PRP VBP IN DT NN DT DT VBG IN DT NN IN NNS . 
296,Please give me some hot water.,Por favor deme un poco de agua caliente.,INTJ VERB PRON DET ADJ NOUN PUNCT ,UH VB PRP DT JJ NN . ,ADP NOUN NOUN DET PRON ADP NOUN ADJ PUNCT ,IN NNP NN DT DT IN NN JJ . 
297,Do you know this word's meaning?,¿Sabes el significado de esta palabra?,VERB PRON VERB DET NOUN PART NOUN PUNCT ,VBP PRP VB DT NN POS NN . ,PUNCT VERB DET NOUN ADP DET NOUN PUNCT ,. VBP DT NN IN DT NN . 
298,Turn the radio on.,Girar la radio.,VERB DET NOUN ADP PUNCT ,VB DT NN IN . ,VERB DET NOUN PUNCT ,TO VB DT NN . 
299,How about a bowl of ramen?,¿Cómo sobre un tazón de fuente de ramion?,ADV ADP DET NOUN ADP NOUN PUNCT ,WRB IN DT NN IN NNS . ,PUNCT PRON ADP DET NOUN ADP NOUN ADP NOUN PUNCT ,. WDT IN DT NN IN NN IN NN . 
300,I am going to Russia to learn ballet next year.,Voy a Rusia a aprender ballet clásico el año próximo.,PRON VERB VERB ADP PROPN PART VERB NOUN ADJ NOUN PUNCT ,PRP VBP VBG IN NNP TO VB NN JJ NN . ,VERB ADP PROPN ADP VERB NOUN ADJ DET NOUN ADJ PUNCT ,VBP IN NNP IN TO VB NN JJ DT NNP JJ . 
301,How many fishes did you catch?,¿Cuántos pescados cogiste?,ADV ADJ NOUN VERB PRON VERB PUNCT ,WRB JJ NNS VBD PRP VB . ,PUNCT DET NOUN PRON PUNCT ,. DT NNS DT . 
302,Can I get you something to drink?,¿Puedo conseguirte algo para beber?,VERB PRON VERB PRON NOUN PART VERB PUNCT ,MD PRP VB PRP NN TO VB . ,PUNCT AUX VERB PRON ADP VERB PUNCT ,. VBP TO VB NN IN TO VB . 
303,You may change your mind when you get to the sea.,Puedes cambiar de opinión cuando llegues al mar.,PRON VERB VERB DET NOUN ADV PRON VERB ADP DET NOUN PUNCT ,PRP MD VB PRP$ NN WRB PRP VBP IN DT NN . ,AUX VERB ADP NOUN SCONJ VERB ADP NOUN PUNCT ,VBP TO VB IN NN IN VBP IN NN . 
304,It's the last day of this month.,Es el último día de este mes.,PRON VERB DET ADJ NOUN ADP DET NOUN PUNCT ,PRP VBZ DT JJ NN IN DT NN . ,AUX DET ADJ NOUN ADP DET NOUN PUNCT ,VBZ DT JJ NN IN DT NN . 
305,It will take three days to finish this work.,Tomará tres días para acabar este trabajo.,PRON VERB VERB NUM NOUN PART VERB DET NOUN PUNCT ,PRP MD VB CD NNS TO VB DT NN . ,VERB NUM NOUN ADP VERB DET NOUN PUNCT ,MD VB CD NNS IN TO VB DT NN . 
306,Don't stand there blocking the gateway.,No estar parado allí bloqueando la entrada.,VERB ADV VERB ADV VERB DET NOUN PUNCT ,VB RB VB RB VBG DT NN . ,ADV AUX ADJ ADV VERB DET NOUN PUNCT ,RB TO VB JJ RB VBG DT NN . 
307,When would you like to meet?,¿Cúando nos podemos ver?,ADV VERB PRON VERB PART VERB PUNCT ,WRB MD PRP VB TO VB . ,PUNCT VERB PRON AUX VERB PUNCT ,. VBG PRP VBP TO VB . 
308,I am thinking about making a Valentine's day present myself.,Estoy pensando preparar yo mismo el regalo para San Valentín.,PRON VERB VERB ADP VERB DET PROPN PART NOUN VERB PRON PUNCT ,PRP VBP VBG IN VBG DT NNP POS NN VB PRP . ,AUX AUX VERB PRON DET DET NOUN ADP PROPN PROPN PUNCT ,VBP VBG TO VB PRP DT DT NN IN NNP NNP . 
309,We have much in common.,Tenemos mucho en común.,PRON VERB ADJ ADP ADJ PUNCT ,PRP VBP JJ IN JJ . ,VERB ADV ADP NOUN PUNCT ,VBP RB IN NNP . 
310,Do you work out a lot?,¿Haces mucho deporte?,VERB PRON VERB PART DET NOUN PUNCT ,VBP PRP VB RP DT NN . ,PUNCT VERB DET NOUN PUNCT ,. VBP DT NN . 
311,Equus means horse in Latin.,Equus significa caballo en latín.,PROPN VERB NOUN ADP PROPN PUNCT ,NNP VBZ NN IN NNP . ,PROPN VERB NOUN ADP NOUN PUNCT ,NNP VBZ NN IN NN . 
312,Don't say that.,No diga eso.,VERB ADV VERB DET PUNCT ,VB RB VB DT . ,ADV VERB PRON PUNCT ,RB VBZ DT . 
313,Stop worrying and take a break.,Deja de preocuparte y descansa.,VERB ADJ CCONJ VERB DET NOUN PUNCT ,VB JJ CC VB DT NN . ,VERB ADP NOUN CCONJ NOUN PUNCT ,VBZ IN NN CC NN . 
314,You should have said it earlier.,Me lo hubiese dicho anteriormente.,PRON VERB VERB VERB PRON ADV PUNCT ,PRP MD VB VBD PRP RBR . ,PRON PRON AUX VERB ADV PUNCT ,PRP PRP VBD VBN RB . 
315,It is good to live where the water and air are clear.,Es bueno vivir en un ambiente donde el agua y el aire son puros. ,PRON VERB ADJ PART VERB ADV DET NOUN CCONJ NOUN VERB ADJ PUNCT ,PRP VBZ JJ TO VB WRB DT NN CC NN VBP JJ . ,AUX ADJ VERB ADP DET NOUN PRON DET NOUN CCONJ DET NOUN AUX ADJ PUNCT ,VBZ JJ TO VB IN DT NN DT DT NN CC DT NN VBP JJ . 
316,How's the taste?,¿Cómo es el sabor?,ADV VERB DET NOUN PUNCT ,WRB VBZ DT NN . ,PUNCT PRON AUX DET NOUN PUNCT ,. WDT VBZ DT NN . 
317,"If you let the ramen sit for too long, it tastes bad.","Si dejas el ramion por mucho tiempo, tiene mal gusto. ",ADP PRON VERB DET NOUN VERB ADP ADV ADV PUNCT PRON VERB ADJ PUNCT ,"IN PRP VBP DT NNS VB IN RB RB , PRP VBZ JJ . ",SCONJ VERB DET NOUN ADP DET NOUN PUNCT VERB ADV NOUN PUNCT ,"IN VBP DT NN IN DT NN , VBZ RB NN . "
318,How delicious!,¡Qué delicioso!,ADV ADJ PUNCT ,WRB JJ . ,PUNCT INTJ ADJ PUNCT ,. UH JJ . 
319,The correct answer is number 3.,La respuesta correcta es el número 3.,DET ADJ NOUN VERB NOUN NUM PUNCT ,DT JJ NN VBZ NN CD . ,DET NOUN ADJ AUX DET NOUN NUM PUNCT ,DT NN JJ VBZ DT NN CD . 
320,Did you adjust the clock to Korean time?,¿Ajustaste el reloj al tiempo coreano?,VERB PRON VERB DET NOUN ADP ADJ NOUN PUNCT ,VBD PRP VB DT NN IN JJ NN . ,PUNCT VERB DET NOUN ADP NOUN ADJ PUNCT ,. VBD DT NN IN NN JJ . 
321,I guessed two questions correctly.,Respondí las dos preguntas correctamente.,PRON VERB NUM NOUN ADV PUNCT ,PRP VBD CD NNS RB . ,VERB DET NUM NOUN ADV PUNCT ,VBD DT CD NNS RB . 
322,I'll take care of this job.,Yo me haré cargo de este trabajo.,PRON AUX VERB NOUN ADP DET NOUN PUNCT ,PRP MD VB NN IN DT NN . ,PRON PRON VERB NOUN ADP DET NOUN PUNCT ,PRP PRP MD VB NN IN DT NN . 
323,It's very cold.,Es muy frío.,PRON VERB ADV ADJ PUNCT ,PRP VBZ RB JJ . ,AUX ADV ADJ PUNCT ,VBZ RB JJ . 
324,I have breakfast everyday.,Desayuno diario.,PRON VERB NOUN ADV PUNCT ,PRP VBP NN RB . ,ADJ NOUN PUNCT ,JJ NN . 
325,I'll have a beer.,Tomaré una cerveza.,PRON AUX VERB DET NOUN PUNCT ,PRP MD VB DT NN . ,VERB DET NOUN PUNCT ,VBD DT NN . 
326,Spicy and salty foods are not good for the body.,Los alimentos picantes y salados no son buenos para el cuerpo.,ADJ CCONJ ADJ NOUN VERB ADV ADJ ADP DET NOUN PUNCT ,JJ CC JJ NNS VBP RB JJ IN DT NN . ,DET NOUN ADJ CCONJ ADJ ADV AUX ADJ ADP DET NOUN PUNCT ,DT NNS JJ CC VBN RB VBP JJ IN DT NN . 
327,My hair has been falling out since I got hit on the head.,Mi pelo ha estado cayendo desde que me di un golpe en la cabeza.,DET NOUN VERB VERB VERB PART ADP PRON VERB VERB ADP DET NOUN PUNCT ,PRP$ NN VBZ VBN VBG RP IN PRP VBD VBN IN DT NN . ,DET NOUN AUX AUX VERB ADP SCONJ PRON VERB DET NOUN ADP DET NOUN PUNCT ,PRP$ NN VBZ VBN VBG IN IN PRP VBD DT NN IN DT NN . 
328,I can't eat anymore.,No puedo comer más.,PRON AUX ADV VERB ADV PUNCT ,PRP MD RB VB RB . ,ADV AUX VERB ADV PUNCT ,RB VBP TO VB RB . 
329,Go first.,Ve primero. ,VERB ADV PUNCT ,VB RB . ,VERB ADV PUNCT ,VBZ RB . 
330,It's not far from here.,No está lejos de aquí.,PRON VERB ADV ADV ADP ADV PUNCT ,PRP VBZ RB RB IN RB . ,ADV AUX ADV ADP ADV PUNCT ,RB VBZ RB IN RB . 
331,No problem. She can't hear me because she's far away.,Está todo bien. Ella no puede oirme porque está lejos de aquí.,DET NOUN PUNCT PRON AUX ADV VERB PRON ADP PRON VERB ADV ADV PUNCT ,DT NN . PRP MD RB VB PRP IN PRP VBZ RB RB . ,AUX PRON ADV PUNCT PRON ADV AUX VERB SCONJ AUX ADV ADP ADV PUNCT ,VBZ DT RB . PRP RB VBZ TO VB IN VBZ RB IN RB . 
332,Here's the menu.,Aquí está el menú.,ADV VERB DET NOUN PUNCT ,RB VBZ DT NN . ,ADV VERB DET NOUN PUNCT ,RB VBZ DT NN . 
333,"Do you know when he left here? - Well, I think a few days ago.","¿Sabes cuando él se fue aquí? - No lo sé, pero  pienso que fue hace algunos días atrás.",VERB PRON VERB ADV PRON VERB ADV PUNCT PUNCT INTJ PUNCT PRON VERB DET ADJ NOUN ADV PUNCT ,"VBP PRP VB WRB PRP VBD RB . : UH , PRP VBP DT JJ NNS RB . ",PUNCT VERB SCONJ PRON PRON AUX ADV PUNCT PUNCT ADV PRON VERB PUNCT CCONJ SPACE VERB SCONJ AUX AUX DET NOUN ADV PUNCT ,". VBP IN PRP PRP VBD RB . SYM RB PRP VBP , CC _SP VBP IN VBD VBZ DT NNS RB . "
334,There are two girls there.,Hay dos muchachas allí.,ADV VERB NUM NOUN ADV PUNCT ,EX VBP CD NNS RB . ,AUX NUM NOUN ADV PUNCT ,VBZ CD NNS RB . 
335,I have several questions. How old are you? How many brothers do you have?,Tengo varias preguntas. ¿Qué edad tienes? ¿Cuántos hermanos tienes?,PRON VERB ADJ NOUN PUNCT ADV ADJ VERB PRON PUNCT ADV ADJ NOUN VERB PRON VERB PUNCT ,PRP VBP JJ NNS . WRB JJ VBP PRP . WRB JJ NNS VBP PRP VB . ,VERB DET NOUN PUNCT PUNCT DET NOUN VERB PUNCT PUNCT DET NOUN VERB PUNCT ,VBP DT NNS . . WDT NN VBP . . DT NNS VBP . 
336,This time is a good chance to get all together.,Esta vez es una buena ocasión de estar todos juntos.,DET NOUN VERB DET ADJ NOUN PART VERB ADV ADV PUNCT ,DT NN VBZ DT JJ NN TO VB RB RB . ,DET NOUN AUX DET ADJ NOUN ADP VERB PRON ADJ PUNCT ,DT NN VBZ DT JJ NN IN TO VB DT JJ . 
337,Every employee knows about it.,Todos los empleados lo saben.,DET NOUN VERB ADP PRON PUNCT ,DT NN VBZ IN PRP . ,DET DET NOUN PRON VERB PUNCT ,DT DT NNS PRP VBP . 
338,It was clear that he did not know me.,Estaba claro que él no me conocía.,PRON VERB ADJ ADP PRON VERB ADV VERB PRON PUNCT ,PRP VBD JJ IN PRP VBD RB VB PRP . ,AUX ADV SCONJ PRON ADV PRON VERB PUNCT ,VBD RB IN PRP RB PRP VBD . 
339,His figure disappeared into the darkness.,Su figura desapareció en la oscuridad.,DET NOUN VERB ADP DET NOUN PUNCT ,PRP$ NN VBD IN DT NN . ,DET NOUN VERB ADP DET NOUN PUNCT ,PRP$ NN VBD IN DT NN . 
340,These products are different in shape.,Estos productos son diferentes en forma.,DET NOUN VERB ADJ ADP NOUN PUNCT ,DT NNS VBP JJ IN NN . ,DET NOUN AUX ADJ ADP NOUN PUNCT ,DT NNS VBP JJ IN NN . 
341,How long have you collected coins?,¿En cuánto tiempo has recogido las monedas?,ADV ADV VERB PRON VERB NOUN PUNCT ,WRB RB VBP PRP VBN NNS . ,PUNCT ADP DET NOUN AUX VERB DET NOUN PUNCT ,. IN WDT NN VBP VBN DT NNS . 
342,The children gathered on the playground.,Los niños están reunidos en el patio.,DET NOUN VERB ADP DET NOUN PUNCT ,DT NNS VBD IN DT NN . ,DET NOUN AUX ADJ ADP DET NOUN PUNCT ,DT NNS VBP VBN IN DT NN . 
343,Will you attend the meeting?,¿Assistirás a la reunión?,VERB PRON VERB DET NOUN PUNCT ,MD PRP VB DT NN . ,PUNCT PROPN ADP DET NOUN PUNCT ,. NNP IN DT NN . 
344,Is she wearing a cap?,¿Ella está usando un casquillo?,VERB PRON VERB DET NOUN PUNCT ,VBZ PRP VBG DT NN . ,PUNCT PRON AUX VERB DET NOUN PUNCT ,. PRP VBZ VBG DT NN . 
345,He was involved in a car accident and now his neck is in a cast.,Él tiene su cuello vendado porque tuvo un accidente de tráfico. ,PRON VERB VERB ADP DET NOUN NOUN CCONJ ADV DET NOUN VERB ADP DET NOUN PUNCT ,PRP VBD VBN IN DT NN NN CC RB PRP$ NN VBZ IN DT NN . ,PRON VERB DET NOUN ADJ SCONJ VERB DET NOUN ADP NOUN PUNCT ,PRP VBZ PRP$ NN JJ IN VBD DT NN IN NN . 
346,I can’t forget her beautiful voice.,No puedo olvidarme de su hermosa voz.,PRON AUX ADV VERB DET ADJ NOUN PUNCT ,PRP MD RB VB PRP$ JJ NN . ,ADV AUX VERB ADP DET ADJ NOUN PUNCT ,RB VBP TO VB IN PRP$ JJ NN . 
347,My kids like taking a bath.,A mis niños les gusta bañarse.,DET NOUN ADP VERB DET NOUN PUNCT ,PRP$ NNS IN VBG DT NN . ,ADP DET NOUN PRON VERB VERB PUNCT ,IN PRP$ NNS PRP VBZ TO VB . 
348,What is the purpose of your visit?,¿Cuál es el propósito de tu visita?,PRON VERB DET NOUN ADP DET NOUN PUNCT ,WP VBZ DT NN IN PRP$ NN . ,PUNCT PRON AUX DET NOUN ADP DET NOUN PUNCT ,. WP VBZ DT NN IN PRP$ NN . 
349,"Though present in body, your mind is elsewhere.","Tu cuerpo esta aquí, pero tu mente está en otra parte.",ADP ADJ ADP NOUN PUNCT DET NOUN VERB ADV PUNCT ,"IN JJ IN NN , PRP$ NN VBZ RB . ",DET NOUN DET ADV PUNCT CCONJ DET NOUN VERB ADP DET NOUN PUNCT ,"PRP$ NN DT RB , CC PRP$ NN VBZ IN DT NN . "
350,Hyean can not eat or sleep these days.,Hyean estos días no puede comer ni dormir.,PROPN VERB ADV VERB CCONJ VERB DET NOUN PUNCT ,NNP MD RB VB CC VB DT NNS . ,PROPN DET NOUN ADV AUX VERB CCONJ VERB PUNCT ,NNP DT NNS RB VBZ TO VB CC TO VB . 
351,I am poor at singing.,No soy buen cantor.,PRON VERB ADJ ADP NOUN PUNCT ,PRP VBP JJ IN NN . ,ADV AUX ADJ NOUN PUNCT ,RB VBP JJ NN . 
352,This bag is so heavy.,Este bolso es muy pesado.,DET NOUN VERB ADV ADJ PUNCT ,DT NN VBZ RB JJ . ,DET NOUN AUX ADV ADJ PUNCT ,DT NN VBZ RB JJ . 
353,"Have you seen Scary Movie""? I was not scared at all.""""ave you seen ""Scary Movie""? I was not """"ve you seen ""Scary Movie""""e you seen """,¿Has visto “Película de Terror”? No me austó ni un poco.,VERB PRON VERB PROPN PROPN PUNCT PUNCT PRON VERB ADV ADJ ADP X PRON VERB PUNCT PROPN PROPN PUNCT PUNCT PRON VERB ADV PUNCT PUNCT INTJ PRON VERB PUNCT PROPN PROPN PRON VERB PUNCT ,VBP PRP VBN NNP NNP '' . PRP VBD RB JJ IN XX PRP VBP `` NNP NNP '' . PRP VBD RB `` `` UH PRP VBP `` NNP NNP PRP VBP '' ,PUNCT AUX VERB PROPN PROPN ADP PROPN PROPN PUNCT ADV PRON VERB ADV DET PRON PUNCT ,. VBP VBN NNP NNP IN NNP NNP . RB PRP VBD RB DT DT . 
354,What kind of work do you do?,¿Qué clase de trabajo haces?,DET NOUN ADP NOUN VERB PRON VERB PUNCT ,WDT NN IN NN VBP PRP VB . ,PUNCT DET NOUN ADP NOUN VERB PUNCT ,. WDT NN IN NN VBP . 
355,What is that?,¿Cuál es eso?,PRON VERB DET PUNCT ,WP VBZ DT . ,PUNCT PRON AUX PRON PUNCT ,. WP VBZ DT . 
356,Lock the door.,Cierra la puerta.,VERB DET NOUN PUNCT ,VB DT NN . ,VERB DET NOUN PUNCT ,VBZ DT NN . 
357,Skip the difficult question and solve the others first.,Salta la preguntas difíciles y soluciona las otras primero.,VERB DET ADJ NOUN CCONJ VERB DET NOUN ADV PUNCT ,VB DT JJ NN CC VB DT NNS RB . ,VERB DET NOUN ADJ CCONJ VERB DET PRON ADJ PUNCT ,VBZ DT NNS JJ CC VBZ DT DT JJ . 
358,I was not familiar with the culture here in the first time I came here.,La primera vez que vine aquí no me acostumbraba a la cultura.,PRON VERB ADV ADJ ADP DET NOUN ADV ADP DET ADJ NOUN PRON VERB ADV PUNCT ,PRP VBD RB JJ IN DT NN RB IN DT JJ NN PRP VBD RB . ,DET ADJ NOUN PRON VERB ADV ADV PRON VERB ADP DET NOUN PUNCT ,DT JJ NN DT VBD RB RB PRP VBD IN DT NN . 
359,Asking for directions is hard for me to do.,Para mi es difícil preguntar las direcciones.,VERB ADP NOUN VERB ADJ ADP PRON PART VERB PUNCT ,VBG IN NNS VBZ JJ IN PRP TO VB . ,ADP DET AUX ADJ VERB DET NOUN PUNCT ,IN PRP$ VBZ JJ TO VB DT NNS . 
360,A car drove by and splashed water on me.,Un coche condujo cerca de mí y me salpicó todo el agua.,DET NOUN VERB ADV CCONJ VERB NOUN ADP PRON PUNCT ,DT NN VBD RB CC VBD NN IN PRP . ,DET NOUN VERB ADV ADP PRON CCONJ PRON VERB DET DET NOUN PUNCT ,DT NN VBD RB IN PRP CC PRP VBD DT DT NN . 
361,Give the stuff back after using it.,Devolver el material luego de usarlo.,VERB DET NOUN ADV ADP VERB PRON PUNCT ,VB DT NN RB IN VBG PRP . ,VERB DET NOUN ADV ADP NOUN PUNCT ,TO VB DT NN RB IN NN . 
362,"I'll pay you back in time, of course, it'll be in cash.","Te pagaré a tiempo, por supuesto, será en efectivo.",PRON AUX VERB PRON ADV ADP NOUN PUNCT ADP NOUN PUNCT PRON AUX VERB ADP NOUN PUNCT ,"PRP MD VB PRP RB IN NN , IN NN , PRP MD VB IN NN . ",PRON VERB ADP NOUN PUNCT ADP NOUN PUNCT AUX ADP NOUN PUNCT ,"PRP MD VB IN NN , IN NNP , MD VB IN NNP . "
363,Can I ask you a question?,¿Puedo hacerte una pregunta?,VERB PRON VERB PRON DET NOUN PUNCT ,MD PRP VB PRP DT NN . ,PUNCT AUX VERB DET NOUN PUNCT ,. VBP VBZ DT NN . 
364,She had a baby in the U.S.,Ella dio luz a un bebe en Estados Unidos.,PRON VERB DET NOUN ADP DET PROPN ,PRP VBD DT NN IN DT NNP ,PRON VERB NOUN ADP DET NOUN ADP PROPN PROPN PUNCT ,PRP VBD NN IN DT NN IN NNP NNP . 
365,I'm so sorry.,Realmente perdón.,PRON VERB ADV ADJ PUNCT ,PRP VBP RB JJ . ,ADV NOUN PUNCT ,RB NN . 
366,"Look, I think that guy is over two meters tall.","Mira, yo pienso que el individuo que esta allí debe medir cerca de dos metros.",VERB PUNCT PRON VERB ADP NOUN VERB ADP NUM NOUN ADJ PUNCT ,"VB , PRP VBP IN NN VBZ IN CD NNS JJ . ",VERB PUNCT PRON VERB SCONJ DET NOUN PRON DET ADV AUX VERB ADV ADP NUM NOUN PUNCT ,"VB , PRP VBP IN DT NN DT DT RB VBZ TO VB RB IN CD NNS . "
367,Don't believe me if you don't want to.,"Si no quieres creerme, no me creas.",VERB ADV VERB PRON ADP PRON VERB ADV VERB PART PUNCT ,VB RB VB PRP IN PRP VBP RB VB TO . ,SCONJ ADV VERB VERB PUNCT ADV PRON VERB PUNCT ,"IN RB VBP VBZ , RB PRP VBP . "
