,english,spanish,en_ud,en_penn,es_ud,es_penn
827,Continuing with old programmes and designing new programmes has to be given in-depth scrutiny.,Dar continuidad a programas antiguos y diseñar programas nuevos es algo que debemos estudiar detenidamente.,VERB ADP ADJ NOUN CCONJ VERB ADJ NOUN VERB PART VERB VERB ADP PUNCT NOUN NOUN PUNCT ,VBG IN JJ NNS CC VBG JJ NNS VBZ TO VB VBN IN HYPH NN NN . ,VERB NOUN ADP NOUN ADJ CCONJ VERB NOUN ADJ AUX PRON PRON AUX VERB ADV PUNCT ,TO VB NN IN NNS JJ CC TO VB NNS JJ VBZ NN DT VBP TO VB RB . 
828,Commitment to the EU's principles of equality and solidarity should end the existence of different standards and also prejudices in decision making.,El compromiso con los principios comunitarios de igualdad y de solidaridad debería acabar con la existencia de normas diferentes y de prejuicios en la toma de decisiones.,NOUN ADP DET PROPN PART NOUN ADP NOUN CCONJ NOUN VERB VERB DET NOUN ADP ADJ NOUN CCONJ ADV NOUN ADP NOUN NOUN PUNCT ,NN IN DT NNP POS NNS IN NN CC NN MD VB DT NN IN JJ NNS CC RB NNS IN NN NN . ,DET NOUN ADP DET NOUN ADJ ADP NOUN CCONJ ADP NOUN AUX VERB ADP DET NOUN ADP NOUN ADJ CCONJ ADP NOUN ADP DET NOUN ADP NOUN PUNCT ,DT NN IN DT NNS JJ IN NN CC IN NN MD VB TO VB IN DT NN IN NNS JJ CC IN NNS IN DT NN IN NNS . 
829,The EU can succeed when all its Members are treated by the same standards.,La UE puede triunfar si a todos sus miembros se les aplica el mismo rasero.,DET PROPN VERB VERB ADV DET DET NOUN VERB VERB ADP DET ADJ NOUN PUNCT ,DT NNP MD VB WRB PDT PRP$ NNS VBP VBN IN DT JJ NNS . ,DET PROPN AUX VERB SCONJ ADP DET DET NOUN PRON PRON VERB DET DET NOUN PUNCT ,DT NNP VBZ TO VB IN IN DT PRP$ NNS PRP PRP VBZ DT DT NN . 
830,A true financial perspective has to look even further forward than seven years.,Una auténtica perspectiva financiera debe contemplar un plazo bastante más amplio que esos siete años.,DET ADJ ADJ NOUN VERB PART VERB ADV ADV ADV ADP NUM NOUN PUNCT ,DT JJ JJ NN VBZ TO VB RB RB RB IN CD NNS . ,DET ADJ NOUN ADJ AUX VERB DET NOUN ADV ADV ADJ SCONJ DET NUM NOUN PUNCT ,DT JJ NN JJ VBZ TO VB DT NN RB RB JJ IN DT CD NNS . 
831,"However, I support flexible mechanisms for necessary adaptations.","No obstante, estoy a favor de los mecanismos flexibles para llevar a cabo las adaptaciones necesarias.",ADV PUNCT PRON VERB ADJ NOUN ADP ADJ NOUN PUNCT ,"RB , PRP VBP JJ NNS IN JJ NNS . ",PART NOUN PUNCT AUX ADP NOUN ADP DET NOUN ADJ ADP VERB ADP NOUN DET NOUN ADJ PUNCT ,"RB NNP , VBP IN NNP IN DT NNS JJ IN TO VB IN NN DT NNS JJ . "
832,"The European Union's poorest regions are developing rapidly at present, and one of the reasons for this is European funding.","Actualmente las regiones más desfavorecidas de la Unión Europea se están desarrollando con rapidez, y una de las razones que lo explican es la financiación europea.",DET PROPN PROPN PART ADJ NOUN VERB VERB ADV ADP ADJ PUNCT CCONJ NUM ADP DET NOUN ADP DET VERB ADJ NOUN PUNCT ,"DT NNP NNP POS JJS NNS VBP VBG RB IN JJ , CC CD IN DT NNS IN DT VBZ JJ NN . ",ADV DET NOUN ADV ADJ ADP DET PROPN PROPN PRON AUX VERB ADP NOUN PUNCT CCONJ PRON ADP DET NOUN PRON PRON VERB AUX DET NOUN ADJ PUNCT ,"RB DT NNS RB JJ IN DT NNP NNP PRP VBP VBG IN NN , CC DT IN DT NNS DT PRP VBP VBZ DT NN JJ . "
833,"Although many new roads have been built or repaired and Internet connections have been installed, there are still a great many needs to be met, since there is a very large gap between these regions and the most highly developed regions.","Aunque se han construido o reparado muchas carreteras nuevas, y pese a la expansión de Internet, aún hay muchas necesidades por cubrir, ya que existe una brecha muy amplia entre esas regiones y los territorios más desarrollados.",ADP ADJ ADJ NOUN VERB VERB VERB CCONJ VERB CCONJ NOUN NOUN VERB VERB VERB PUNCT ADV VERB ADV DET ADJ ADJ NOUN PART VERB VERB PUNCT ADP ADV VERB DET ADV ADJ NOUN ADP DET NOUN CCONJ DET ADV ADV VERB NOUN PUNCT ,"IN JJ JJ NNS VBP VBN VBN CC VBN CC NN NNS VBP VBN VBN , EX VBP RB DT JJ JJ NNS TO VB VBN , IN EX VBZ DT RB JJ NN IN DT NNS CC DT RBS RB VBN NNS . ",SCONJ PRON AUX VERB CCONJ VERB DET NOUN ADJ PUNCT CCONJ NOUN ADP DET NOUN ADP PROPN PUNCT ADV AUX DET NOUN ADP VERB PUNCT ADV SCONJ VERB DET NOUN ADV ADJ ADP DET NOUN CCONJ DET NOUN ADV ADJ PUNCT ,"IN PRP VBP VBN CC VBN DT NNS JJ , CC NNP IN DT NN IN NNP , RB VBZ DT NNS IN TO VB , RB IN VBZ DT NN RB JJ IN DT NNS CC DT NNS RB VBN . "
834,"When we joined the European Union, there were fears that Poland and the new Member States would not make proper use of the opportunities afforded to them by membership, and that European funds would be spent without due consideration.","Cuando nos incorporamos a la Unión Europea, se temía que Polonia y los nuevos Estados miembros no harían un uso adecuado de las oportunidades que les correspondían por su pertenencia, y que los fondos europeos se gastarían sin la debida consideración.",ADV PRON VERB DET PROPN PROPN PUNCT ADV VERB NOUN ADP PROPN CCONJ DET ADJ PROPN PROPN VERB ADV VERB ADJ NOUN ADP DET NOUN VERB ADP PRON ADP NOUN PUNCT CCONJ ADP ADJ NOUN VERB VERB VERB ADP ADJ NOUN PUNCT ,"WRB PRP VBD DT NNP NNP , EX VBD NNS IN NNP CC DT JJ NNP NNP MD RB VB JJ NN IN DT NNS VBN IN PRP IN NN , CC IN JJ NNS MD VB VBN IN JJ NN . ",SCONJ PRON VERB ADP DET PROPN PROPN PUNCT PRON VERB SCONJ PROPN CCONJ DET ADJ NOUN NOUN ADV AUX DET NOUN ADJ ADP DET NOUN PRON PRON VERB ADP DET NOUN PUNCT CCONJ SCONJ DET NOUN ADJ PRON VERB ADP DET ADJ NOUN PUNCT ,"IN PRP VBP IN DT NNP NNP , PRP VBD IN NNP CC DT JJ NNS NNS RB MD VB DT NN JJ IN DT NNS DT PRP MD VB IN PRP$ NN , CC IN DT NNS JJ PRP VBD IN DT JJ NN . "
835,"Fears were also voiced regarding corruption, since opportunity - or a great deal of money - makes the thief.","También se expresaron miedos en relación con la corrupción, ya que la ocasión (o una cantidad significativa de dinero) hace al ladrón.",NOUN VERB ADV VERB VERB NOUN PUNCT ADP NOUN PUNCT CCONJ DET ADJ NOUN ADP NOUN PUNCT VERB DET NOUN PUNCT ,"NNS VBD RB VBN VBG NN , IN NN , CC DT JJ NN IN NN HYPH VBZ DT NN . ",ADV PRON VERB NOUN ADP NOUN ADP DET NOUN PUNCT ADV SCONJ DET NOUN PUNCT CCONJ DET NOUN ADJ ADP NOUN PUNCT VERB ADP NOUN PUNCT ,"RB PRP VBD NNS IN NNP IN DT NN , RB IN DT NN _LRB_ CC DT NN JJ IN NN -RBR- VBZ IN NN . "
836,"Meanwhile, analyses have shown that European money has been spent wisely in Poland, and has not been linked with dishonest practices.","Sin embargo, los estudios han demostrado que el dinero europeo ha sido gastado de manera inteligente en Polonia, y que no se ha vinculado a prácticas deshonestas.",ADV PUNCT NOUN VERB VERB ADP ADJ NOUN VERB VERB VERB ADV ADP PROPN PUNCT CCONJ VERB ADV VERB VERB ADP ADJ NOUN PUNCT ,"RB , NNS VBP VBN IN JJ NN VBZ VBN VBN RB IN NNP , CC VBZ RB VBN VBN IN JJ NNS . ",ADP NOUN PUNCT DET NOUN AUX VERB SCONJ DET NOUN ADJ AUX AUX VERB ADP NOUN ADJ ADP PROPN PUNCT CCONJ SCONJ ADV PRON AUX VERB ADP NOUN ADJ PUNCT ,"IN NN , DT NNS VBP VBN IN DT NN JJ VBZ VBN VBN IN NN JJ IN NNP , CC IN RB PRP VBZ VBN IN NNS JJ . "
837,"Therefore, in view of the gap we are trying to bridge and, at the same time, the EU's future goals, we must not reduce either the EU budget or the funds for implementing cohesion policy.","Por tanto, viendo la brecha que tratamos de salvar y teniendo en cuenta los objetivos de futuro de la UE, no debemos reducir el presupuesto comunitario ni tampoco los fondos para aplicar la política de cohesión.",ADV PUNCT ADP NOUN ADP DET NOUN PRON VERB VERB PART VERB CCONJ PUNCT ADP DET ADJ NOUN PUNCT DET PROPN PART ADJ NOUN PUNCT PRON VERB ADV VERB CCONJ DET PROPN NOUN CCONJ DET NOUN ADP VERB NOUN NOUN PUNCT ,"RB , IN NN IN DT NN PRP VBP VBG TO VB CC , IN DT JJ NN , DT NNP POS JJ NNS , PRP MD RB VB CC DT NNP NN CC DT NNS IN VBG NN NN . ",ADP NOUN PUNCT VERB DET NOUN PRON VERB ADP VERB CCONJ VERB ADP NOUN DET NOUN ADP NOUN ADP DET PROPN PUNCT ADV AUX VERB DET NOUN ADJ CCONJ ADV DET NOUN ADP VERB DET NOUN ADP NOUN PUNCT ,"IN NNP , VBG DT NN DT VBP IN TO VB CC VBG IN NN DT NNS IN NN IN DT NNP , RB VBP TO VB DT NN JJ CC RB DT NNS IN TO VB DT NN IN NN . "
838,"Even if the European Parliament votes through an increase to the European budget, which I hope will be the case, it is now important to convince the individual Member States that it is worth supporting Parliament's political position.","Incluso si el Parlamento Europeo vota a favor de un incremento en el presupuesto europeo, resulta importante convencer a los Estados miembros individuales de que merece la pena apoyar la posición política del Parlamento.",ADV ADP DET PROPN PROPN VERB ADP DET NOUN ADP DET ADJ NOUN PUNCT DET PRON VERB VERB VERB DET NOUN PUNCT PRON VERB ADV ADJ PART VERB DET ADJ PROPN PROPN ADP PRON VERB ADJ VERB PROPN PART ADJ NOUN PUNCT ,"RB IN DT NNP NNP VBZ IN DT NN IN DT JJ NN , WDT PRP VBP MD VB DT NN , PRP VBZ RB JJ TO VB DT JJ NNP NNP IN PRP VBZ JJ VBG NNP POS JJ NN . ",ADV SCONJ DET PROPN PROPN VERB ADP NOUN ADP DET NOUN ADP DET NOUN ADJ PUNCT VERB ADJ VERB ADP DET NOUN NOUN ADJ ADP SCONJ VERB DET NOUN VERB DET NOUN ADJ ADP PROPN PUNCT ,"RB IN DT NNP NNP VBZ IN NNP IN DT NN IN DT NN JJ , VBZ JJ TO VB IN DT NNS NNS JJ IN IN VBZ DT NN TO VB DT NN JJ IN NNP . "
839,"I would like to extend my sincere congratulations to Mr Garriga Polledo for having prepared a comprehensive report, and for the impressive amount of work he has put into drafting compromise amendments.","Deseo hacer llegar mi felicitación más sincera al señor Garriga Polledo por haber preparado un informe tan exhaustivo, y por el impresionante trabajo que ha dedicado a la redacción de las enmiendas transaccionales.",PRON VERB VERB PART VERB DET ADJ NOUN ADP PROPN PROPN PROPN ADP VERB VERB DET ADJ NOUN PUNCT CCONJ ADP DET ADJ NOUN ADP NOUN PRON VERB VERB ADP VERB NOUN NOUN PUNCT ,"PRP MD VB TO VB PRP$ JJ NNS IN NNP NNP NNP IN VBG VBN DT JJ NN , CC IN DT JJ NN IN NN PRP VBZ VBN IN VBG NN NNS . ",VERB AUX VERB DET NOUN ADV ADJ ADP NOUN PROPN PROPN ADP AUX VERB DET NOUN ADV ADJ PUNCT CCONJ ADP DET ADJ NOUN PRON AUX VERB ADP DET NOUN ADP DET NOUN ADJ PUNCT ,"VBP TO VB TO VB PRP$ NN RB JJ IN NN NNP NNP IN TO VB VBN DT NN RB JJ , CC IN DT JJ NN DT VBZ VBN IN DT NN IN DT NNS JJ . "
840,"I agree with the rapporteur that cohesion policy, which has proven its effectiveness, should be given a place in the new Multiannual Financial Framework which is commensurate with its importance.","Coincido con el ponente en que la política de cohesión, que ha demostrado su eficacia, debe tener su espacio en el nuevo marco financiero plurianual que es proporcional a su importancia.",PRON VERB ADP DET NOUN DET NOUN NOUN PUNCT DET VERB VERB DET NOUN PUNCT VERB VERB VERB DET NOUN ADP DET ADJ PROPN PROPN PROPN DET VERB ADJ ADP DET NOUN PUNCT ,"PRP VBP IN DT NN WDT NN NN , WDT VBZ VBN PRP$ NN , MD VB VBN DT NN IN DT JJ NNP NNP NNP WDT VBZ JJ IN PRP$ NN . ",VERB ADP DET NOUN ADP PRON DET NOUN ADP NOUN PUNCT PRON AUX VERB DET NOUN PUNCT AUX VERB DET NOUN ADP DET ADJ NOUN ADJ ADJ PRON AUX ADJ ADP DET NOUN PUNCT ,"VBP IN DT NN IN DT DT NN IN NN , DT VBZ VBN PRP$ NN , VBZ TO VB PRP$ NN IN DT JJ NN JJ JJ DT VBZ JJ IN PRP$ NN . "
841,"However, we should strive for better coordination and complementarity of the individual funds, and for simplified procedures.","Sin embargo, debemos luchar por una mejor coordinación y por una complementariedad de los fondos individuales, y por unos procedimientos simplificados.",ADV PUNCT PRON VERB VERB ADP ADJ NOUN CCONJ NOUN ADP DET ADJ NOUN PUNCT CCONJ ADP VERB NOUN PUNCT ,"RB , PRP MD VB IN JJR NN CC NN IN DT JJ NNS , CC IN VBN NNS . ",ADP NOUN PUNCT AUX VERB ADP DET ADJ NOUN CCONJ ADP DET NOUN ADP DET NOUN ADJ PUNCT CCONJ ADP DET NOUN ADJ PUNCT ,"IN NN , VBP TO VB IN DT JJ NN CC IN DT NN IN DT NNS JJ , CC IN DT NNS VBN . "
842,"Changes to systems for monitoring and managing funds, aimed at increasing the effectiveness of their interventions, should be based on a thorough analysis of their current functioning.","Los cambios en los sistemas para controlar y para administrar los fondos, dirigidos a aumentar la eficacia de sus intervenciones, deben basarse en un análisis profundo de su funcionamiento actual.",NOUN ADP NOUN ADP NOUN CCONJ NOUN NOUN PUNCT VERB ADP VERB DET NOUN ADP DET NOUN PUNCT VERB VERB VERB ADP DET ADJ NOUN ADP DET ADJ NOUN PUNCT ,"NNS IN NNS IN NN CC NN NNS , VBN IN VBG DT NN IN PRP$ NNS , MD VB VBN IN DT JJ NN IN PRP$ JJ NN . ",DET NOUN ADP DET NOUN ADP VERB CCONJ ADP VERB DET NOUN PUNCT ADJ ADP VERB DET NOUN ADP DET NOUN PUNCT AUX VERB ADP DET NOUN ADJ ADP DET NOUN ADJ PUNCT ,"DT NNS IN DT NNS IN TO VB CC IN TO VB DT NNS , VBN IN TO VB DT NN IN PRP$ NNS , VBP VBD IN DT NN JJ IN PRP$ NN JJ . "
843,"I also support the view that unused funds should remain in the budget earmarked for cohesion, and not returned to the Member States, and I believe that we need a thorough analysis of the possible consequences of including the European Development Fund in the EU budget, in particular, in light of the EU's obligations to third countries.","También apoyo la opinión de que los fondos no utilizados deben permanecer en el presupuesto y que deben destinarse a cohesión, no devueltos a los Estados miembros; y considero que necesitamos un análisis completo de las posibles consecuencias de la inclusión del Fondo Europeo de Desarrollo en el presupuesto comunitario, en especial teniendo en cuenta las obligaciones para con terceros países.",PRON ADV VERB DET NOUN ADP ADJ NOUN VERB VERB ADP DET NOUN VERB ADP NOUN PUNCT CCONJ ADV VERB ADP DET PROPN PROPN PUNCT CCONJ PRON VERB ADP PRON VERB DET ADJ NOUN ADP DET ADJ NOUN ADP VERB DET PROPN PROPN PROPN ADP DET PROPN NOUN PUNCT ADP ADJ PUNCT ADP NOUN ADP DET PROPN PART NOUN ADP ADJ NOUN PUNCT ,"PRP RB VBP DT NN IN JJ NNS MD VB IN DT NN VBN IN NN , CC RB VBN IN DT NNP NNP , CC PRP VBP IN PRP VBP DT JJ NN IN DT JJ NNS IN VBG DT NNP NNP NNP IN DT NNP NN , IN JJ , IN NN IN DT NNP POS NNS IN JJ NNS . ",ADV NOUN DET NOUN ADP SCONJ DET NOUN ADV ADJ AUX VERB ADP DET NOUN CCONJ PRON AUX VERB ADP NOUN PUNCT ADV ADJ ADP DET NOUN NOUN PUNCT CCONJ VERB SCONJ VERB DET NOUN ADJ ADP DET ADJ NOUN ADP DET NOUN ADP PROPN PROPN ADP PROPN ADP DET NOUN ADJ PUNCT ADP ADJ AUX ADP NOUN DET NOUN ADP ADP ADJ NOUN PUNCT ,"RB NN DT NN IN IN DT NNS RB VBN VBP TO VB IN DT NN CC DT VBP TO VB IN NN , RB VBN IN DT NNS NNS : CC VBP IN VBP DT NN JJ IN DT JJ NNS IN DT NN IN NNP NNP IN NNP IN DT NN JJ , IN JJ VBG IN NN DT NNS IN IN JJ NNS . "
844,Europe is experiencing a crisis.,Europa atraviesa una crisis.,PROPN VERB VERB DET NOUN PUNCT ,NNP VBZ VBG DT NN . ,PROPN VERB DET NOUN PUNCT ,NNP VBZ DT NN . 
845,"The tax shortfalls of self-governing regions exceed 20% of the budget, compared to the period before the crisis, which is unsustainable.","El déficit fiscal de las regiones autónomas supera el 20 % del presupuesto, en comparación con el período anterior a la crisis, lo que no es sostenible.",DET NOUN NOUN ADP NOUN PUNCT VERB NOUN VERB NUM NOUN ADP DET NOUN PUNCT VERB ADP DET NOUN ADP DET NOUN PUNCT DET VERB ADJ PUNCT ,"DT NN NNS IN NN HYPH VBG NNS VBP CD NN IN DT NN , VBN IN DT NN IN DT NN , WDT VBZ JJ . ",DET NOUN ADJ ADP DET NOUN ADJ VERB DET NUM SYM ADP NOUN PUNCT ADP NOUN ADP DET NOUN ADJ ADP DET NOUN PUNCT DET PRON ADV AUX ADJ PUNCT ,"DT NN JJ IN DT NNS JJ VBZ DT CD CD NN IN NN , IN NNP IN DT NN JJ IN DT NN , DT DT RB VBZ JJ . "
846,The revenue shortfalls for municipalities look very similar.,El déficit fiscal de los municipios es muy parecido.,DET NOUN NOUN ADP NOUN VERB ADV ADJ PUNCT ,DT NN NNS IN NNS VBP RB JJ . ,DET NOUN ADJ ADP DET NOUN AUX ADV ADJ PUNCT ,DT NN JJ IN DT NNS VBZ RB JJ . 
847,"They cannot fund their core competences, they are laying off employees and they are getting into debt.","No pueden financiar sus competencias esenciales, están despidiendo a trabajadores y se están endeudando.",PRON AUX ADV VERB DET NOUN NOUN PUNCT PRON VERB VERB PART NOUN CCONJ PRON VERB VERB ADP NOUN PUNCT ,"PRP MD RB VB PRP$ NN NNS , PRP VBP VBG RP NNS CC PRP VBP VBG IN NN . ",ADV AUX VERB DET NOUN ADJ PUNCT AUX VERB ADP NOUN CCONJ PRON AUX VERB PUNCT ,"RB VBP TO VB PRP$ NNS JJ , VBP VBG IN NNS CC PRP VBP VBG . "
848,"In such a situation, we should not be surprised that they fail to understand why the European Parliament is asking for more resources.","En una situación así, no debe sorprendernos que no logren comprender por qué el Parlamento Europeo pide más recursos.",ADP DET DET NOUN PUNCT PRON VERB ADV VERB ADJ ADP PRON VERB PART VERB ADV DET PROPN PROPN VERB VERB ADP ADJ NOUN PUNCT ,"IN PDT DT NN , PRP MD RB VB JJ IN PRP VBP TO VB WRB DT NNP NNP VBZ VBG IN JJR NNS . ",ADP DET NOUN ADV PUNCT ADV AUX NOUN SCONJ ADV VERB VERB ADP PRON DET PROPN PROPN VERB ADV NOUN PUNCT ,"IN DT NN RB , RB VBZ NNS IN RB VBP TO VB IN WP DT NNP NNP VBZ RB NNS . "
849,"However, if states coordinated their policies and funding in the area of priorities, they would achieve better results and would save more funds than the amount by which we want to increase the common EU budget.","Sin embargo, si los Estados coordinasen sus políticas y su financiación en las áreas prioritarias, lograrían unos resultados mejores y ahorrarían más fondos que la cantidad en la que queremos aumentar el presupuesto común de la UE.",ADV PUNCT ADP NOUN VERB DET NOUN CCONJ NOUN ADP DET NOUN ADP NOUN PUNCT PRON VERB VERB ADJ NOUN CCONJ VERB VERB ADJ NOUN ADP DET NOUN ADP DET PRON VERB PART VERB DET ADJ PROPN NOUN PUNCT ,"RB , IN NNS VBD PRP$ NNS CC NN IN DT NN IN NNS , PRP MD VB JJR NNS CC MD VB JJR NNS IN DT NN IN WDT PRP VBP TO VB DT JJ NNP NN . ",ADP NOUN PUNCT SCONJ DET PROPN VERB DET NOUN CCONJ DET NOUN ADP DET NOUN ADJ PUNCT VERB DET NOUN ADJ CCONJ VERB ADV NOUN SCONJ DET NOUN ADP DET PRON VERB VERB DET NOUN ADJ ADP DET PROPN PUNCT ,"IN NN , IN DT NNP VBD PRP$ NNS CC PRP$ NN IN DT NNS JJ , MD VB DT NNS JJ CC VBD RB NNS IN DT NN IN DT DT VBP TO VB DT NN JJ IN DT NNP . "
850,There is therefore no better alternative than the one we are discussing today.,"Por tanto, no hay una alternativa mejor que la que estamos debatiendo hoy.",ADV VERB ADV ADV ADJ NOUN ADP DET NOUN PRON VERB VERB NOUN PUNCT ,EX VBZ RB RB JJR NN IN DT NN PRP VBP VBG NN . ,ADP NOUN PUNCT ADV AUX DET NOUN ADJ SCONJ DET PRON AUX VERB ADV PUNCT ,"IN NNP , RB VBZ DT NN JJ IN DT DT VBP VBG RB . "
851,"We must discuss it and debate it more, not only in the European Parliament, but especially with ministers in the Council, with members of national parliaments, and also in the regions, so that they understand that a joint solution will bring not only the best result for our citizens, but will also lead to savings in national budgets.","Tenemos que debatirlo, y tenemos que debatirlo más, no solamente en el Parlamento Europeo sino especialmente con los ministros en el Consejo, con los miembros de los parlamentos nacionales, y también en las regiones; de modo que comprendan que una solución conjunta no solo supondrá el mejor resultado para nuestros ciudadanos, sino que también conducirá a ahorros en nuestros presupuestos nacionales.",PRON VERB VERB PRON CCONJ VERB PRON ADV PUNCT ADV ADV ADP DET PROPN PROPN PUNCT CCONJ ADV ADP NOUN ADP DET PROPN PUNCT ADP NOUN ADP ADJ NOUN PUNCT CCONJ ADV ADP DET NOUN PUNCT ADP ADP PRON VERB ADP DET ADJ NOUN VERB VERB ADV ADV DET ADJ NOUN ADP DET NOUN PUNCT CCONJ VERB ADV VERB ADP NOUN ADP ADJ NOUN PUNCT ,"PRP MD VB PRP CC VB PRP RBR , RB RB IN DT NNP NNP , CC RB IN NNS IN DT NNP , IN NNS IN JJ NNS , CC RB IN DT NNS , IN IN PRP VBP IN DT JJ NN MD VB RB RB DT JJS NN IN PRP$ NNS , CC MD RB VB IN NNS IN JJ NNS . ",VERB SCONJ VERB PUNCT CCONJ VERB SCONJ VERB ADV PUNCT PART ADV ADP DET PROPN PROPN CCONJ ADV ADP DET NOUN ADP DET PROPN PUNCT ADP DET NOUN ADP DET NOUN ADJ PUNCT CCONJ ADV ADP DET NOUN PUNCT ADP NOUN SCONJ VERB SCONJ DET NOUN ADJ PART ADJ VERB DET ADJ NOUN ADP DET NOUN PUNCT CCONJ SCONJ ADV VERB ADP NOUN ADP DET NOUN ADJ PUNCT ,"VBP IN TO VB , CC VBP IN VBP RB , RB RB IN DT NNP NNP CC RB IN DT NNS IN DT NNP , IN DT NNS IN DT NNS JJ , CC RB IN DT NNS : IN NNP IN VBP IN DT NN JJ RB JJ MD VB DT JJ NN IN PRP$ NNS , CC IN RB MD VB IN NNS IN PRP$ NNS JJ . "
852,"Since the fiasco with the euro rescue package, the net contributors find themselves not just paying the EU budget through the huge redistribution mechanism, but actually paying two and three times over.","Desde el fiasco con el plan de rescate del euro, los contribuyentes netos se encuentran pagando no solamente el presupuesto comunitario a través de un gran mecanismo de redistribución, sino que en realidad están pagando el doble o el triple.",ADP DET NOUN ADP DET NOUN NOUN NOUN PUNCT DET ADJ NOUN VERB PRON ADV ADV VERB DET PROPN NOUN ADP DET ADJ NOUN NOUN PUNCT CCONJ ADV VERB NUM CCONJ NUM NOUN ADV PUNCT ,"IN DT NN IN DT NN NN NN , DT JJ NNS VBP PRP RB RB VBG DT NNP NN IN DT JJ NN NN , CC RB VBG CD CC CD NNS RB . ",ADP DET NOUN ADP DET NOUN ADP NOUN ADP NOUN PUNCT DET NOUN ADJ PRON AUX VERB PART ADV DET NOUN ADJ ADP NOUN ADP DET ADJ NOUN ADP NOUN PUNCT CCONJ SCONJ ADP NOUN AUX VERB DET ADJ CCONJ DET NOUN PUNCT ,"IN DT NN IN DT NN IN NN IN NN , DT NNS JJ PRP VBP VBG RB RB DT NN JJ IN NNP IN DT JJ NN IN NN , CC IN IN NNP VBP VBG DT JJ CC DT NN . "
853,"In future years, real hard cash will be poured into these rescue mechanisms instead of guarantees.","En los próximos años, se destinarán grandes sumas a estos mecanismos de rescate en lugar de garantías.",ADP ADJ NOUN PUNCT ADJ ADJ NOUN VERB VERB VERB ADP DET NOUN NOUN ADV ADP NOUN PUNCT ,"IN JJ NNS , JJ JJ NN MD VB VBN IN DT NN NNS RB IN NNS . ",ADP DET ADJ NOUN PUNCT PRON VERB ADJ NOUN ADP DET NOUN ADP NOUN ADP NOUN ADP NOUN PUNCT ,"IN DT JJ NNS , PRP MD VB JJ NNS IN DT NNS IN NN IN NNP IN NNS . "
854,"This will have to be financed by the net contributors, in other words, the hard-working German, French, Italian, Dutch and Austrian citizens, from their national budgets; the first painful cuts are already being felt in these countries.","Esto deberá ser financiado por los contribuyentes netos; en otras palabras, por los esforzados ciudadanos alemanes, franceses, italianos, holandeses y austríacos, con dinero de sus propios presupuestos nacionales. Los primeros, y dolorosos, recortes ya han tenido lugar en esos países.",DET VERB VERB PART VERB VERB ADP DET ADJ NOUN PUNCT ADP ADJ NOUN PUNCT DET ADV PUNCT VERB ADJ PUNCT ADJ PUNCT ADJ PUNCT ADJ CCONJ ADJ NOUN PUNCT ADP DET ADJ NOUN PUNCT DET ADJ ADJ NOUN VERB ADV VERB VERB ADP DET NOUN PUNCT ,"DT MD VB TO VB VBN IN DT JJ NNS , IN JJ NNS , DT RB HYPH VBG JJ , JJ , JJ , JJ CC JJ NNS , IN PRP$ JJ NNS : DT JJ JJ NNS VBP RB VBG VBN IN DT NNS . ",PRON AUX AUX VERB ADP DET NOUN ADJ PUNCT ADP DET NOUN PUNCT ADP DET NOUN NOUN ADJ PUNCT NOUN PUNCT ADJ PUNCT ADJ CCONJ ADJ PUNCT ADP NOUN ADP DET DET NOUN ADJ PUNCT DET ADJ PUNCT CCONJ ADJ PUNCT NOUN ADV AUX VERB NOUN ADP DET NOUN PUNCT ,"DT MD VB TO VB VBN IN DT NNS JJ : IN DT NNS , IN DT NNS NNS JJ , NNS , JJ , JJ CC JJ , IN NN IN PRP$ DT NNS JJ . DT JJ , CC JJ , NNS RB VBP VBN NN IN DT NNS . "
855,The people in the economically strong EU countries are angry - at least every bit as angry as the demonstrators in Athens - because they have to tighten their belts for the sake of the PIIG states.,"Los ciudadanos de los países económicamente poderosos de la UE están enfadados -tan enfadados como los manifestantes de Atenas- porque van a tener que apretarse el cinturón por el bien de los Estados PIIG (Portugal, Italia, Irlanda y Grecia).",DET NOUN ADP DET ADV ADJ PROPN NOUN VERB ADJ PUNCT ADV ADJ DET NOUN ADV ADJ ADP DET NOUN ADP PROPN PUNCT ADP PRON VERB PART VERB DET NOUN ADP DET NOUN ADP DET PROPN NOUN PUNCT ,DT NNS IN DT RB JJ NNP NNS VBP JJ : RB JJS DT NN RB JJ IN DT NNS IN NNP : IN PRP VBP TO VB PRP$ NNS IN DT NN IN DT NNP NNS . ,DET NOUN ADP DET NOUN ADV ADJ ADP DET PROPN AUX ADJ PUNCT ADJ SCONJ DET NOUN ADP PROPN SCONJ AUX ADP VERB SCONJ VERB DET NOUN ADP DET NOUN ADP DET PROPN PROPN PUNCT PROPN PUNCT PROPN PUNCT PROPN CCONJ PROPN PUNCT PUNCT ,"DT NNS IN DT NNS RB JJ IN DT NNP VBP VBN SYM VBN IN DT NNS IN NNP IN VBP IN TO VB IN VBD DT NN IN DT NN IN DT NNP NNP _LRB_ NNP , NNP , NNP CC NNP -RBR- . "
