,error_type,Negative transfer?,Likely reason for mistake,correct_sentence,correct_trigram_ud,incorrect_sentence,incorrect_trigram_ud,incorrect_error_index,zhs,en,nlt,result
311,TV,True,Missing Auxiliary,"It has been a very long time since I was in Year 7. I told Pat that my father and mother were going to separate. I told her because I wanted somebody to share my feelings. Maybe it was the wrong decision to tell her , she . She began to share that secret with everybody, including the teachers. They tried to contact my parents. My parents were very angry when they realised what | had happened. All my friends were trying to keep their distance from me. That was all because of Pat. ",VERB VERB PUNCT,"It is a very long time since I was in Year 7. I told Pat that my father and mother were going to separate. I told her because I wanted somebody to share my feelings. Maybe it was the wrong decision to tell her , she . She began to share that secret with everybody, including the teachers. They tried to contact my parents. My parents were very angry when they realised what | happened. All my friends were trying to keep their distance from me. That was all because of Pat. ",VERB PUNCT DET,79,21.45237780915013,21.100499612683603,True,True
312,TV,False,-,"First of all, the poster told me that this show | starred Danny Brook and Tina Truelove but there were different actors. I am so disappointed. ",VERB PROPN PROPN,"First of all, the poster told me that this show | was starred Danny Brook and Tina Truelove but there were different actors. I am so disappointed. ",VERB VERB PROPN,11,21.35767871108108,20.6976014146942,True,False
313,TV,False,This person is overusing auxiliaries/modal verbs,"Secondly, the show was meant to start at 19:30 but it started at 20:15. I | was waiting for 45 minutes. The poster also told me that I could visit the theatre restaurant after the show. As you know the show started late, so, I was not able to go to the theatre restaurant because it closed before the show finished. ",VERB VERB ADP,"Secondly, the show was meant to start at 19:30 but it started at 20:15. I | have been waiting for 45 minutes. The poster also told me that I could visit the theatre restaurant after the show. As you know the show started late, so, I was not able to go to the theatre restaurant because it closed before the show finished. ",VERB VERB VERB,17,21.35767871108108,20.6976014146942,True,False
314,TV,False,Missing Auxiliary,"Secondly, the show was meant to start at 19:30 but it started at 20:15. I was waiting for 45 minutes. The poster also told me that I could visit the theatre restaurant after the show. As you know the show started late, so, I was not able to go to the theatre restaurant because it | closed before the show finished. ",VERB ADP DET,"Secondly, the show was meant to start at 19:30 but it started at 20:15. I was waiting for 45 minutes. The poster also told me that I could visit the theatre restaurant after the show. As you know the show started late, so, I was not able to go to the theatre restaurant because it | was closed before the show finished. ",VERB VERB ADP,61,21.35767871108108,20.6976014146942,True,False
315,TV,False,"semantics issue

has finished --> has no potential for being finished
has been finish --> ongoing process that has been finished

has to do with process","Secondly, the show was meant to start at 19:30 but it started at 20:15. I was waiting for 45 minutes. The poster also told me that I could visit the theatre restaurant after the show. As you know the show started late, so, I was not able to go to the theatre restaurant because it closed before the show | finished. ",VERB PUNCT _,"Secondly, the show was meant to start at 19:30 but it started at 20:15. I was waiting for 45 minutes. The poster also told me that I could visit the theatre restaurant after the show. As you know the show started late, so, I was not able to go to the theatre restaurant because it closed before the show | has been finished. ",VERB VERB VERB,65,21.35767871108108,20.6976014146942,True,False
316,TV,False,Past continuous used instead of past perfect,"Lily was one of her best friends for three years. She enjoyed sharing everything with Pat, whatever it was. Nick was Lily's husband. Her husband | had been fired the previous year. Lily felt very nervous about their financial problems and their future . As as they wanted to have a baby. She told Pat about what had happened in her family . And and that she was worried. Of course, she knew Nick didn't like her to tell other people about his private . She told Pat that she didn't want any other people to know about it except her. Pat also promised not to tell other people. ",VERB VERB VERB,"Lily was one of her best friends for three years. She enjoyed sharing everything with Pat, whatever it was. Nick was Lily's husband. Her husband | was being fired the previous year. Lily felt very nervous about their financial problems and their future . As as they wanted to have a baby. She told Pat about what had happened in her family . And and that she was worried. Of course, she knew Nick didn't like her to tell other people about his private . She told Pat that she didn't want any other people to know about it except her. Pat also promised not to tell other people. ",VERB VERB VERB,30,21.35767871108108,20.6976014146942,True,False
317,TV,True,Chinese generally expresses actions in present tense,"But at a party, their friends | wanted to show their concern, and they went to ask about Nick and give him their sympathy. This made Nick very embarrassed and he felt hurt. Finally, they got separated. ",VERB PART VERB,"But at a party, their friends | want to show their concern, and they went to ask about Nick and give him their sympathy. This made Nick very embarrassed and he felt hurt. Finally, they got separated. ",VERB PART VERB,7,20.52799184048125,19.318617096405898,True,True
318,TV,False,Overcorrection,"Today, Pat and Lily are still friends. But Lily never tells her what she really wants and what she really | thinks about things. Pat felt very sorry about that but it was too late. ",VERB ADP NOUN,"Today, Pat and Lily are still friends. But Lily never tells her what she really wants and what she really | thought about things. Pat felt very sorry about that but it was too late. ",VERB ADP NOUN,22,19.859702451363606,20.968032148274386,False,True
319,TV,True,Chinese generally expresses actions in present tense,"You can imagine how disappointed I | was, spending money on such a terrible evening. I would like you to look into the matter immediately and I insist on getting some money back. I look forward to receiving a satisfactory reply as soon as possible. ",VERB PUNCT VERB,"You can imagine how disappointed I | am, spending money on such a terrible evening. I would like you to look into the matter immediately and I insist on getting some money back. I look forward to receiving a satisfactory reply as soon as possible. ",VERB PUNCT VERB,6,21.45237780915013,21.100499612683603,True,True
320,TV,False,-,"You can imagine how disappointed I was, spending money on such a terrible evening. I would like you to look into the matter immediately and I | insist on getting some money back. I look forward to receiving a satisfactory reply as soon as possible. ",VERB ADP VERB,"You can imagine how disappointed I was, spending money on such a terrible evening. I would like you to look into the matter immediately and I | insisted on getting some money back. I look forward to receiving a satisfactory reply as soon as possible. ",VERB ADP VERB,28,19.859702451363606,20.968032148274386,False,True
321,TV,False,Incorrect auxiliary used; incorrect verb assignment,"How are you? I | went to the musical show ""Over the Rainbow"" at your theatre last week. I have got a few things to complain about regarding your theatre. The first thing is in your note it says that you have Danny Brook in the show. But in the show, there was another actor. I was so disappointed, because I came from far away to see Danny Broke. In the note it also says that the show starts at 19:30, and so I went in at 19:25. The show started at 20:15, which means it wasted one hour of my time. The note says that are discounts available there are discounts available on tickets , but I bought my ticket and your people told me that there is no discount on the tickets. When the show had finished . , I decided to go and visit your theatre restaurant , . But I went there and it was closed for some reason. I was really hungry and I went to another restaurant as soon as I could. The note says that your perfect evening out, I thought I could get my money back, with your poor service and all my reasons, but it was not ask for money back . ",VERB ADP DET,"How are you? I | have been to the musical show ""Over the Rainbow"" at your theatre last week. I have got a few things to complain about regarding your theatre. The first thing is in your note it says that you have Danny Brook in the show. But in the show, there was another actor. I was so disappointed, because I came from far away to see Danny Broke. In the note it also says that the show starts at 19:30, and so I went in at 19:25. The show started at 20:15, which means it wasted one hour of my time. The note says that are discounts available there are discounts available on tickets , but I bought my ticket and your people told me that there is no discount on the tickets. When the show had finished . , I decided to go and visit your theatre restaurant , . But I went there and it was closed for some reason. I was really hungry and I went to another restaurant as soon as I could. The note says that your perfect evening out, I thought I could get my money back, with your poor service and all my reasons, but it was not ask for money back . ",VERB VERB ADP,5,21.35767871108108,20.6976014146942,True,False
322,TV,False,Overcorrection,"How are you? I went to the musical show ""Over the Rainbow"" at your theatre last week. I have got a few things to complain about regarding your theatre. The first thing is in your note it says that you have Danny Brook in the show. But in the show, there was another actor. I was so disappointed, because I came from far away to see Danny Broke. In the note it also says that the show starts at 19:30, and so I went in at 19:25. The show | started at 20:15, which means it wasted one hour of my time. The note says that are discounts available there are discounts available on tickets , but I bought my ticket and your people told me that there is no discount on the tickets. When the show had finished . , I decided to go and visit your theatre restaurant , . But I went there and it was closed for some reason. I was really hungry and I went to another restaurant as soon as I could. The note says that your perfect evening out, I thought I could get my money back, with your poor service and all my reasons, but it was not ask for money back . ",VERB ADP NUM,"How are you? I went to the musical show ""Over the Rainbow"" at your theatre last week. I have got a few things to complain about regarding your theatre. The first thing is in your note it says that you have Danny Brook in the show. But in the show, there was another actor. I was so disappointed, because I came from far away to see Danny Broke. In the note it also says that the show starts at 19:30, and so I went in at 19:25. The show | was started at 20:15, which means it wasted one hour of my time. The note says that are discounts available there are discounts available on tickets , but I bought my ticket and your people told me that there is no discount on the tickets. When the show had finished . , I decided to go and visit your theatre restaurant , . But I went there and it was closed for some reason. I was really hungry and I went to another restaurant as soon as I could. The note says that your perfect evening out, I thought I could get my money back, with your poor service and all my reasons, but it was not ask for money back . ",VERB VERB ADP,101,21.35767871108108,20.6976014146942,True,False
323,TV,False,Overcorrection,"How are you? I went to the musical show ""Over the Rainbow"" at your theatre last week. I have got a few things to complain about regarding your theatre. The first thing is in your note it says that you have Danny Brook in the show. But in the show, there was another actor. I was so disappointed, because I came from far away to see Danny Broke. In the note it also says that the show starts at 19:30, and so I went in at 19:25. The show started at 20:15, which means it | wasted one hour of my time. The note says that are discounts available there are discounts available on tickets , but I bought my ticket and your people told me that there is no discount on the tickets. When the show had finished . , I decided to go and visit your theatre restaurant , . But I went there and it was closed for some reason. I was really hungry and I went to another restaurant as soon as I could. The note says that your perfect evening out, I thought I could get my money back, with your poor service and all my reasons, but it was not ask for money back . ",VERB NUM NOUN,"How are you? I went to the musical show ""Over the Rainbow"" at your theatre last week. I have got a few things to complain about regarding your theatre. The first thing is in your note it says that you have Danny Brook in the show. But in the show, there was another actor. I was so disappointed, because I came from far away to see Danny Broke. In the note it also says that the show starts at 19:30, and so I went in at 19:25. The show started at 20:15, which means it | has wasted one hour of my time. The note says that are discounts available there are discounts available on tickets , but I bought my ticket and your people told me that there is no discount on the tickets. When the show had finished . , I decided to go and visit your theatre restaurant , . But I went there and it was closed for some reason. I was really hungry and I went to another restaurant as soon as I could. The note says that your perfect evening out, I thought I could get my money back, with your poor service and all my reasons, but it was not ask for money back . ",VERB VERB NUM,108,21.35767871108108,20.6976014146942,True,False
324,TV,False,Incorrect auxiliary used,"How are you? I went to the musical show ""Over the Rainbow"" at your theatre last week. I have got a few things to complain about regarding your theatre. The first thing is in your note it says that you have Danny Brook in the show. But in the show, there was another actor. I was so disappointed, because I came from far away to see Danny Broke. In the note it also says that the show starts at 19:30, and so I went in at 19:25. The show started at 20:15, which means it wasted one hour of my time. The note says that are discounts available there are discounts available on tickets , but I bought my ticket and your people told me that there is no discount on the tickets. When the show | had finished . , I decided to go and visit your theatre restaurant , . But I went there and it was closed for some reason. I was really hungry and I went to another restaurant as soon as I could. The note says that your perfect evening out, I thought I could get my money back, with your poor service and all my reasons, but it was not ask for money back . ",VERB VERB PUNCT,"How are you? I went to the musical show ""Over the Rainbow"" at your theatre last week. I have got a few things to complain about regarding your theatre. The first thing is in your note it says that you have Danny Brook in the show. But in the show, there was another actor. I was so disappointed, because I came from far away to see Danny Broke. In the note it also says that the show starts at 19:30, and so I went in at 19:25. The show started at 20:15, which means it wasted one hour of my time. The note says that are discounts available there are discounts available on tickets , but I bought my ticket and your people told me that there is no discount on the tickets. When the show | is finished . , I decided to go and visit your theatre restaurant , . But I went there and it was closed for some reason. I was really hungry and I went to another restaurant as soon as I could. The note says that your perfect evening out, I thought I could get my money back, with your poor service and all my reasons, but it was not ask for money back . ",VERB VERB PUNCT,151,21.35767871108108,20.6976014146942,True,False
325,TV,True,Chinese generally expresses actions in present tense,"How are you? I went to the musical show ""Over the Rainbow"" at your theatre last week. I have got a few things to complain about regarding your theatre. The first thing is in your note it says that you have Danny Brook in the show. But in the show, there was another actor. I was so disappointed, because I came from far away to see Danny Broke. In the note it also says that the show starts at 19:30, and so I went in at 19:25. The show started at 20:15, which means it wasted one hour of my time. The note says that are discounts available there are discounts available on tickets , but I bought my ticket and your people told me that there is no discount on the tickets. When the show had finished . , I decided to go and visit your theatre restaurant , . But I went there and it | was closed for some reason. I was really hungry and I went to another restaurant as soon as I could. The note says that your perfect evening out, I thought I could get my money back, with your poor service and all my reasons, but it was not ask for money back . ",VERB VERB ADP,"How are you? I went to the musical show ""Over the Rainbow"" at your theatre last week. I have got a few things to complain about regarding your theatre. The first thing is in your note it says that you have Danny Brook in the show. But in the show, there was another actor. I was so disappointed, because I came from far away to see Danny Broke. In the note it also says that the show starts at 19:30, and so I went in at 19:25. The show started at 20:15, which means it wasted one hour of my time. The note says that are discounts available there are discounts available on tickets , but I bought my ticket and your people told me that there is no discount on the tickets. When the show had finished . , I decided to go and visit your theatre restaurant , . But I went there and it | is closed for some reason. I was really hungry and I went to another restaurant as soon as I could. The note says that your perfect evening out, I thought I could get my money back, with your poor service and all my reasons, but it was not ask for money back . ",VERB VERB ADP,172,21.35767871108108,20.6976014146942,True,True
326,TV,True,English words map to the same Chinese word,"How are you? I went to the musical show ""Over the Rainbow"" at your theatre last week. I have got a few things to complain about regarding your theatre. The first thing is in your note it says that you have Danny Brook in the show. But in the show, there was another actor. I was so disappointed, because I came from far away to see Danny Broke. In the note it also says that the show starts at 19:30, and so I went in at 19:25. The show started at 20:15, which means it wasted one hour of my time. The note says that are discounts available there are discounts available on tickets , but I bought my ticket and your people told me that there is no discount on the tickets. When the show had finished . , I decided to go and visit your theatre restaurant , . But I went there and it was closed for some reason. I was really hungry and I went to another restaurant as soon as I | could. The note says that your perfect evening out, I thought I could get my money back, with your poor service and all my reasons, but it was not ask for money back . ",VERB PUNCT DET,"How are you? I went to the musical show ""Over the Rainbow"" at your theatre last week. I have got a few things to complain about regarding your theatre. The first thing is in your note it says that you have Danny Brook in the show. But in the show, there was another actor. I was so disappointed, because I came from far away to see Danny Broke. In the note it also says that the show starts at 19:30, and so I went in at 19:25. The show started at 20:15, which means it wasted one hour of my time. The note says that are discounts available there are discounts available on tickets , but I bought my ticket and your people told me that there is no discount on the tickets. When the show had finished . , I decided to go and visit your theatre restaurant , . But I went there and it was closed for some reason. I was really hungry and I went to another restaurant as soon as I | can. The note says that your perfect evening out, I thought I could get my money back, with your poor service and all my reasons, but it was not ask for money back . ",VERB PUNCT DET,192,21.45237780915013,21.100499612683603,True,True
327,TV,True,Chinese generally expresses actions in present tense,"Today, science and technology help us a lot. For example . In , in the past, people | had to go and get wood, make a fire and cook, but now people can cook in a microwave and do not have to do all the hard work. ",VERB PART VERB,"Today, science and technology help us a lot. For example . In , in the past, people | have to go and get wood, make a fire and cook, but now people can cook in a microwave and do not have to do all the hard work. ",VERB PART VERB,20,20.52799184048125,19.318617096405898,True,True
328,TV,True,Chinese generally expresses actions in present tense,"Science and technology can give us a better lifestyle or better food. For example, once people | had to walk from one place to another, but now we can use science and technology to produce a lot of petrol-powered vehicles and we can travel faster with them. We can also produce more and better food by using science and technology . , e.g. by using science to put all the good parts of two plants into one plant. We can also use technology to produce more food and help them grow faster. ",VERB PART VERB,"Science and technology can give us a better lifestyle or better food. For example, once people | have to walk from one place to another, but now we can use science and technology to produce a lot of petrol-powered vehicles and we can travel faster with them. We can also produce more and better food by using science and technology . , e.g. by using science to put all the good parts of two plants into one plant. We can also use technology to produce more food and help them grow faster. ",VERB PART VERB,18,20.52799184048125,19.318617096405898,True,True
329,TV,False,Missing auxiliary,"Science and technology can also | be used to produce some materials, e.g. steel or iron, which are used in our buildings , they . They can make them stronger and hard to destroy. ",VERB VERB PART,"Science and technology can also | used to produce some materials, e.g. steel or iron, which are used in our buildings , they . They can make them stronger and hard to destroy. ",VERB PART VERB,5,20.52799184048125,19.318617096405898,True,False
330,TV,True,Missing auxiliary; Present tense used instead of present perfect,"Science and technology can also be used to produce some materials, e.g. steel or iron, which | are used in our buildings , they . They can make them stronger and hard to destroy. ",VERB VERB ADP,"Science and technology can also be used to produce some materials, e.g. steel or iron, which | use in our buildings , they . They can make them stronger and hard to destroy. ",VERB ADP DET,18,19.859702451363606,20.968032148274386,False,False
331,TV,True,Present perfect used instead of past perfect,"In your advertisement, you | had written that Danny Brook and Tina Truelove would be performing. However, I noticed when I was watching it that a different actor was performing. I | had expected Danny Brook to perform and it was extremely disappointing. ",VERB VERB ADP,"In your advertisement, you | have written that Danny Brook and Tina Truelove would be performing. However, I noticed when I was watching it that a different actor was performing. I | have expected Danny Brook to perform and it was extremely disappointing. ",VERB VERB ADP,5,21.35767871108108,20.6976014146942,True,True
332,TV,True,Present perfect used instead of past perfect,"In your advertisement, you | had written that Danny Brook and Tina Truelove would be performing. However, I noticed when I was watching it that a different actor was performing. I | had expected Danny Brook to perform and it was extremely disappointing. ",VERB VERB ADP,"In your advertisement, you | have written that Danny Brook and Tina Truelove would be performing. However, I noticed when I was watching it that a different actor was performing. I | have expected Danny Brook to perform and it was extremely disappointing. ",VERB VERB ADP,5,21.35767871108108,20.6976014146942,True,True
333,TV,True,English words map to the same Chinese word,"It was not my 'perfect evening out', as your advertisement said it would be, and I would like some money back. I hope you | will give these problems your immediate attention. ",VERB VERB DET,"It was not my 'perfect evening out', as your advertisement said it would be, and I would like some money back. I hope you | would give these problems your immediate attention. ",VERB VERB DET,29,21.35767871108108,20.6976014146942,True,True
334,TV,True,Chinese generally expresses actions in present tense; Missing Auxiliary,"However, the person who helped me through this hard time was, surprisingly, Pat. She showed up on my doorstep just when I was having one of my worst days. She told me she | had heard about my parents' divorce and wanted to help. When she was comforting me I noticed she had changed. She was a person I could turn to, I could trust. She let me pour out my feelings, a thing I did not do with anyone. Ever since, she has had my trust and I have told her my feelings and secrets. Unlike a year ago she did not tell a soul. She kept every single one of my secrets well, and, not surprisingly, she became my best friend. Eventually, I got over my parents' divorce and lived like a normal, happy teenager. ",VERB VERB ADP,"However, the person who helped me through this hard time was, surprisingly, Pat. She showed up on my doorstep just when I was having one of my worst days. She told me she | heard about my parents' divorce and wanted to help. When she was comforting me I noticed she had changed. She was a person I could turn to, I could trust. She let me pour out my feelings, a thing I did not do with anyone. Ever since, she has had my trust and I have told her my feelings and secrets. Unlike a year ago she did not tell a soul. She kept every single one of my secrets well, and, not surprisingly, she became my best friend. Eventually, I got over my parents' divorce and lived like a normal, happy teenager. ",VERB ADP DET,38,19.859702451363606,20.968032148274386,False,False
335,TV,True,Chinese generally expresses actions in present tense; Missing Auxiliary,"However, the person who helped me through this hard time was, surprisingly, Pat. She showed up on my doorstep just when I was having one of my worst days. She told me she had heard about my parents' divorce and wanted to help. When she was comforting me I noticed she had changed. She was a person I could turn to, I could trust. She let me pour out my feelings, a thing I did not do with anyone. Ever since, she has had my trust and I | have told her my feelings and secrets. Unlike a year ago she did not tell a soul. She kept every single one of my secrets well, and, not surprisingly, she became my best friend. Eventually, I got over my parents' divorce and lived like a normal, happy teenager. ",VERB VERB PRON,"However, the person who helped me through this hard time was, surprisingly, Pat. She showed up on my doorstep just when I was having one of my worst days. She told me she had heard about my parents' divorce and wanted to help. When she was comforting me I noticed she had changed. She was a person I could turn to, I could trust. She let me pour out my feelings, a thing I did not do with anyone. Ever since, she has had my trust and I | told her my feelings and secrets. Unlike a year ago she did not tell a soul. She kept every single one of my secrets well, and, not surprisingly, she became my best friend. Eventually, I got over my parents' divorce and lived like a normal, happy teenager. ",VERB PRON DET,101,19.017665513658788,19.133156350098183,False,False
336,TV,False,Extra unecessary auxiliary added; Incorrectly using progressive aspect,"I | still miss Pat, but my pain is nearly over now. I could only comfort myself by reminding myself that at least she died knowing I had forgiven her for telling my secret. ",ADV VERB PROPN,"I | am still missing Pat, but my pain is nearly over now. I could only comfort myself by reminding myself that at least she died knowing I had forgiven her for telling my secret. ",VERB ADV VERB,1,20.24224463369152,19.40997532251712,True,False
337,TV,False,Tense doesn't match the rest of the sentence; Applying same tense to all verbs to show tense,"Shopping is not always enjoyable , sometimes . Sometimes there is a long queue or a machine | is broken. A lot of circumstances will arise. ",VERB VERB PUNCT,"Shopping is not always enjoyable , sometimes . Sometimes there is a long queue or a machine | was broken. A lot of circumstances will arise. ",VERB VERB PUNCT,17,21.35767871108108,20.6976014146942,True,False
338,TV,True,Chinese generally expresses actions in present tense,"I | had an unpleasant experience. It was at lunchtime. Everybody had gone to buy lunch in the supermarket , in . In fact, nobody likes crowds and queues, especially not in the summertime. I was queuing in the middle of row . I chose this aisle because I thought it was quicker than the others. Although there were finished two people, next was me, something was happened . Suddenly the customer thought the receipt was not right , she . She did not buy a lot of things but the shop assistant did not make a mistake , they . They argued about this thing. The shop manager came to solve it. Obviously, I | had to try another aisle. It was the longest queue , I have ever been in. ",VERB DET ADJ,"I | have an unpleasant experience. It was at lunchtime. Everybody had gone to buy lunch in the supermarket , in . In fact, nobody likes crowds and queues, especially not in the summertime. I was queuing in the middle of row . I chose this aisle because I thought it was quicker than the others. Although there were finished two people, next was me, something was happened . Suddenly the customer thought the receipt was not right , she . She did not buy a lot of things but the shop assistant did not make a mistake , they . They argued about this thing. The shop manager came to solve it. Obviously, I | have to try another aisle. It was the longest queue , I have ever been in. ",VERB DET ADJ,1,19.16789931634027,20.881033050390226,False,False
339,TV,False,Past tense used instead of past perfect,"I had an unpleasant experience. It was at lunchtime. Everybody | had gone to buy lunch in the supermarket , in . In fact, nobody likes crowds and queues, especially not in the summertime. I was queuing in the middle of row . I chose this aisle because I thought it was quicker than the others. Although there were finished two people, next was me, something was happened . Suddenly the customer thought the receipt was not right , she . She did not buy a lot of things but the shop assistant did not make a mistake , they . They argued about this thing. The shop manager came to solve it. Obviously, I had to try another aisle. It was the longest queue , I have ever been in. ",VERB VERB PART,"I had an unpleasant experience. It was at lunchtime. Everybody | went to buy lunch in the supermarket , in . In fact, nobody likes crowds and queues, especially not in the summertime. I was queuing in the middle of row . I chose this aisle because I thought it was quicker than the others. Although there were finished two people, next was me, something was happened . Suddenly the customer thought the receipt was not right , she . She did not buy a lot of things but the shop assistant did not make a mistake , they . They argued about this thing. The shop manager came to solve it. Obviously, I had to try another aisle. It was the longest queue , I have ever been in. ",VERB PART VERB,12,20.52799184048125,19.318617096405898,True,False
340,TV,False,Overcorrection,"I had an unpleasant experience. It was at lunchtime. Everybody had gone to buy lunch in the supermarket , in . In fact, nobody | likes crowds and queues, especially not in the summertime. I was queuing in the middle of row . I chose this aisle because I thought it was quicker than the others. Although there were finished two people, next was me, something was happened . Suddenly the customer thought the receipt was not right , she . She did not buy a lot of things but the shop assistant did not make a mistake , they . They argued about this thing. The shop manager came to solve it. Obviously, I had to try another aisle. It was the longest queue , I have ever been in. ",VERB NOUN CCONJ,"I had an unpleasant experience. It was at lunchtime. Everybody had gone to buy lunch in the supermarket , in . In fact, nobody | liked crowds and queues, especially not in the summertime. I was queuing in the middle of row . I chose this aisle because I thought it was quicker than the others. Although there were finished two people, next was me, something was happened . Suddenly the customer thought the receipt was not right , she . She did not buy a lot of things but the shop assistant did not make a mistake , they . They argued about this thing. The shop manager came to solve it. Obviously, I had to try another aisle. It was the longest queue , I have ever been in. ",VERB NOUN CCONJ,27,21.994531934494454,21.39736637611521,True,False
341,TV,True,Chinese generally expresses actions in present tense,"I had an unpleasant experience. It was at lunchtime. Everybody had gone to buy lunch in the supermarket , in . In fact, nobody likes crowds and queues, especially not in the summertime. I was queuing in the middle of row . I | chose this aisle because I thought it was quicker than the others. Although there were finished two people, next was me, something was happened . Suddenly the customer thought the receipt was not right , she . She did not buy a lot of things but the shop assistant did not make a mistake , they . They argued about this thing. The shop manager came to solve it. Obviously, I had to try another aisle. It was the longest queue , I have ever been in. ",VERB DET NOUN,"I had an unpleasant experience. It was at lunchtime. Everybody had gone to buy lunch in the supermarket , in . In fact, nobody likes crowds and queues, especially not in the summertime. I was queuing in the middle of row . I | choose this aisle because I thought it was quicker than the others. Although there were finished two people, next was me, something was happened . Suddenly the customer thought the receipt was not right , she . She did not buy a lot of things but the shop assistant did not make a mistake , they . They argued about this thing. The shop manager came to solve it. Obviously, I had to try another aisle. It was the longest queue , I have ever been in. ",VERB DET NOUN,48,19.16789931634027,20.881033050390226,False,False
342,TV,True,Incorrectly using progressive aspect; Using auxiliary in past tense to inflect tense rather than changing the lexical verb's tense,"I had an unpleasant experience. It was at lunchtime. Everybody had gone to buy lunch in the supermarket , in . In fact, nobody likes crowds and queues, especially not in the summertime. I was queuing in the middle of row . I chose this aisle because I thought it was quicker than the others. Although there were finished two people, next was me, something was happened . Suddenly the customer thought the receipt was not right , she . She did not buy a lot of things but the shop assistant did not make a mistake , they . They argued about this thing. The shop manager | came to solve it. Obviously, I had to try another aisle. It was the longest queue , I have ever been in. ",VERB PART VERB,"I had an unpleasant experience. It was at lunchtime. Everybody had gone to buy lunch in the supermarket , in . In fact, nobody likes crowds and queues, especially not in the summertime. I was queuing in the middle of row . I chose this aisle because I thought it was quicker than the others. Although there were finished two people, next was me, something was happened . Suddenly the customer thought the receipt was not right , she . She did not buy a lot of things but the shop assistant did not make a mistake , they . They argued about this thing. The shop manager | was coming to solve it. Obviously, I had to try another aisle. It was the longest queue , I have ever been in. ",VERB VERB PART,117,21.35767871108108,20.6976014146942,True,True
343,TV,True,Context carries tense rather than verb; Generally Chinese usually express actions in present tense,"I | had an unpleasant experience. It was at lunchtime. Everybody had gone to buy lunch in the supermarket , in . In fact, nobody likes crowds and queues, especially not in the summertime. I was queuing in the middle of row . I chose this aisle because I thought it was quicker than the others. Although there were finished two people, next was me, something was happened . Suddenly the customer thought the receipt was not right , she . She did not buy a lot of things but the shop assistant did not make a mistake , they . They argued about this thing. The shop manager came to solve it. Obviously, I | had to try another aisle. It was the longest queue , I have ever been in. ",VERB DET ADJ,"I | have an unpleasant experience. It was at lunchtime. Everybody had gone to buy lunch in the supermarket , in . In fact, nobody likes crowds and queues, especially not in the summertime. I was queuing in the middle of row . I chose this aisle because I thought it was quicker than the others. Although there were finished two people, next was me, something was happened . Suddenly the customer thought the receipt was not right , she . She did not buy a lot of things but the shop assistant did not make a mistake , they . They argued about this thing. The shop manager came to solve it. Obviously, I | have to try another aisle. It was the longest queue , I have ever been in. ",VERB DET ADJ,1,19.16789931634027,20.881033050390226,False,False
344,TV,False,Modal used for polite speech; Extra unecessary auxiliary added,"Shopping | is enjoyable, if you are lucky. Even though I think most of the time it is very interesting, sometimes it gets people upset. ",VERB ADJ PUNCT,"Shopping | would be enjoyable, if you are lucky. Even though I think most of the time it is very interesting, sometimes it gets people upset. ",VERB VERB ADJ,1,21.35767871108108,20.6976014146942,True,False
345,TV,True,Present tense used instead of future progressive; Missing Auxiliary,"I am a student at Portsmouth College and the end of this term is 23 June, so I can only travel in July. I wonder if it is all right to come at that time. And concerning my accommodation . , I would prefer to stay in a log cabin, because it is more comfortable. I would like to relax there and enjoy the atmosphere in which I | will be living . ",VERB VERB VERB,"I am a student at Portsmouth College and the end of this term is 23 June, so I can only travel in July. I wonder if it is all right to come at that time. And concerning my accommodation . , I would prefer to stay in a log cabin, because it is more comfortable. I would like to relax there and enjoy the atmosphere in which I | live . ",VERB PUNCT _,73,21.45237780915013,21.100499612683603,True,True
346,TV,True,Modal used for polite speech; English words map to the same Chinese word; ,"First of all, I am sorry to say that I | can only travel in July. As my family's new restaurant is about to open in August, I need to help with the restaurant, which is expected to be rather busy. ",VERB ADV VERB,"First of all, I am sorry to say that I | could only travel in July. As my family's new restaurant is about to open in August, I need to help with the restaurant, which is expected to be rather busy. ",VERB ADV VERB,11,20.24224463369152,19.40997532251712,True,True
347,TV,False,Past tense used instead of past perfect,I really wish you | had been there with me on one of the exciting nights in my life. Now I can't wait to tell you every detail. Are you ready?,VERB VERB ADV,I really wish you | were there with me on one of the exciting nights in my life. Now I can't wait to tell you every detail. Are you ready?,VERB ADV ADP,4,20.24224463369152,19.40997532251712,True,False
348,TV,True,Context carries tense rather than verb.,"A few minutes after the concert began, a backstage assistant called in sick who was responsible for checking whether everything | was going well according to the timetable , if . If something comes up, she should inform the other staff. I was then taken on to cover her job. I couldn't find my feet at first as I was so nervous. I was given lots of paper with many different times on it. I did manage to ""study"" them though, thanks to the other staff. They were very helpful and nice. They patiently explained to me my job even though they were fairly busy themselves. Then I found it was not as complicated as I thought at first. And I guess I did a good job as everything was going quite well. ",VERB VERB ADV,"A few minutes after the concert began, a backstage assistant called in sick who was responsible for checking whether everything | is going well according to the timetable , if . If something comes up, she should inform the other staff. I was then taken on to cover her job. I couldn't find my feet at first as I was so nervous. I was given lots of paper with many different times on it. I did manage to ""study"" them though, thanks to the other staff. They were very helpful and nice. They patiently explained to me my job even though they were fairly busy themselves. Then I found it was not as complicated as I thought at first. And I guess I did a good job as everything was going quite well. ",VERB VERB ADV,21,21.35767871108108,20.6976014146942,True,True
