,correct_trigram_poss,error_type,count
258,ADV PRON VERB,ID,1
260,ADV PRON VERB,RA,1
263,ADV PRON VERB,UT,1
281,ADV PUNCT INTJ,MP,1
264,ADV PUNCT ADJ,MP,1
265,ADV PUNCT ADJ,MY,1
266,ADV PUNCT ADP,DY,1
268,ADV PUNCT ADP,MY,1
269,ADV PUNCT ADP,R,1
270,ADV PUNCT ADV,ID,1
271,ADV PUNCT ADV,MP,1
272,ADV PUNCT ADV,RY,1
274,ADV PUNCT ADV,SX,1
275,ADV PUNCT CCONJ,S,1
276,ADV PUNCT DET,DY,1
165,ADP PRON ADV,W,1
164,ADP PRON ADP,R,1
162,ADP PRON ADP,M,1
75,ADJ PUNCT PROPN,RJ,1
37,ADJ NOUN PART,W,1
38,ADJ NOUN PRON,AGQ,1
39,ADJ NOUN PRON,R,1
40,ADJ NOUN PUNCT,AGQ,1
42,ADJ NOUN PUNCT,MQ,1
45,ADJ NOUN PUNCT,U,1
47,ADJ NOUN VERB,RQ,1
48,ADJ NOUN _,DJ,1
49,ADJ PRON PUNCT,RJ,1
50,ADJ PRON VERB,UY,1
51,ADJ PROPN PUNCT,SX,1
52,ADJ PUNCT ADJ,MP,1
53,ADJ PUNCT ADP,FJ,1
54,ADJ PUNCT ADP,MP,1
55,ADJ PUNCT ADP,RJ,1
57,ADJ PUNCT ADV,MJ,1
60,ADJ PUNCT CCONJ,MP,1
62,ADJ PUNCT CCONJ,SX,1
63,ADJ PUNCT CCONJ,X,1
64,ADJ PUNCT DET,FV,1
65,ADJ PUNCT NOUN,FJ,1
67,ADJ PUNCT NOUN,RJ,1
68,ADJ PUNCT NOUN,RN,1
69,ADJ PUNCT NOUN,U,1
70,ADJ PUNCT PART,DJ,1
36,ADJ NOUN PART,RY,1
35,ADJ NOUN CCONJ,U,1
33,ADJ NOUN ADP,RJ,1
18,ADJ ADP VERB,MQ,1
2,ADJ ADP ADV,DJ,1
5,ADJ ADP DET,ID,1
6,ADJ ADP DET,R,1
7,ADJ ADP DET,RV,1
9,ADJ ADP NOUN,DJ,1
11,ADJ ADP NOUN,RJ,1
12,ADJ ADP NOUN,S,1
13,ADJ ADP NUM,DJ,1
14,ADJ ADP NUM,SX,1
16,ADJ ADP PRON,RJ,1
17,ADJ ADP PUNCT,S,1
19,ADJ ADP VERB,S,1
32,ADJ NOUN ADP,MQ,1
20,ADJ ADP X,S,1
21,ADJ ADV ADJ,IQ,1
22,ADJ ADV PART,W,1
23,ADJ ADV PUNCT,MJ,1
24,ADJ CCONJ ADJ,M,1
25,ADJ CCONJ PRON,RJ,1
26,ADJ DET DET,DJ,1
27,ADJ DET NOUN,RT,1
28,ADJ DET NOUN,S,1
30,ADJ NOUN ADP,MJ,1
31,ADJ NOUN ADP,MP,1
74,ADJ PUNCT PRON,UA,1
76,ADJ PUNCT PUNCT,UY,1
160,ADP NUM PROPN,MT,1
81,ADJ PUNCT _,RY,1
123,ADP DET NOUN,SX,1
125,ADP DET NOUN,UA,1
126,ADP DET NOUN,UJ,1
127,ADP DET NOUN,UN,1
128,ADP DET NOUN,UT,1
132,ADP DET PRON,R,1
133,ADP DET PRON,UY,1
135,ADP DET PROPN,UN,1
136,ADP DET PUNCT,R,1
137,ADP DET VERB,R,1
140,ADP NOUN ADP,MT,1
142,ADP NOUN ADP,RP,1
143,ADP NOUN ADP,UA,1
144,ADP NOUN ADV,W,1
145,ADP NOUN CCONJ,R,1
147,ADP NOUN DET,MT,1
148,ADP NOUN NOUN,RT,1
149,ADP NOUN PRON,MT,1
150,ADP NOUN PRON,R,1
151,ADP NOUN PUNCT,ID,1
152,ADP NOUN PUNCT,M,1
153,ADP NOUN PUNCT,MC,1
155,ADP NOUN PUNCT,R,1
156,ADP NOUN PUNCT,UT,1
159,ADP NUM NOUN,S,1
122,ADP DET NOUN,S,1
120,ADP DET NOUN,RC,1
118,ADP DET NOUN,MY,1
99,ADP ADP NOUN,SX,1
84,ADP ADJ PROPN,ID,1
85,ADP ADJ PUNCT,MT,1
86,ADP ADJ PUNCT,RY,1
87,ADP ADJ PUNCT,S,1
88,ADP ADJ PUNCT,UC,1
89,ADP ADP ADV,MY,1
90,ADP ADP DET,MC,1
95,ADP ADP DET,S,1
96,ADP ADP DET,UY,1
97,ADP ADP NOUN,MT,1
98,ADP ADP NOUN,R,1
100,ADP ADP PRON,R,1
114,ADP DET DET,S,1
101,ADP ADV ADP,RP,1
102,ADP ADV ADV,R,1
103,ADP ADV DET,ID,1
104,ADP ADV DET,MT,1
105,ADP ADV DET,W,1
106,ADP ADV PRON,MT,1
107,ADP ADV PRON,U,1
108,ADP ADV SYM,W,1
109,ADP ADV VERB,R,1
110,ADP DET ADJ,ID,1
113,ADP DET DET,R,1
326,CCONJ ADP VERB,MC,1
327,CCONJ ADV ADP,SX,1
328,CCONJ ADV NOUN,R,1
577,NOUN NOUN PRON,UD,1
542,NOUN CCONJ ADV,MN,1
545,NOUN CCONJ DET,CN,1
547,NOUN CCONJ DET,RN,1
548,NOUN CCONJ DET,S,1
550,NOUN CCONJ DET,UT,1
552,NOUN CCONJ NOUN,UP,1
553,NOUN CCONJ NOUN,UT,1
555,NOUN CCONJ PRON,FN,1
556,NOUN CCONJ PRON,RN,1
557,NOUN CCONJ PRON,S,1
558,NOUN CCONJ PRON,UD,1
559,NOUN CCONJ VERB,UT,1
560,NOUN DET ADJ,S,1
561,NOUN DET DET,MN,1
562,NOUN DET NOUN,AGV,1
563,NOUN DET NOUN,U,1
564,NOUN DET NOUN,UT,1
565,NOUN DET PRON,RN,1
1,ADJ ADP ADP,DJ,1
567,NOUN DET PRON,UD,1
568,NOUN DET PRON,UT,1
569,NOUN DET VERB,R,1
570,NOUN DET VERB,RA,1
572,NOUN DET VERB,U,1
575,NOUN NOUN CCONJ,W,1
541,NOUN CCONJ ADJ,UD,1
540,NOUN ADV VERB,S,1
538,NOUN ADV PUNCT,S,1
521,NOUN ADP PROPN,AGN,1
507,NOUN ADP NOUN,M,1
508,NOUN ADP NOUN,RA,1
509,NOUN ADP NOUN,RN,1
511,NOUN ADP NOUN,UD,1
513,NOUN ADP NUM,AGN,1
514,NOUN ADP NUM,CN,1
516,NOUN ADP PRON,IN,1
517,NOUN ADP PRON,RN,1
518,NOUN ADP PRON,RP,1
519,NOUN ADP PRON,S,1
520,NOUN ADP PRON,UD,1
523,NOUN ADP PROPN,MN,1
537,NOUN ADV PUNCT,MN,1
524,NOUN ADP PROPN,RP,1
525,NOUN ADP PUNCT,AGN,1
526,NOUN ADP PUNCT,RP,1
527,NOUN ADP VERB,FN,1
528,NOUN ADP VERB,ID,1
529,NOUN ADP VERB,UD,1
531,NOUN ADV ADJ,RP,1
533,NOUN ADV ADP,CN,1
534,NOUN ADV ADV,UD,1
535,NOUN ADV DET,UD,1
536,NOUN ADV PUNCT,MA,1
576,NOUN NOUN NOUN,W,1
578,NOUN NOUN PUNCT,MN,1
502,NOUN ADP DET,X,1
579,NOUN NOUN PUNCT,R,1
625,NOUN PUNCT CCONJ,U,1
630,NOUN PUNCT DET,L,1
631,NOUN PUNCT DET,MN,1
633,NOUN PUNCT DET,R,1
635,NOUN PUNCT DET,RP,1
638,NOUN PUNCT INTJ,UD,1
639,NOUN PUNCT NOUN,CN,1
642,NOUN PUNCT NOUN,MP,1
644,NOUN PUNCT NOUN,SX,1
645,NOUN PUNCT NOUN,UD,1
647,NOUN PUNCT PART,RP,1
649,NOUN PUNCT PRON,DN,1
652,NOUN PUNCT PRON,R,1
653,NOUN PUNCT PRON,RA,1
656,NOUN PUNCT PRON,SX,1
657,NOUN PUNCT PRON,UA,1
660,NOUN PUNCT PUNCT,CN,1
661,NOUN PUNCT PUNCT,DN,1
662,NOUN PUNCT PUNCT,FN,1
664,NOUN PUNCT PUNCT,RP,1
665,NOUN PUNCT PUNCT,UD,1
666,NOUN PUNCT PUNCT,UT,1
668,NOUN PUNCT VERB,MN,1
670,NOUN PUNCT VERB,RP,1
671,NOUN PUNCT VERB,S,1
624,NOUN PUNCT CCONJ,S,1
622,NOUN PUNCT CCONJ,RN,1
620,NOUN PUNCT CCONJ,FN,1
596,NOUN PRON AUX,FN,1
580,NOUN NOUN PUNCT,RN,1
582,NOUN NOUN PUNCT,S,1
583,NOUN NOUN PUNCT,U,1
584,NOUN NOUN PUNCT,UD,1
587,NOUN NOUN VERB,UD,1
588,NOUN NOUN VERB,W,1
589,NOUN NUM NOUN,MN,1
590,NOUN PART NOUN,MN,1
592,NOUN PART VERB,RN,1
594,NOUN PART VERB,UT,1
595,NOUN PRON ADP,R,1
597,NOUN PRON VERB,RA,1
619,NOUN PUNCT CCONJ,DN,1
598,NOUN PRON VERB,RP,1
599,NOUN PRON VERB,U,1
601,NOUN PROPN DET,RP,1
602,NOUN PROPN PUNCT,FN,1
603,NOUN PUNCT ADJ,MP,1
605,NOUN PUNCT ADP,FN,1
607,NOUN PUNCT ADP,R,1
608,NOUN PUNCT ADP,S,1
612,NOUN PUNCT ADV,MA,1
615,NOUN PUNCT ADV,SX,1
617,NOUN PUNCT ADV,UT,1
506,NOUN ADP NOUN,IQ,1
501,NOUN ADP DET,UT,1
329,CCONJ ADV PRON,MC,1
413,DET NOUN NOUN,UN,1
369,DET ADJ VERB,R,1
371,DET ADP DET,R,1
372,DET ADP DET,UT,1
373,DET ADP PRON,AS,1
374,DET ADP PRON,R,1
375,DET ADV ADJ,MD,1
376,DET ADV PUNCT,MA,1
377,DET ADV VERB,RA,1
378,DET CCONJ PRON,MA,1
380,DET DET NOUN,W,1
381,DET DET VERB,S,1
382,DET NOUN ADJ,S,1
383,DET NOUN ADJ,UC,1
384,DET NOUN ADP,AGD,1
385,DET NOUN ADP,ID,1
387,DET NOUN ADP,MA,1
392,DET NOUN ADP,UC,1
393,DET NOUN ADP,UD,1
400,DET NOUN CCONJ,MQ,1
402,DET NOUN CCONJ,U,1
403,DET NOUN CCONJ,UC,1
406,DET NOUN CCONJ,UY,1
407,DET NOUN DET,M,1
408,DET NOUN DET,RD,1
410,DET NOUN NOUN,ID,1
367,DET ADJ NUM,R,1
365,DET ADJ NOUN,UV,1
362,DET ADJ NOUN,R,1
341,CCONJ NOUN PUNCT,MC,1
330,CCONJ ADV PRON,RC,1
331,CCONJ ADV PUNCT,MC,1
332,CCONJ DET NOUN,ID,1
333,CCONJ DET NOUN,MC,1
334,CCONJ DET NOUN,R,1
335,CCONJ DET NOUN,RC,1
336,CCONJ DET NOUN,SX,1
337,CCONJ DET NOUN,W,1
338,CCONJ DET PUNCT,UC,1
339,CCONJ NOUN ADV,RT,1
340,CCONJ NOUN PART,R,1
342,CCONJ NUM NOUN,MC,1
361,DET ADJ NOUN,M,1
343,CCONJ PRON NOUN,SX,1
344,CCONJ PRON PUNCT,R,1
348,CCONJ PRON VERB,UT,1
349,CCONJ PROPN PUNCT,MC,1
350,CCONJ PROPN PUNCT,R,1
352,CCONJ PUNCT ADP,R,1
356,CCONJ VERB DET,MC,1
357,CCONJ VERB DET,R,1
358,CCONJ VERB DET,UA,1
359,DET ADJ ADP,UV,1
360,DET ADJ NOUN,ID,1
412,DET NOUN NOUN,UJ,1
414,DET NOUN NOUN,UT,1
497,NOUN ADP DET,RN,1
415,DET NOUN NOUN,UY,1
465,DET VERB DET,R,1
466,DET VERB DET,UT,1
467,DET VERB DET,W,1
468,DET VERB PUNCT,MD,1
469,DET VERB VERB,M,1
470,INTJ NOUN VERB,RP,1
472,INTJ PUNCT DET,RP,1
473,INTJ PUNCT PRON,RP,1
474,INTJ PUNCT PROPN,MP,1
475,INTJ PUNCT VERB,SX,1
476,INTJ _ _,SX,1
477,NOUN ADJ ADP,AGN,1
478,NOUN ADJ ADP,RP,1
480,NOUN ADJ PUNCT,UT,1
481,NOUN ADJ PUNCT,X,1
482,NOUN ADJ VERB,DA,1
484,NOUN ADP ADJ,FN,1
485,NOUN ADP ADJ,RJ,1
486,NOUN ADP ADP,AGN,1
487,NOUN ADP ADP,RP,1
488,NOUN ADP ADV,RN,1
492,NOUN ADP DET,L,1
494,NOUN ADP DET,MN,1
495,NOUN ADP DET,MY,1
496,NOUN ADP DET,R,1
463,DET VERB ADV,R,1
462,DET VERB ADV,M,1
460,DET VERB ADP,M,1
440,DET NOUN VERB,R,1
417,DET NOUN PART,UA,1
418,DET NOUN PART,UT,1
419,DET NOUN PART,UV,1
420,DET NOUN PRON,AS,1
421,DET NOUN PRON,MD,1
424,DET NOUN PRON,RY,1
426,DET NOUN PRON,W,1
427,DET NOUN PUNCT,AGD,1
430,DET NOUN PUNCT,MN,1
435,DET NOUN PUNCT,S,1
439,DET NOUN PUNCT,UY,1
441,DET NOUN VERB,UC,1
459,DET SYM NUM,U,1
442,DET NOUN VERB,UT,1
444,DET NOUN VERB,X,1
445,DET NUM NOUN,MD,1
446,DET PRON VERB,M,1
449,DET PRON VERB,S,1
450,DET PRON VERB,UT,1
451,DET PRON VERB,W,1
455,DET PUNCT ADP,SX,1
456,DET PUNCT ADV,MP,1
457,DET PUNCT DET,MP,1
458,DET PUNCT VERB,FA,1
1132,X PUNCT ADP,M,1
