,Unnamed: 0,error_type,Negative transfer?,Likely reason for mistake,correct_sentence,correct_trigram_ud,incorrect_sentence,incorrect_trigram_ud,incorrect_error_index,type_and_trigram_ud,ud_quadgram,penn_quadgram,nlt,result
2518,63,M,False,Incorrect/incomplete expression used,"For the afternoon free time on the last day . There , there are a wide variety of choices | in the things that they can do. They can play tennis, do athletics, swim... and many other sports activities in our school, if they want to. Or they can also visit Epsom Town. There are shops which sell clothes, food, and books ... They can decide what they want to do , it's . It's entirely up to them. ",ADP DET NOUN,"For the afternoon free time on the last day . There , there are a wide variety of choices | that they can do. They can play tennis, do athletics, swim... and many other sports activities in our school, if they want to. Or they can also visit Epsom Town. There are shops which sell clothes, food, and books ... They can decide what they want to do , it's . It's entirely up to them. ",DET PRON VERB,19,M DET PRON VERB,NOUN SCONJ PRON VERB,M NNS IN PRP MD,True,False
1073,38,MV,True,Chinese does not have auxiliary verbs,"First of all, the performers should have been Danny Brook and Tina Truelove. However, there were two unknown actors in the show. I feel most disappointed about this. The show started at 20.15 but actually it should | have started at 19.30. Moreover, I bought a £20 ticket without any discount and the advertisement mentioned that a discount was available. And after the show, we went to visit the theatre restaurant. Unfortunately, it was closed because that day was their day-off. But I am wondering why it said we could visit the restaurant if you knew it would be closed. ",VERB VERB ADP,"First of all, the performers should have been Danny Brook and Tina Truelove. However, there were two unknown actors in the show. I feel most disappointed about this. The show started at 20.15 but actually it should | started at 19.30. Moreover, I bought a £20 ticket without any discount and the advertisement mentioned that a discount was available. And after the show, we went to visit the theatre restaurant. Unfortunately, it was closed because that day was their day-off. But I am wondering why it said we could visit the restaurant if you knew it would be closed. ",VERB ADP NUM,42,MV VERB ADP NUM,VERB VERB ADP NUM,MV MD VBN IN CD,True,True
2356,107,RT,True,Chinese conventions conflict with English,"I love swimming, but I am not any good at swimming. I really want to learn how to swim. I was wondering if there is a coach who could give me a lesson | at the Camp. Also, I would like to join the basketball team , . I used to play basketball when I was in high school, and our high school basketball team has won many competitions during the last ten years in our city. I am glad I have taken part in a few competitions, and I was so proud of our basketball team. ",ADP DET PROPN,"I love swimming, but I am not any good at swimming. I really want to learn how to swim. I was wondering if there is a coach who could give me a lesson | during the Camp. Also, I would like to join the basketball team , . I used to play basketball when I was in high school, and our high school basketball team has won many competitions during the last ten years in our city. I am glad I have taken part in a few competitions, and I was so proud of our basketball team. ",ADP DET PROPN,36,RT ADP DET PROPN,NOUN ADP DET PROPN,RT NN IN DT NNP,True,True
1700,12,MD,True,Chinese has no articles and doesn't use classifiers in this situation,"At my home, there are many rules, because I'm careless, so I am not allowed to smoke at home either: and I'm not allowed to use | the telephone, because last year I ran up a £1000 bill for one month , my . My parents were very angry with me, so they told me I am not to use | the telephone any more , oh . Oh , how poor ! ",DET NOUN PUNCT,"At my home, there are many rules, because I'm careless, so I am not allowed to smoke at home either: and I'm not allowed to use | telephone, because last year I ran up a £1000 bill for one month , my . My parents were very angry with me, so they told me I am not to use | telephone any more , oh . Oh , how poor ! ",NOUN PUNCT ADP,32,MD NOUN PUNCT ADP,VERB NOUN PUNCT SCONJ,"MD VB NN , IN",True,True
1087,52,MV,False,Missing word is important to the sentence,"Even though I would like to travel, I am only available in July, because I am a high school student. Thus I have not got a long holiday. I just have one month . Personally, I would rather stay in log cabins than in tents. On account of the fact that staying in log cabins is much more interesting than | staying in tents. As far as two activities are concerned, I would choose singing and photography. I used to win a number of competitions in singing. I can sing plenty of songs . , which include English songs and the Japanese songs, and I have a part-time job singing at a restaurant. Although photography is not as good as singing, I am very interested in it. I have been studying photography since I was 15 years old. I got third prize in a competition last year and my level is professional now. Furthermore, I am going to enter a competition next year. ",VERB ADP NOUN,"Even though I would like to travel, I am only available in July, because I am a high school student. Thus I have not got a long holiday. I just have one month . Personally, I would rather stay in log cabins than in tents. On account of the fact that staying in log cabins is much more interesting than | in tents. As far as two activities are concerned, I would choose singing and photography. I used to win a number of competitions in singing. I can sing plenty of songs . , which include English songs and the Japanese songs, and I have a part-time job singing at a restaurant. Although photography is not as good as singing, I am very interested in it. I have been studying photography since I was 15 years old. I got third prize in a competition last year and my level is professional now. Furthermore, I am going to enter a competition next year. ",ADP NOUN PUNCT,66,MV ADP NOUN PUNCT,SCONJ ADP NOUN PUNCT,MV IN IN NNS .,True,False
680,28,RY,False,Incorrect synonym used,"The activities are quite hard to choose really, because you have a lot of choices which I like. But I think I will choose Basketball and Photography, because basketball is the only sport I can play well. Photography is a very interesting activity, and is not too hard to do | either. ",ADV PUNCT _,"The activities are quite hard to choose really, because you have a lot of choices which I like. But I think I will choose Basketball and Photography, because basketball is the only sport I can play well. Photography is a very interesting activity, and is not too hard to do | too. ",ADV PUNCT _,55,RY ADV PUNCT _,AUX ADV PUNCT,RY VB RB .,True,False
1202,4,MT,False,"Adding ""concerning""'s or ""for""'s Chinese equivalent would make the sentence more ""formal"" in Chinese","Unfortunately, Pat wasn't very good at keeping secrets. My story had already been spread the next day. Although failing in the exams wasn't really a big deal, it was awful that people kept mentioning it. I didn't think I was going to survive after failing the exams and my best friend had been untrustworthy. But this idea was soon be put off since I noticed in the newspaper that I had won the writing competition. I couldn't believe my luck , . I was really sure that I won a return ticket to the Mediterranean Sea. During the trip, I made friends with other people who had also won the competition in their towns. They were so kind to me that we soon became good friends. | For the last few days, we spent our time sightseeing and shopping. I must admit that it was the greatest time I have ever had in my life. On the last day when I was packing and getting ready to leave, I realised I had lost my passport and tickets. A horrible thought suddenly came into my mind. My bad luck had never left me. It had only hidden away from me and when there was a chance, it was going to give me a 'surprise'. ",ADP DET ADJ,"Unfortunately, Pat wasn't very good at keeping secrets. My story had already been spread the next day. Although failing in the exams wasn't really a big deal, it was awful that people kept mentioning it. I didn't think I was going to survive after failing the exams and my best friend had been untrustworthy. But this idea was soon be put off since I noticed in the newspaper that I had won the writing competition. I couldn't believe my luck , . I was really sure that I won a return ticket to the Mediterranean Sea. During the trip, I made friends with other people who had also won the competition in their towns. They were so kind to me that we soon became good friends. | The last few days, we spent our time sightseeing and shopping. I must admit that it was the greatest time I have ever had in my life. On the last day when I was packing and getting ready to leave, I realised I had lost my passport and tickets. A horrible thought suddenly came into my mind. My bad luck had never left me. It had only hidden away from me and when there was a chance, it was going to give me a 'surprise'. ",DET ADJ ADJ,141,MT DET ADJ ADJ,PUNCT DET ADJ ADJ,MT . DT JJ JJ,True,False
822,1,AGN,False,Overcorrection,"One day, a little girl called Sara . She was walking over a bridge. Suddenly, she heard a | man voice calling her: ""Sara...Sara.. look down to the river."" Then Sara looked into the river. She was very scared . Because , because she saw a golden fish who was smiling at her and talking to her. After a few seconds, Sara felt that the golden fish was lovely. She had never seen any fish that had that wonderful colour and could talk with her. Because Sara didn't have any brothers and sisters, and her Mom and Dad needed to work every day, she was very lonely. ",NOUN NOUN VERB,"One day, a little girl called Sara . She was walking over a bridge. Suddenly, she heard a | men voice calling her: ""Sara...Sara.. look down to the river."" Then Sara looked into the river. She was very scared . Because , because she saw a golden fish who was smiling at her and talking to her. After a few seconds, Sara felt that the golden fish was lovely. She had never seen any fish that had that wonderful colour and could talk with her. Because Sara didn't have any brothers and sisters, and her Mom and Dad needed to work every day, she was very lonely. ",NOUN NOUN VERB,21,AGN NOUN NOUN VERB,DET NOUN NOUN VERB,AGN DT NNS NN VBG,True,False
920,37,W,False,Interrogative structure used in a non-interrogative sentence,Would you tell me how much money you will give to me and what | the weather is like in the U.S.A. Thank you for everything!,DET NOUN VERB,Would you tell me how much money you will give to me and what | is the weather like in the U.S.A. Thank you for everything!,VERB DET NOUN,14,W VERB DET NOUN,PRON AUX DET NOUN,W WP VBZ DT NN,True,False
805,79,UA,False,general grammar rules confusion,"Lily was one of her best friends for three years. She enjoyed sharing everything with Pat, whatever it was. Nick was Lily's husband. Her husband had been fired the previous year. Lily felt very nervous about their financial problems and their future . As as they wanted to have a baby. She told Pat about what had happened in her family . And and that she was worried. Of course, she knew Nick didn't like her to tell other people | about his private . She told Pat that she didn't want any other people to know about it except her. Pat also promised not to tell other people. ",ADP DET ADJ,"Lily was one of her best friends for three years. She enjoyed sharing everything with Pat, whatever it was. Nick was Lily's husband. Her husband had been fired the previous year. Lily felt very nervous about their financial problems and their future . As as they wanted to have a baby. She told Pat about what had happened in her family . And and that she was worried. Of course, she knew Nick didn't like her to tell other people | what about his private . She told Pat that she didn't want any other people to know about it except her. Pat also promised not to tell other people. ",PRON ADP DET,90,UA PRON ADP DET,NOUN PRON ADP DET,UA NNS WP IN PRP$,True,False
2668,13,FV,False,Incorrectly using past tense,"That evening we didn't want to have our supper before the show. Anyway I thought it would be too early to eat and also because the timetable or candidates you give me have say : ""visit our theatre restaurant after the show"". So we did, but unfortunately it was closed and I was so disappointed about it, not only because we had expected Danny Brook and Tina Truelove to be the actor of starring . Also I don't really mind that the show started late but the rute of that evening was rucented . And there were no discounts when you said there would be! Why is it everything that on the canidates was wrong and different from what we experienced. We don't expect much bad to | happen on our holiday, but this was a perfect show as well , it was the worst show and theatre I have ever been to in my life. ",VERB ADP DET,"That evening we didn't want to have our supper before the show. Anyway I thought it would be too early to eat and also because the timetable or candidates you give me have say : ""visit our theatre restaurant after the show"". So we did, but unfortunately it was closed and I was so disappointed about it, not only because we had expected Danny Brook and Tina Truelove to be the actor of starring . Also I don't really mind that the show started late but the rute of that evening was rucented . And there were no discounts when you said there would be! Why is it everything that on the canidates was wrong and different from what we experienced. We don't expect much bad to | happened on our holiday, but this was a perfect show as well , it was the worst show and theatre I have ever been to in my life. ",VERB ADP DET,138,FV VERB ADP DET,PART VERB ADP DET,FV TO VBD IN PRP$,True,False
1978,22,RV,True,,"Unfortunately, Pat wasn't very good at keeping secrets. He was so kind that he couldn't resist telling Janet that she was going to be killed by Mr Brown. After | doing that, Pat left the room. Janet was so nervous that she couldn't stop her heart beating quickly. She went downstairs quietly and closed the door as soon as she went into her room. At that moment a lot of things appeared in her mind, which seemed like they had just happened yesterday. ""Why did Mr Brown want to kill me?"" she said to herself. ""I am just a servant in this castle , . I love him so much and I don't want anything from him although he is the owner of this castle."" It seemed as if a shadow came in through the window and disappeared quickly. Everything in the room was quiet except the sound of the clock, as if everything was going to die. She was so frightened and sad that she had no energy. She fell onto the floor and wept, while nobody could help her. ",VERB DET PUNCT,"Unfortunately, Pat wasn't very good at keeping secrets. He was so kind that he couldn't resist telling Janet that she was going to be killed by Mr Brown. After | finishing that, Pat left the room. Janet was so nervous that she couldn't stop her heart beating quickly. She went downstairs quietly and closed the door as soon as she went into her room. At that moment a lot of things appeared in her mind, which seemed like they had just happened yesterday. ""Why did Mr Brown want to kill me?"" she said to herself. ""I am just a servant in this castle , . I love him so much and I don't want anything from him although he is the owner of this castle."" It seemed as if a shadow came in through the window and disappeared quickly. Everything in the room was quiet except the sound of the clock, as if everything was going to die. She was so frightened and sad that she had no energy. She fell onto the floor and wept, while nobody could help her. ",VERB DET PUNCT,34,RV VERB DET PUNCT,ADP VERB DET PUNCT,"RV IN VBG DT ,",True,True
78,78,DJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same","Firstly, for your information, the group has been booked into the Palace Hotel, which is located in the town centre. Students can take the airport bus directly to the hotel when you arrive. And the best way to get from there to the conference is by coach, as there are about 35 | international students, and they are all strangers here. Therefore it is no good taking a bus. I will help you to book the coach. ",ADJ NOUN PUNCT,"Firstly, for your information, the group has been booked into the Palace Hotel, which is located in the town centre. Students can take the airport bus directly to the hotel when you arrive. And the best way to get from there to the conference is by coach, as there are about 35 | internation students, and they are all strangers here. Therefore it is no good taking a bus. I will help you to book the coach. ",NOUN NOUN PUNCT,58,DJ NOUN NOUN PUNCT,NUM NOUN NOUN PUNCT,"DJ CD NN NNS ,",True,True
294,57,RN,False,Equivalent word exists but is not used,"I am pretty good at painting. I have won several prizes in the competitions which were held by my college. On the other hand, I started to play tennis at the age of six. Tennis is my favourite | sport. So I would like to do these two activities while I am at the Camp. ",NOUN PUNCT ADV,"I am pretty good at painting. I have won several prizes in the competitions which were held by my college. On the other hand, I started to play tennis at the age of six. Tennis is my favourite | event . So I would like to do these two activities while I am at the Camp. ",NOUN PUNCT ADV,42,RN NOUN PUNCT ADV,ADJ NOUN PUNCT ADV,RN JJ NN . RB,True,False
1122,0,UD,True,Chinese uses classifiers in this case,"Therefore, she came to the river every day and talked about everything with the golden fish. They were very close friends. After half a year, the golden fish suddenly disappeared. Sara was very sad. She sat and cried by the river. Then somebody called her name: ""Sara... Sara... look at me... I'm standing on your left-hand side."" Sara remembered the golden fish. It had suddenly become | human, a little boy. After a few days they got married. They had a wonderful life together. ",ADJ PUNCT DET,"Therefore, she came to the river every day and talked about everything with the golden fish. They were very close friends. After half a year, the golden fish suddenly disappeared. Sara was very sad. She sat and cried by the river. Then somebody called her name: ""Sara... Sara... look at me... I'm standing on your left-hand side."" Sara remembered the golden fish. It had suddenly become | a human, a little boy. After a few days they got married. They had a wonderful life together. ",DET NOUN PUNCT,84,UD DET NOUN PUNCT,VERB DET NOUN PUNCT,"UD VBN DT NN ,",True,True
782,56,RA,True,Chinese would use a different word in given context,"Above is all the information you asked for , however . However , | there are some things I'd like to know; the first is about the clothes , what . What kind of clothes do I need to take with me? And another question is what are the prices of things like there, which I want to know so that I can make a better budget for my trip. ",ADV VERB DET,"Above is all the information you asked for , however . However , | here are some things I'd like to know; the first is about the clothes , what . What kind of clothes do I need to take with me? And another question is what are the prices of things like there, which I want to know so that I can make a better budget for my trip. ",ADV VERB DET,13,RA ADV VERB DET,PUNCT ADV AUX DET,"RA , RB VBP DT",True,True
1835,147,MD,True,Chinese has no articles and doesn't use classifiers in this situation,"Concerning your advertisement, we were pleased to learn that we can do some different activities in London, which include sightseeing by bus, a River trip to Greenwich, visiting the Science Museum and National Art Gallery and so on. The point is, The London Fashion and Leisure show will be fantastic. At this we can see the latest fashions, imaginative make-up and hairstyles. What is more they are the Leisure and sports wear , which we are keen on seeing . In your advertisement, you have written ""The show will be held in | the Central Exhibition hall in London , it . It runs from 10 am to 7 pm on 14th March."" ",DET PROPN PROPN,"Concerning your advertisement, we were pleased to learn that we can do some different activities in London, which include sightseeing by bus, a River trip to Greenwich, visiting the Science Museum and National Art Gallery and so on. The point is, The London Fashion and Leisure show will be fantastic. At this we can see the latest fashions, imaginative make-up and hairstyles. What is more they are the Leisure and sports wear , which we are keen on seeing . In your advertisement, you have written ""The show will be held in | Central Exhibition hall in London , it . It runs from 10 am to 7 pm on 14th March."" ",PROPN PROPN NOUN,105,MD PROPN PROPN NOUN,ADP PROPN PROPN NOUN,MD IN NNP NNP NN,True,True
1636,99,MP,True,Chinese uses commas to mark the end of a complete thought,"Additionally | , men never like shopping , while . While their wives are doing the shopping they sit in the car or read a newspaper. They would be happy if there were sports and leisure facilities in the supermarket. Then they'd change their mind. Instead of hating shopping they would enjoy shopping. ",PUNCT NOUN ADV,"Additionally | men never like shopping , while . While their wives are doing the shopping they sit in the car or read a newspaper. They would be happy if there were sports and leisure facilities in the supermarket. Then they'd change their mind. Instead of hating shopping they would enjoy shopping. ",NOUN ADV VERB,1,MP NOUN ADV VERB,ADV NOUN ADV VERB,MP RB NNS RB VBP,True,True
2491,35,M,True,Word omitted even though in the Chinese translation it would be there,"Lastly there are some things I need to clarify, that is, such as what type of clothes and | how much money I need to bring. ",ADV ADJ NOUN,"Lastly there are some things I need to clarify, that is, such as what type of clothes and | money I need to bring. ",NOUN PRON VERB,20,M NOUN PRON VERB,CCONJ NOUN PRON VERB,M CC NN PRP VBP,True,True
157,72,FN,True,Missing plural,"I think that the journalists' only aim is money, because they know that if they publish famous people's private | lives they will earn lots of money selling the magazine or the newspaper. But they don't consider the problems the rumours may cause the famous family or couple. Sometimes the journalists' aim isn't the money: there are some journalists who may try to spoil a politician's or film star's career only because they are jealous. ",NOUN PRON VERB,"I think that the journalists' only aim is money, because they know that if they publish famous people's private | life they will earn lots of money selling the magazine or the newspaper. But they don't consider the problems the rumours may cause the famous family or couple. Sometimes the journalists' aim isn't the money: there are some journalists who may try to spoil a politician's or film star's career only because they are jealous. ",NOUN PRON VERB,22,FN NOUN PRON VERB,ADJ NOUN PRON VERB,FN JJ NN PRP MD,True,True
2630,37,UV,False,Contraction with verb error,"But , during any peak season, like Christmas , holidays or even during weekends . Then , then I can say | I definitely don't feel it is enjoyable . Because , because of the crowds. For me I think , it is not shopping but a kind of suffering . Especially , especially , queuing up for twenty minutes just to pay or waiting for the salesgirl to get the right size . So sometimes I don't think shopping is enjoyable, and if there is any big holiday, I would rather stay at home and watch television. ",PRON ADV VERB,"But , during any peak season, like Christmas , holidays or even during weekends . Then , then I can say | I'm definitely don't feel it is enjoyable . Because , because of the crowds. For me I think , it is not shopping but a kind of suffering . Especially , especially , queuing up for twenty minutes just to pay or waiting for the salesgirl to get the right size . So sometimes I don't think shopping is enjoyable, and if there is any big holiday, I would rather stay at home and watch television. ",PRON VERB ADV,22,UV PRON VERB ADV,VERB PRON AUX ADV,UV VB PRP VBP RB,True,False
1694,6,MD,True,Chinese uses classifiers instead of articles in this case,"In your last letter you asked me something about our rules, both at home and at school in my country. I'd like to tell you that . In , in school, we have lots of rules, especially in class and some of them are quite strange. For example, we can't go to the toilet during lessons , we . We have to go there in the break. And we can't eat food or do any sports in our classroom. If you fail three subjects in your exam, you will be kicked out of school. It's too strict , . I don't like it. If I could, I would like to change this, because I don't think everyone can succeed at once , we . We should give them | a second chance to succeed. ",DET ADJ NOUN,"In your last letter you asked me something about our rules, both at home and at school in my country. I'd like to tell you that . In , in school, we have lots of rules, especially in class and some of them are quite strange. For example, we can't go to the toilet during lessons , we . We have to go there in the break. And we can't eat food or do any sports in our classroom. If you fail three subjects in your exam, you will be kicked out of school. It's too strict , . I don't like it. If I could, I would like to change this, because I don't think everyone can succeed at once , we . We should give them | second chance to succeed. ",ADJ NOUN PART,147,MD ADJ NOUN PART,PRON ADJ NOUN PART,MD PRP JJ NN TO,True,True
2208,30,DN,False,Overcorrection,I am very pleased about the prize I just won in your competition. Thank you for choosing me. Here is some further information about myself and a few | enquiries.,NOUN PUNCT _,I am very pleased about the prize I just won in your competition. Thank you for choosing me. Here is some further information about myself and a few | enquirement.,NOUN PUNCT _,30,DN NOUN PUNCT _,ADJ PROPN PUNCT,DN JJ NNP .,True,False
833,12,AGN,False,Overcorrection,"With reference to the advertisement published in the New Strait Times newspaper on the 22nd of MAY 2000, I, as a customer, who is a musical-show addict and a great | fan of Danny Brook, who was said to be starring in the show, would like to complain about the presentation. ",NOUN ADP PROPN,"With reference to the advertisement published in the New Strait Times newspaper on the 22nd of MAY 2000, I, as a customer, who is a musical-show addict and a great | fans of Danny Brook, who was said to be starring in the show, would like to complain about the presentation. ",NOUN ADP PROPN,35,AGN NOUN ADP PROPN,ADJ NOUN ADP PROPN,AGN JJ NNS IN NNP,True,False
555,115,UP,False,Incorrect modal contractions,"At my home, there are many rules, because I'm careless, so I | am not allowed to smoke at home either: and I'm not allowed to use the telephone, because last year I ran up a £1000 bill for one month , my . My parents were very angry with me, so they told me I am not to use the telephone any more , oh . Oh , how poor ! ",VERB ADV VERB,"At my home, there are many rules, because I'm careless, so I | amn't allowed to smoke at home either: and I'm not allowed to use the telephone, because last year I ran up a £1000 bill for one month , my . My parents were very angry with me, so they told me I am not to use the telephone any more , oh . Oh , how poor ! ",NOUN VERB PART,16,UP NOUN VERB PART,PRON ADV VERB PART,UP PRP RB VBD TO,True,False
591,27,AGV,True,3rd person singular form used isntead of 3rd person plural verb form,"Thirdly, there | were no discounts available but it was printed on the poster . If there | were are no discounts, don't write it on the poster. I got confused and was disappointed again. ",VERB DET NOUN,"Thirdly, there | was no discounts available but it was printed on the poster . If there | was are no discounts, don't write it on the poster. I got confused and was disappointed again. ",VERB DET NOUN,3,AGV VERB DET NOUN,PRON AUX DET NOUN,AGV EX VBD DT NNS,True,True
2384,135,RT,False,"Misuing ""for""; Learners have confused the two's meaning and usage","It is very kind | of you to give me the chance to do two activities while I am at the Camp. I'd like to do climbing and sailing. Actually I am quite good at climbing. I often go climbing in my town. As for sailing, well, I haven't tried it before , that . That is why I want to have a go. I think it must be fun. ",ADP PRON PART,"It is very kind | for you to give me the chance to do two activities while I am at the Camp. I'd like to do climbing and sailing. Actually I am quite good at climbing. I often go climbing in my town. As for sailing, well, I haven't tried it before , that . That is why I want to have a go. I think it must be fun. ",ADP PRON PART,4,RT ADP PRON PART,ADJ ADP PRON PART,RT JJ IN PRP TO,True,False
1468,201,TV,True,English words map to the same Chinese word; Chinese would use word in the given context,"In the future, our homes will incorporate the most advanced technologies. Computers will play an important part in our daily life, so that we won't go shopping, because via the computer we | will be able to buy whatever we want. Books will gradually disappear, and instead we will read all the things we want on our computer. We won't have any need to leave home, because the computer will give us everything. ",VERB VERB ADJ,"In the future, our homes will incorporate the most advanced technologies. Computers will play an important part in our daily life, so that we won't go shopping, because via the computer we | would buy whatever we want. Books will gradually disappear, and instead we will read all the things we want on our computer. We won't have any need to leave home, because the computer will give us everything. ",VERB VERB DET,37,TV VERB VERB DET,PRON VERB VERB DET,TV PRP MD VB WDT,True,True
860,39,AGN,True,Number error,"This is what I think should be filmed. If any of you have other suggestions, we can discuss this again. But I think these five | lessons or activities are the most common in our daily life at college. ",NOUN CCONJ NOUN,"This is what I think should be filmed. If any of you have other suggestions, we can discuss this again. But I think these five | lesson or activities are the most common in our daily life at college. ",NOUN CCONJ NOUN,28,AGN NOUN CCONJ NOUN,NUM NOUN CCONJ NOUN,AGN CD NN CC NNS,True,True
2065,109,RV,False,,"When I am at Camp, I will choose singing and photography. I can sing classical music and pop music, seem like rock &amp; roll. Maybe TITANIC. My mum likes me singing this song. And I can also | take very good photographs, because I learned to do this in China two years ago. ",VERB ADV ADJ,"When I am at Camp, I will choose singing and photography. I can sing classical music and pop music, seem like rock &amp; roll. Maybe TITANIC. My mum likes me singing this song. And I can also | make very good photographs, because I learned to do this in China two years ago. ",VERB ADV ADJ,45,RV VERB ADV ADJ,ADV VERB ADV ADJ,RV RB VB RB JJ,True,False
2711,56,FV,True,"Missing ""to"" for to-infinitive non-finite subordinate clauses",The Speaking and Listening class should be filmed because the purpose of this class is to encourage students | to talk about some topics they choose and discuss them with others in order to improve their speaking and listening skills.,PART VERB ADP,The Speaking and Listening class should be filmed because the purpose of this class is to encourage students | talk about some topics they choose and discuss them with others in order to improve their speaking and listening skills.,VERB ADP DET,18,FV VERB ADP DET,NOUN VERB ADP DET,FV NNS VB IN DT,True,True
1352,80,TV,False,Past tense used instead of past perfect,"It | has been a very long time since I was in Year 7. I told Pat that my father and mother were going to separate. I told her because I wanted somebody to share my feelings. Maybe it was the wrong decision to tell her , she . She began to share that secret with everybody, including the teachers. They tried to contact my parents. My parents were very angry when they realised what had happened. All my friends were trying to keep their distance from me. That was all because of Pat. ",VERB DET ADV,"It | was a very long time since I was in Year 7. I told Pat that my father and mother were going to separate. I told her because I wanted somebody to share my feelings. Maybe it was the wrong decision to tell her , she . She began to share that secret with everybody, including the teachers. They tried to contact my parents. My parents were very angry when they realised what had happened. All my friends were trying to keep their distance from me. That was all because of Pat. ",VERB DET ADV,1,TV VERB DET ADV,PRON AUX DET ADV,TV PRP VBD DT RB,True,False
438,68,AGD,False,Equivalent word exists but is not used,"Although computers will give us all the material things, they will not give us things like the feeling of being in your home, have , etc. | Those things won't change in our home. We will live in our homes with our family, who will give us love ... , that kind of thing will never change. ",DET NOUN AUX,"Although computers will give us all the material things, they will not give us things like the feeling of being in your home, have , etc. | That things won't change in our home. We will live in our homes with our family, who will give us love ... , that kind of thing will never change. ",DET NOUN AUX,29,AGD DET NOUN AUX,PUNCT DET NOUN VERB,AGD . DT NNS MD,True,False
2775,122,FV,False,"Using the infinitive form of the verb with ""to"" instead of using present tense or present progressive","Finally, about the three free hours, my personal preference is to go shopping. Our city has got the biggest shopping centre in South England , there . There are so many shops. It is worth | spending time and money on that. ",VERB NOUN CCONJ,"Finally, about the three free hours, my personal preference is to go shopping. Our city has got the biggest shopping centre in South England , there . There are so many shops. It is worth | to spend time and money on that. ",PART VERB NOUN,39,FV PART VERB NOUN,ADJ PART VERB NOUN,FV JJ TO VB NN,True,False
2640,47,IV,False,Spelling error,"This story | happened two years ago. That was a very hot summer , all the . All the people in our city liked to swim in the river , perhaps . Perhaps they didn't think it was interesting if they swam in the pool. Personally, I'd like to say I was good at swimming. Not only was I a member of the swimming team in our school, but also I had been taught by my father since I was five years old , . So I had acquired some skills and learned how to protect myself from my Dad, if you had an accident . ",VERB NUM NOUN,"This story | happed two years ago. That was a very hot summer , all the . All the people in our city liked to swim in the river , perhaps . Perhaps they didn't think it was interesting if they swam in the pool. Personally, I'd like to say I was good at swimming. Not only was I a member of the swimming team in our school, but also I had been taught by my father since I was five years old , . So I had acquired some skills and learned how to protect myself from my Dad, if you had an accident . ",VERB NUM NOUN,2,IV VERB NUM NOUN,NOUN VERB NUM NOUN,IV NN VBD CD NNS,True,False
2766,112,FV,True,Progressive aspect not applied,"Regarding electrical goods, there will not be any kind of electrical product except computers. People will do everything on the computer, including watching TV, listening to music, and | chatting with people . As , as the computer is a multi-functional product. ",VERB ADP NOUN,"Regarding electrical goods, there will not be any kind of electrical product except computers. People will do everything on the computer, including watching TV, listening to music, and | chat with people . As , as the computer is a multi-functional product. ",VERB ADP NOUN,33,FV VERB ADP NOUN,CCONJ VERB ADP NOUN,FV CC VB IN NNS,True,True
754,28,DA,False,Using your instead of yours for sign offs,"| Yours faithfully, ",DET ADV PUNCT,"| Your faithfully, ",DET ADV PUNCT,0,DA DET ADV PUNCT,DET ADV PUNCT,DA PRP$ RB .,True,False
1571,34,MP,True,Chinese uses commas to mark the end of a complete thought,"Unfortunately, Pat wasn't very good at keeping secrets. He was so kind that he couldn't resist telling Janet that she was going to be killed by Mr Brown. After doing that | , Pat left the room. Janet was so nervous that she couldn't stop her heart beating quickly. She went downstairs quietly and closed the door as soon as she went into her room. At that moment a lot of things appeared in her mind | , which seemed like they had just happened yesterday. ""Why did Mr Brown want to kill me?"" she said to herself. ""I am just a servant in this castle , . I love him so much and I don't want anything from him although he is the owner of this castle."" It seemed as if a shadow came in through the window and disappeared quickly. Everything in the room was quiet except the sound of the clock | , as if everything was going to die. She was so frightened and sad that she had no energy. She fell onto the floor and wept, while nobody could help her. ",PUNCT PROPN VERB,"Unfortunately, Pat wasn't very good at keeping secrets. He was so kind that he couldn't resist telling Janet that she was going to be killed by Mr Brown. After doing that | Pat left the room. Janet was so nervous that she couldn't stop her heart beating quickly. She went downstairs quietly and closed the door as soon as she went into her room. At that moment a lot of things appeared in her mind | which seemed like they had just happened yesterday. ""Why did Mr Brown want to kill me?"" she said to herself. ""I am just a servant in this castle , . I love him so much and I don't want anything from him although he is the owner of this castle."" It seemed as if a shadow came in through the window and disappeared quickly. Everything in the room was quiet except the sound of the clock | as if everything was going to die. She was so frightened and sad that she had no energy. She fell onto the floor and wept, while nobody could help her. ",PROPN VERB DET,36,MP PROPN VERB DET,SCONJ PROPN VERB DET,MP IN NNP VBD DT,True,True
