,error_type,Negative transfer?,Likely reason for mistake,incorrect_ud_tags,incorrect_ud_tags_padded,incorrect_ud_tags_unigram,incorrect_ud_tags_bigram,en,zhs,nlt
371,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT DET,NOUN PUNCT DET NOUN,PUNCT DET NOUN,PUNCT DET NOUN AUX,-7.023778915405273,-10.096596717834473,False
372,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT INTJ,ADJ PUNCT INTJ PUNCT,PUNCT INTJ PUNCT,PUNCT INTJ PUNCT ADV,-7.462615013122559,-8.14385986328125,False
373,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT INTJ,ADJ PUNCT INTJ VERB,PUNCT INTJ VERB,PUNCT INTJ VERB DET,-8.103318214416504,-10.934608459472656,False
374,DJ,True,Chinese doesn't use hyphens in words,NUM NOUN,DET NUM NOUN NOUN,NUM NOUN NOUN,NUM NOUN NOUN ADP,-7.653373718261719,-7.251258373260498,True
376,FV,False,"Using the infinitive form of the verb with ""to"" instead of using present tense or present progressive",PART VERB,ADP PART VERB ADP,PART VERB ADP,PART VERB ADP DET,-7.878665924072266,-10.137163162231445,False
377,RP,False,Punctuation error related to Spelling errors (extra spaces),DET NOUN,ADP DET NOUN PUNCT,DET NOUN PUNCT,DET NOUN PUNCT,-3.3438291549682617,-3.534750461578369,False
378,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON AUX,PUNCT PRON AUX,PUNCT PRON AUX NOUN,-7.343828201293945,-10.112574577331543,False
379,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT DET,NOUN PUNCT DET AUX,PUNCT DET AUX,PUNCT DET AUX ADJ,-8.05034065246582,-11.183154106140137,False
380,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,VERB PUNCT PRON AUX,PUNCT PRON AUX,PUNCT PRON AUX ADV,-7.044229507446289,-10.399667739868164,False
381,UP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON AUX,PUNCT PRON AUX,PUNCT PRON AUX ADP,-7.968116760253906,-10.621322631835938,False
382,MP,True,Chinese doesn't use hyphens in words,VERB ADP,PUNCT VERB ADP CCONJ,VERB ADP CCONJ,VERB ADP CCONJ NOUN,-8.410691261291504,-8.73214054107666,False
383,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT DET,NOUN PUNCT DET ADP,PUNCT DET ADP,PUNCT DET ADP PRON,-7.4788618087768555,-9.076859474182129,False
384,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON VERB,PUNCT PRON VERB,PUNCT PRON VERB PART,-6.491823196411133,-6.791542053222656,False
385,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,ADJ PUNCT PRON ADV,PUNCT PRON ADV,PUNCT PRON ADV AUX,-7.111204147338867,-9.902050018310547,False
386,DJ,True,Chinese doesn't use hyphens in words,NUM NOUN,DET NUM NOUN NOUN,NUM NOUN NOUN,NUM NOUN NOUN ADP,-7.653373718261719,-7.251258373260498,True
387,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON AUX,PUNCT PRON AUX,PUNCT PRON AUX ADJ,-6.804007530212402,-10.98221492767334,False
388,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT ADV,NOUN PUNCT ADV PRON,PUNCT ADV PRON,PUNCT ADV PRON AUX,-7.487886428833008,-9.890424728393555,False
389,TV,False,Extra unecessary auxiliary added,AUX VERB,AUX AUX VERB ADP,AUX VERB ADP,AUX VERB ADP PUNCT,-5.616097450256348,-10.627096176147461,False
391,TV,True,Chinese generally expresses actions in present tense,VERB NOUN,PRON VERB NOUN ADP,VERB NOUN ADP,VERB NOUN ADP NOUN,-5.58875846862793,-6.066127300262451,False
392,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,PROPN PUNCT PRON VERB,PUNCT PRON VERB,PUNCT PRON VERB VERB,-6.516456127166748,-5.950233459472656,True
393,MP,True,Chinese doesn't use hyphens in words,ADJ NOUN,DET ADJ NOUN NOUN,ADJ NOUN NOUN,ADJ NOUN NOUN CCONJ,-7.687065124511719,-8.838101387023926,False
394,FV,False,Incorrectly using past tense,VERB ADP,AUX VERB ADP DET,VERB ADP DET,VERB ADP DET NOUN,-4.794985771179199,-6.44589900970459,False
395,L,False,Misunderstanding of word usage/meaning,VERB ADP,AUX VERB ADP PUNCT,VERB ADP PUNCT,VERB ADP PUNCT,-4.197368621826172,-5.560586452484131,False
397,FV,False,"Using the infinitive form of the verb with ""to"" instead of using present tense or present progressive",PART VERB,VERB PART VERB DET,PART VERB DET,PART VERB DET NOUN,-5.500118732452393,-7.224739074707031,False
398,TV,False,-,VERB VERB,PRON VERB VERB SCONJ,VERB VERB SCONJ,VERB VERB SCONJ NOUN,-8.534502029418945,-8.089256286621094,True
399,UD,False,Overcorrection,DET NOUN,PUNCT DET NOUN ADP,DET NOUN ADP,DET NOUN ADP DET,-6.331118106842041,-8.317298889160156,False
400,FV,False,"Using the infinitive form of the verb with ""to"" instead of using present tense or present progressive",PART VERB,ADV PART VERB NOUN,PART VERB NOUN,PART VERB NOUN ADP,-8.457605361938477,-7.362072944641113,True
401,RP,False,Punctuation works the same in Chinese,PUNCT ADV,PRON PUNCT ADV ADJ,PUNCT ADV ADJ,PUNCT ADV ADJ VERB,-8.808100700378418,-7.997147560119629,True
402,TV,False,-,AUX VERB,PRON AUX VERB SCONJ,AUX VERB SCONJ,AUX VERB SCONJ NUM,-9.054937362670898,-11.619293212890625,False
403,FN,False,Number disagreement,NOUN PUNCT,ADJ NOUN PUNCT,NOUN PUNCT,NOUN PUNCT,-3.1241037845611572,-2.562624454498291,True
404,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON AUX,PUNCT PRON AUX,PUNCT PRON AUX ADV,-7.044229507446289,-10.399667739868164,False
405,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT DET,NOUN PUNCT DET NOUN,PUNCT DET NOUN,PUNCT DET NOUN VERB,-6.421430587768555,-6.842767238616943,False
406,TV,False,Incorrectly using progressive aspect,AUX VERB,NOUN AUX VERB ADP,AUX VERB ADP,AUX VERB ADP DET,-8.967618942260742,-12.768238067626953,False
407,TV,False,Incorrectly using progressive aspect,AUX VERB,NOUN AUX VERB NOUN,AUX VERB NOUN,AUX VERB NOUN ADP,-9.64438533782959,-11.353885650634766,False
408,TV,False,Incorrect auxiliary used; Past tense used incorrectly,AUX PART,DET AUX PART VERB,AUX PART VERB,AUX PART VERB ADP,-7.714529037475586,-12.51995849609375,False
409,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT SCONJ,PROPN PUNCT SCONJ ADJ,PUNCT SCONJ ADJ,PUNCT SCONJ ADJ PUNCT,-6.103209972381592,-8.865592956542969,False
410,W,True,Sentence could be valid in Chinese,ADV VERB,PRON ADV VERB VERB,ADV VERB VERB,ADV VERB VERB ADP,-8.422356605529785,-8.188944816589355,True
411,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON AUX,PUNCT PRON AUX,PUNCT PRON AUX ADJ,-6.804007530212402,-10.98221492767334,False
412,RQ,False,Wrong article used,DET ADJ,VERB DET ADJ NOUN,DET ADJ NOUN,DET ADJ NOUN DET,-8.157597541809082,-8.853042602539062,False
413,MP,True,Chinese doesn't use hyphens in words,VERB ADP,ADV VERB ADP CCONJ,VERB ADP CCONJ,VERB ADP CCONJ NOUN,-8.410691261291504,-8.73214054107666,False
414,UY,False,Wordiness,SCONJ ADJ,PUNCT SCONJ ADJ CCONJ,SCONJ ADJ CCONJ,SCONJ ADJ CCONJ AUX,-8.781933784484863,-11.05578899383545,False
415,RP,False,Overcorrection,PUNCT PRON,NOUN PUNCT PRON VERB,PUNCT PRON VERB,PUNCT PRON VERB VERB,-6.516456127166748,-5.950233459472656,True
416,RD,False,Wrong determiner used since Chinese doesn't use determiner here,DET ADJ,AUX DET ADJ NOUN,DET ADJ NOUN,DET ADJ NOUN ADP,-6.458566188812256,-7.7654948234558105,False
417,DN,False,Equivalent word exists but is not used,NOUN NOUN,DET NOUN NOUN PUNCT,NOUN NOUN PUNCT,NOUN NOUN PUNCT PRON,-8.428445816040039,-6.4231462478637695,True
418,RP,False,Overcorrection,PUNCT SCONJ,NOUN PUNCT SCONJ DET,PUNCT SCONJ DET,PUNCT SCONJ DET NOUN,-7.184684753417969,-7.522456645965576,False
419,U,False,Chinese phrase would be structured differently,AUX SCONJ,AUX AUX SCONJ DET,AUX SCONJ DET,AUX SCONJ DET ADJ,-9.294290542602539,-12.72220230102539,False
421,W,True,Sentence could be valid in Chinese,ADV VERB,PRON ADV VERB VERB,ADV VERB VERB,ADV VERB VERB ADV,-7.453911304473877,-6.692564964294434,True
423,RP,False,Overcorrection,PUNCT SCONJ,PRON PUNCT SCONJ PRON,PUNCT SCONJ PRON,PUNCT SCONJ PRON AUX,-7.895552635192871,-9.944375038146973,False
424,RP,False,Punctuation error related to Spelling errors (extra spaces),ADJ NOUN,AUX ADJ NOUN ADP,ADJ NOUN ADP,ADJ NOUN ADP DET,-6.962119102478027,-9.028022766113281,False
425,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT DET,NOUN PUNCT DET ADJ,PUNCT DET ADJ,PUNCT DET ADJ NOUN,-5.960753440856934,-7.240784168243408,False
426,W,False,Interrogative structure used in a non-interrogative sentence,AUX PRON,SCONJ AUX PRON DET,AUX PRON DET,AUX PRON DET ADJ,-6.500136375427246,-12.572720527648926,False
428,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON AUX,PUNCT PRON AUX,PUNCT PRON AUX ADP,-7.968116760253906,-10.621322631835938,False
431,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT ADV,NOUN PUNCT ADV PUNCT,PUNCT ADV PUNCT,PUNCT ADV PUNCT PRON,-6.634823322296143,-7.437023639678955,False
432,AGN,True,Number error,NOUN ADP,DET NOUN ADP DET,NOUN ADP DET,NOUN ADP DET NOUN,-4.875012397766113,-6.775639057159424,False
433,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT ADV,NOUN PUNCT ADV PUNCT,PUNCT ADV PUNCT,PUNCT ADV PUNCT PRON,-6.634823322296143,-7.437023639678955,False
434,W,True,Adjective/modifier precedes described object,ADV ADV,VERB ADV ADV CCONJ,ADV ADV CCONJ,ADV ADV CCONJ VERB,-8.164579391479492,-7.764998912811279,True
435,TV,True,Missing auxiliary with tense errors,ADV VERB,PRON ADV VERB NOUN,ADV VERB NOUN,ADV VERB NOUN PUNCT,-4.915204048156738,-2.7646255493164062,True
436,RP,True,Chinese uses commas to mark the end of a complete thought,SCONJ PRON,PUNCT SCONJ PRON VERB,SCONJ PRON VERB,SCONJ PRON VERB SCONJ,-7.122401237487793,-8.73774242401123,False
437,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT ADV,NUM PUNCT ADV PRON,PUNCT ADV PRON,PUNCT ADV PRON AUX,-7.487886428833008,-9.890424728393555,False
438,TV,False,-,VERB VERB,PRON VERB VERB NOUN,VERB VERB NOUN,VERB VERB NOUN ADJ,-7.902063369750977,-8.736653327941895,False
439,RP,True,Chinese uses commas to mark the end of a complete thought,VERB ADP,DET VERB ADP PUNCT,VERB ADP PUNCT,VERB ADP PUNCT,-4.197368621826172,-5.560586452484131,False
440,MP,True,Chinese sentence structure differs from English,ADP VERB,NOUN ADP VERB DET,ADP VERB DET,ADP VERB DET NOUN,-5.575234413146973,-5.9167046546936035,False
441,DJ,True,Chinese doesn't use hyphens in words,NUM NOUN,DET NUM NOUN NOUN,NUM NOUN NOUN,NUM NOUN NOUN ADP,-7.653373718261719,-7.251258373260498,True
442,RP,False,Punctuation error related to Spelling errors (extra spaces),NOUN NOUN,DET NOUN NOUN AUX,NOUN NOUN AUX,NOUN NOUN AUX VERB,-6.33338737487793,-10.336271286010742,False
443,TV,False,Extra unecessary auxiliary added,AUX VERB,NOUN AUX VERB PUNCT,AUX VERB PUNCT,AUX VERB PUNCT PRON,-10.488248825073242,-12.051689147949219,False
445,U,False,Confusion of phrase meaning and usage,ADP DET,ADV ADP DET ADJ,ADP DET ADJ,ADP DET ADJ ADJ,-7.887356758117676,-8.816067695617676,False
446,TV,False,Present perfect used instead of past tense,AUX AUX,PRON AUX AUX VERB,AUX AUX VERB,AUX AUX VERB ADP,-8.532184600830078,-13.190258026123047,False
447,RP,False,Punctuation error related to Spelling errors (extra spaces),VERB AUX,PUNCT VERB AUX PRON,VERB AUX PRON,VERB AUX PRON AUX,-7.872528076171875,-12.481322288513184,False
448,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,DET PUNCT PRON VERB,PUNCT PRON VERB,PUNCT PRON VERB PART,-6.491823196411133,-6.791542053222656,False
450,RQ,False,Wrong article used,DET ADJ,ADP DET ADJ NOUN,DET ADJ NOUN,DET ADJ NOUN CCONJ,-6.709695339202881,-8.709590911865234,False
451,RA,True,Chinese would use a different word in given context,DET NOUN,ADP DET NOUN PUNCT,DET NOUN PUNCT,DET NOUN PUNCT,-3.3438291549682617,-3.534750461578369,False
452,RP,False,Overcorrection,PUNCT NOUN,NOUN PUNCT NOUN PUNCT,PUNCT NOUN PUNCT,PUNCT NOUN PUNCT NOUN,-6.6205949783325195,-5.359561443328857,True
453,FV,False,"Using the infinitive form of the verb with ""to"" instead of using present tense or present progressive",PART VERB,ADJ PART VERB ADV,PART VERB ADV,PART VERB ADV AUX,-8.822362899780273,-10.56912612915039,False
455,RP,False,Punctuation error related to Spelling errors (extra spaces),NOUN NOUN,DET NOUN NOUN CCONJ,NOUN NOUN CCONJ,NOUN NOUN CCONJ DET,-9.424612045288086,-8.271713256835938,True
456,MP,True,Chinese doesn't use hyphens in words,VERB ADP,VERB VERB ADP CCONJ,VERB ADP CCONJ,VERB ADP CCONJ VERB,-7.860859394073486,-8.499395370483398,False
457,TV,False,Incorrect auxiliary used; incorrect verb assignment,AUX AUX,PRON AUX AUX ADP,AUX AUX ADP,AUX AUX ADP DET,-10.16431999206543,-13.332201957702637,False
458,UD,True,Chinese uses classifiers in this case,DET DET,AUX DET DET NOUN,DET DET NOUN,DET DET NOUN PUNCT,-3.8799362182617188,-4.6639323234558105,False
459,TV,False,Overcorrection,AUX VERB,NOUN AUX VERB ADP,AUX VERB ADP,AUX VERB ADP NUM,-9.228593826293945,-11.755731582641602,False
460,TV,False,Overcorrection,AUX VERB,PRON AUX VERB NUM,AUX VERB NUM,AUX VERB NUM NOUN,-8.712167739868164,-10.598138809204102,False
461,AS,True,Chinese sentence structure differs from English,NOUN AUX,SCONJ NOUN AUX NOUN,NOUN AUX NOUN,NOUN AUX NOUN ADJ,-7.621136665344238,-12.160799026489258,False
462,X,False,Misunderstanding of word usage/meaning,PART DET,AUX PART DET NOUN,PART DET NOUN,PART DET NOUN ADP,-7.793063640594482,-9.993452072143555,False
463,FN,True,Missing plural,NOUN PUNCT,DET NOUN PUNCT ADV,NOUN PUNCT ADV,NOUN PUNCT ADV DET,-8.972543716430664,-9.152586936950684,False
464,TV,False,Incorrect auxiliary used,AUX VERB,NOUN AUX VERB PUNCT,AUX VERB PUNCT,AUX VERB PUNCT PRON,-10.488248825073242,-12.051689147949219,False
465,RP,False,Overcorrection,PUNCT ADP,NOUN PUNCT ADP DET,PUNCT ADP DET,PUNCT ADP DET NOUN,-6.071384429931641,-7.012767314910889,False
466,DN,True,"Chinese verbs, adjectives, and nouns sometimes are the same",ADJ NOUN,ADJ ADJ NOUN CCONJ,ADJ NOUN CCONJ,ADJ NOUN CCONJ ADJ,-7.360063552856445,-9.228471755981445,False
468,DJ,True,Chinese would use word in this context,NOUN NOUN,ADP NOUN NOUN CCONJ,NOUN NOUN CCONJ,NOUN NOUN CCONJ PRON,-8.314006805419922,-6.858096122741699,True
469,W,True,Sentence could be valid in Chinese,ADV VERB,PRON ADV VERB VERB,ADV VERB VERB,ADV VERB VERB ADJ,-7.984825134277344,-8.468189239501953,False
470,AGA,False,Using 'It' incorrectly,PRON VERB,PUNCT PRON VERB VERB,PRON VERB VERB,PRON VERB VERB PRON,-5.800075531005859,-5.558468818664551,True
471,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON VERB,PUNCT PRON VERB,PUNCT PRON VERB VERB,-6.516456127166748,-5.950233459472656,True
472,X,False,Misunderstanding of word usage/meaning,PART ADJ,CCONJ PART ADJ PART,PART ADJ PART,PART ADJ PART VERB,-7.812803268432617,-9.341073989868164,False
474,MP,True,Chinese doesn't use hyphens in words,VERB ADP,ADJ VERB ADP CCONJ,VERB ADP CCONJ,VERB ADP CCONJ NOUN,-8.410691261291504,-8.73214054107666,False
475,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,PROPN PUNCT PRON VERB,PUNCT PRON VERB,PUNCT PRON VERB ADP,-7.170487403869629,-8.473831176757812,False
476,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT ADV,NOUN PUNCT ADV PRON,PUNCT ADV PRON,PUNCT ADV PRON VERB,-6.457043170928955,-6.60579776763916,False
477,DJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same",NOUN PUNCT,ADV NOUN PUNCT PRON,NOUN PUNCT PRON,NOUN PUNCT PRON VERB,-6.573857307434082,-7.225975036621094,False
478,FV,False,Incorrectly using progressive aspect,PART VERB,AUX PART VERB DET,PART VERB DET,PART VERB DET NOUN,-5.500118732452393,-7.224739074707031,False
479,AS,False,Incorrect introduction to subordinate phrase/modifier,VERB DET,AUX VERB DET ADJ,VERB DET ADJ,VERB DET ADJ NOUN,-5.460585594177246,-6.447907447814941,False
480,FV,True,"Missing ""to"" for to-infinitive non-finite subordinate clauses",VERB VERB,NOUN VERB VERB DET,VERB VERB DET,VERB VERB DET ADJ,-8.209358215332031,-9.393253326416016,False
481,TV,True,Chinese generally expresses actions in present tense,VERB PRON,DET VERB PRON NOUN,VERB PRON NOUN,VERB PRON NOUN ADP,-7.594196319580078,-8.005515098571777,False
482,U,False,Chinese phrase would be structured differently,ADP ADV,NOUN ADP ADV PUNCT,ADP ADV PUNCT,ADP ADV PUNCT ADV,-7.6536030769348145,-8.513568878173828,False
483,TV,False,Wrong auxiliary used; Extra unecessary auxiliary added,AUX VERB,PRON AUX VERB ADP,AUX VERB ADP,AUX VERB ADP NOUN,-7.09370231628418,-10.8900146484375,False
484,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,ADJ PUNCT PRON VERB,PUNCT PRON VERB,PUNCT PRON VERB PART,-6.491823196411133,-6.791542053222656,False
485,FV,False,"Using the infinitive form of the verb with ""to"" instead of using present tense or present progressive",PART VERB,ADP PART VERB NOUN,PART VERB NOUN,PART VERB NOUN PUNCT,-4.586981773376465,-4.776543140411377,False
486,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT SCONJ,NOUN PUNCT SCONJ DET,PUNCT SCONJ DET,PUNCT SCONJ DET NOUN,-7.184684753417969,-7.522456645965576,False
487,TV,False,Extra unecessary auxiliary added; past perfect used instead of past tense,AUX VERB,NOUN AUX VERB ADP,AUX VERB ADP,AUX VERB ADP NUM,-9.228593826293945,-11.755731582641602,False
488,TV,True,Present continuous used isntead of present; Chinese generally expresses actions in present tense,AUX VERB,PRON AUX VERB ADV,AUX VERB ADV,AUX VERB ADV ADP,-10.791889190673828,-12.618780136108398,False
489,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,PRON PUNCT PRON VERB,PUNCT PRON VERB,PUNCT PRON VERB PART,-6.491823196411133,-6.791542053222656,False
490,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,PRON PUNCT PRON VERB,PUNCT PRON VERB,PUNCT PRON VERB PART,-6.491823196411133,-6.791542053222656,False
491,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT ADV,ADJ PUNCT ADV PRON,PUNCT ADV PRON,PUNCT ADV PRON VERB,-6.457043170928955,-6.60579776763916,False
492,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT ADV,ADJ PUNCT ADV PRON,PUNCT ADV PRON,PUNCT ADV PRON VERB,-6.457043170928955,-6.60579776763916,False
493,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT DET,PRON PUNCT DET VERB,PUNCT DET VERB,PUNCT DET VERB PRON,-8.017699241638184,-8.443700790405273,False
494,TV,True,Modal used for polite speech,VERB VERB,PRON VERB VERB SCONJ,VERB VERB SCONJ,VERB VERB SCONJ PRON,-9.764383316040039,-8.048210144042969,True
495,TV,True,Chinese would use word in the given context,VERB AUX,SCONJ VERB AUX DET,VERB AUX DET,VERB AUX DET ADJ,-8.403423309326172,-11.98431396484375,False
496,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT ADP,NOUN PUNCT ADP NOUN,PUNCT ADP NOUN,PUNCT ADP NOUN PUNCT,-4.877010822296143,-4.906224250793457,False
497,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON ADV,PUNCT PRON ADV,PUNCT PRON ADV VERB,-6.531130790710449,-6.244041442871094,True
498,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON ADP,PUNCT PRON ADP,PUNCT PRON ADP DET,-8.32675552368164,-8.945677757263184,False
499,RP,True,Chinese uses commas to mark the end of a complete thought,NOUN NOUN,ADJ NOUN NOUN PUNCT,NOUN NOUN PUNCT,NOUN NOUN PUNCT,-3.781497001647949,-2.7727162837982178,True
501,RP,False,Overcorrection,PUNCT DET,NOUN PUNCT DET NOUN,PUNCT DET NOUN,PUNCT DET NOUN ADP,-7.216774940490723,-7.993007659912109,False
503,FV,False,Present perfect tense used incorrectly,AUX VERB,VERB AUX VERB ADP,AUX VERB ADP,AUX VERB ADP PRON,-7.721992492675781,-12.071577072143555,False
504,L,False,Misunderstanding of word usage/meaning,VERB VERB,PRON VERB VERB DET,VERB VERB DET,VERB VERB DET NOUN,-6.609192848205566,-5.831813335418701,True
505,TV,True,Chinese would use word in the given context,VERB AUX,PRON VERB AUX DET,VERB AUX DET,VERB AUX DET ADV,-7.878512382507324,-11.473438262939453,False
506,W,False,Incorrect article placement,ADV DET,AUX ADV DET ADJ,ADV DET ADJ,ADV DET ADJ NOUN,-5.555482864379883,-6.001987457275391,False
507,RP,False,Punctuation error related to Spelling errors (extra spaces),NOUN NOUN,ADJ NOUN NOUN ADP,NOUN NOUN ADP,NOUN NOUN ADP DET,-7.3816819190979,-8.542943000793457,False
509,DN,False,Equivalent word exists but is not used,NOUN NOUN,DET NOUN NOUN PUNCT,NOUN NOUN PUNCT,NOUN NOUN PUNCT ADP,-8.067358016967773,-8.279241561889648,False
510,U,True,Chinese conventions conflict with English,VERB ADV,PRON VERB ADV PUNCT,VERB ADV PUNCT,VERB ADV PUNCT,-4.155261039733887,-3.874390125274658,True
511,TV,False,Past continuous used instead of past perfect,AUX AUX,NOUN AUX AUX VERB,AUX AUX VERB,AUX AUX VERB DET,-9.69253158569336,-13.40438461303711,False
512,UP,False,Overcorrection,PUNCT SCONJ,ADJ PUNCT SCONJ PRON,PUNCT SCONJ PRON,PUNCT SCONJ PRON VERB,-7.091353416442871,-6.796130657196045,True
514,UP,False,Overcorrection,PUNCT CCONJ,NOUN PUNCT CCONJ SCONJ,PUNCT CCONJ SCONJ,PUNCT CCONJ SCONJ PRON,-8.474802017211914,-9.64289665222168,False
515,W,True,Sentence could be valid in Chinese,ADV AUX,PROPN ADV AUX NOUN,ADV AUX NOUN,ADV AUX NOUN PUNCT,-5.132920742034912,-10.397549629211426,False
516,RP,False,Overcorrection,PUNCT SCONJ,NOUN PUNCT SCONJ PRON,PUNCT SCONJ PRON,PUNCT SCONJ PRON ADV,-7.545685768127441,-7.921222686767578,False
518,RP,False,Overcorrection,PUNCT PRON,NOUN PUNCT PRON VERB,PUNCT PRON VERB,PUNCT PRON VERB VERB,-6.516456127166748,-5.950233459472656,True
519,DN,True,English words map to the same Chinese word,NOUN NOUN,ADJ NOUN NOUN AUX,NOUN NOUN AUX,NOUN NOUN AUX NUM,-7.303932189941406,-10.310772895812988,False
520,UP,False,Overcorrection,PUNCT CCONJ,NUM PUNCT CCONJ ADP,PUNCT CCONJ ADP,PUNCT CCONJ ADP DET,-8.958894729614258,-10.211952209472656,False
522,TV,True,Missing auxiliary with tense errors,VERB ADV,NOUN VERB ADV CCONJ,VERB ADV CCONJ,VERB ADV CCONJ ADV,-8.10954475402832,-9.153837203979492,False
523,FV,True,"Missing ""to"" for to-infinitive non-finite subordinate clauses",VERB ADP,VERB VERB ADP DET,VERB ADP DET,VERB ADP DET NOUN,-4.794985771179199,-6.44589900970459,False
526,TV,False,Past perfect used instead of past tense,AUX VERB,PRON AUX VERB SCONJ,AUX VERB SCONJ,AUX VERB SCONJ PRON,-10.135318756103516,-11.709592819213867,False
527,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT DET,NOUN PUNCT DET NOUN,PUNCT DET NOUN,PUNCT DET NOUN VERB,-6.421430587768555,-6.842767238616943,False
528,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,ADJ PUNCT PRON VERB,PUNCT PRON VERB,PUNCT PRON VERB VERB,-6.516456127166748,-5.950233459472656,True
529,TV,True,English words map to the same Chinese word; Chinese would use word in the given context,VERB VERB,PRON VERB VERB DET,VERB VERB DET,VERB VERB DET PRON,-8.860291481018066,-7.9540557861328125,True
531,FV,False,Incorrectly using progressive aspect,VERB ADV,NOUN VERB ADV PUNCT,VERB ADV PUNCT,VERB ADV PUNCT SCONJ,-8.71545696258545,-9.060264587402344,False
532,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT DET,AUX PUNCT DET VERB,PUNCT DET VERB,PUNCT DET VERB AUX,-8.507644653320312,-10.540055274963379,False
533,U,False,Confusion of phrase meaning and usage,PUNCT PRON,NOUN PUNCT PRON VERB,PUNCT PRON VERB,PUNCT PRON VERB DET,-6.416317939758301,-8.497385025024414,False
534,MP,True,Chinese doesn't use hyphens in words,ADV VERB,AUX ADV VERB PUNCT,ADV VERB PUNCT,ADV VERB PUNCT ADV,-8.502237319946289,-7.192693710327148,True
535,MP,True,Chinese doesn't use hyphens in words,NOUN PUNCT,CCONJ NOUN PUNCT DET,NOUN PUNCT DET,NOUN PUNCT DET VERB,-8.863042831420898,-8.48022747039795,True
536,MP,True,Chinese doesn't use hyphens in words,VERB ADP,DET VERB ADP CCONJ,VERB ADP CCONJ,VERB ADP CCONJ ADV,-7.435862064361572,-9.840511322021484,False
537,W,True,Adjective/modifier precedes described object,PROPN ADJ,ADP PROPN ADJ NOUN,PROPN ADJ NOUN,PROPN ADJ NOUN CCONJ,-7.67461633682251,-8.519044876098633,False
538,AGN,True,Number error,NOUN PART,DET NOUN PART ADJ,NOUN PART ADJ,NOUN PART ADJ NOUN,-7.035297393798828,-5.175436973571777,True
539,RP,False,Punctuation error related to Spelling errors (extra spaces),AUX SCONJ,PUNCT AUX SCONJ PRON,AUX SCONJ PRON,AUX SCONJ PRON VERB,-9.027283668518066,-10.755892753601074,False
540,FN,True,Missing plural,NOUN PART,DET NOUN PART NOUN,NOUN PART NOUN,NOUN PART NOUN AUX,-7.351146697998047,-9.996647834777832,False
541,U,False,Confusion of phrase meaning and usage,DET CCONJ,ADV DET CCONJ PRON,DET CCONJ PRON,DET CCONJ PRON DET,-9.2150297164917,-11.470023155212402,False
542,FV,False,"Using the infinitive form of the verb with ""to"" instead of using present tense or present progressive",PART VERB,AUX PART VERB VERB,PART VERB VERB,PART VERB VERB ADP,-8.115250587463379,-9.525642395019531,False
