,error_type,Negative transfer?,Likely reason for mistake,incorrect_ud_tags,incorrect_ud_tags_padded,incorrect_ud_tags_unigram,incorrect_ud_tags_bigram,nlt,result
558,U,False,Confusion of phrase meaning and usage,ADP NOUN,VERB ADP NOUN PUNCT,ADP NOUN PUNCT,ADP NOUN PUNCT ADV,False,True
559,MP,True,Chinese sentence structure differs from English,ADP NOUN,NOUN ADP NOUN PRON,ADP NOUN PRON,ADP NOUN PRON VERB,True,True
560,RP,False,Overcorrection,PUNCT SCONJ,NOUN PUNCT SCONJ PRON,PUNCT SCONJ PRON,PUNCT SCONJ PRON AUX,False,True
561,U,False,Confusion of phrase meaning and usage,ADP NOUN,NOUN ADP NOUN PUNCT,ADP NOUN PUNCT,ADP NOUN PUNCT ADV,False,True
562,RP,False,Punctuation error related to Spelling errors (extra spaces),NOUN NOUN,DET NOUN NOUN AUX,NOUN NOUN AUX,NOUN NOUN AUX VERB,False,True
563,RP,False,Punctuation error related to Spelling errors (extra spaces),NOUN NOUN,DET NOUN NOUN AUX,NOUN NOUN AUX,NOUN NOUN AUX VERB,False,True
566,RP,False,Overcorrection,PUNCT SCONJ,VERB PUNCT SCONJ DET,PUNCT SCONJ DET,PUNCT SCONJ DET NOUN,False,True
567,MT,True,Chinese doesn't use the word in this context,NUM ADP,PUNCT NUM ADP PRON,NUM ADP PRON,NUM ADP PRON PRON,False,False
568,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT ADP,VERB PUNCT ADP NUM,PUNCT ADP NUM,PUNCT ADP NUM ADP,False,False
569,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT ADV,ADP PUNCT ADV PUNCT,PUNCT ADV PUNCT,PUNCT ADV PUNCT PRON,True,True
570,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT DET,NOUN PUNCT DET NOUN,PUNCT DET NOUN,PUNCT DET NOUN ADP,False,False
571,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT ADV,NOUN PUNCT ADV PRON,PUNCT ADV PRON,PUNCT ADV PRON VERB,True,True
572,TV,False,Past perfect used instead of past tense; Extra unecessary auxiliary added,AUX AUX,NOUN AUX AUX ADV,AUX AUX ADV,AUX AUX ADV PART,False,True
574,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT SCONJ,NOUN PUNCT SCONJ PRON,PUNCT SCONJ PRON,PUNCT SCONJ PRON VERB,False,False
576,RP,False,Punctuation error related to Spelling errors (extra spaces),VERB PART,PRON VERB PART VERB,VERB PART VERB,VERB PART VERB ADP,True,False
577,FV,False,"Using the infinitive form of the verb with ""to"" instead of using present tense or present progressive",PART VERB,SCONJ PART VERB ADP,PART VERB ADP,PART VERB ADP NOUN,True,False
578,RP,True,Word not capitalized,ADJ NOUN,DET ADJ NOUN PUNCT,ADJ NOUN PUNCT,ADJ NOUN PUNCT CCONJ,False,False
579,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT ADV,ADJ PUNCT ADV PRON,PUNCT ADV PRON,PUNCT ADV PRON AUX,False,False
580,RP,False,Punctuation error related to Spelling errors (extra spaces),NOUN NOUN,ADP NOUN NOUN PUNCT,NOUN NOUN PUNCT,NOUN NOUN PUNCT PRON,True,False
581,UV,False,Unnecessary auxiliary added,AUX VERB,PRON AUX VERB VERB,AUX VERB VERB,AUX VERB VERB PART,False,True
582,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT ADP,NOUN PUNCT ADP NOUN,PUNCT ADP NOUN,PUNCT ADP NOUN PUNCT,False,False
583,RP,True,Chinese uses commas to mark the end of a complete thought,NOUN NOUN,DET NOUN NOUN PUNCT,NOUN NOUN PUNCT,NOUN NOUN PUNCT PRON,True,True
584,FV,True,Progressive aspect not applied,NOUN ADP,AUX NOUN ADP DET,NOUN ADP DET,NOUN ADP DET NOUN,False,False
586,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,ADJ PUNCT PRON AUX,PUNCT PRON AUX,PUNCT PRON AUX PART,False,False
587,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON VERB,PUNCT PRON VERB,PUNCT PRON VERB ADP,False,False
588,TV,True,Using auxiliary in past tense to inflect tense rather than changing the lexical verb's tense,AUX VERB,NOUN AUX VERB PART,AUX VERB PART,AUX VERB PART VERB,False,False
589,TV,True,Modal used for polite speech,VERB AUX,NOUN VERB AUX ADJ,VERB AUX ADJ,VERB AUX ADJ PUNCT,False,False
591,TV,False,Incorrect auxiliary used,AUX AUX,CCONJ AUX AUX ADP,AUX AUX ADP,AUX AUX ADP DET,False,True
592,TV,False,Extra unecessary auxiliary added,AUX VERB,PRON AUX VERB ADP,AUX VERB ADP,AUX VERB ADP DET,False,True
594,W,False,Order is incorrect in Chinese and English,VERB ADV,PRON VERB ADV SCONJ,VERB ADV SCONJ,VERB ADV SCONJ NOUN,False,True
595,TV,False,Incorrect auxiliary used; Extra unecessary auxiliary added; Present perfect used instead of past tense,AUX VERB,PROPN AUX VERB AUX,AUX VERB AUX,AUX VERB AUX ADV,False,True
597,DJ,True,Chinese doesn't use hyphens in words,NUM NOUN,DET NUM NOUN NOUN,NUM NOUN NOUN,NUM NOUN NOUN CCONJ,True,True
598,RP,False,Punctuation error related to Spelling errors (extra spaces),NOUN VERB,DET NOUN VERB PUNCT,NOUN VERB PUNCT,NOUN VERB PUNCT VERB,True,False
599,UP,False,Overcorrection,NOUN PUNCT,ADP NOUN PUNCT NOUN,NOUN PUNCT NOUN,NOUN PUNCT NOUN CCONJ,True,False
600,UC,False,Incorrect/incomplete expression used,SCONJ ADJ,PUNCT SCONJ ADJ NOUN,SCONJ ADJ NOUN,SCONJ ADJ NOUN VERB,True,False
601,TV,True,Context carries tense rather than verb.,VERB ADP,DET VERB ADP NOUN,VERB ADP NOUN,VERB ADP NOUN ADP,False,False
602,MP,True,Chinese doesn't use hyphens in words,VERB ADP,AUX VERB ADP PART,VERB ADP PART,VERB ADP PART VERB,True,True
603,RP,False,Inappropriate capitalization in the middle of sentence,ADP,PUNCT ADP DET,ADP DET,ADP DET PROPN,False,True
605,MJ,True,Chinese equivalent maps to only a part of the English word,PUNCT,VERB PUNCT ADV,PUNCT ADV,PUNCT ADV VERB,True,True
607,AGV,False,Incorrect application of 3rd person present tense (e.g. tagging on the suffix -s),VERB,ADV VERB PUNCT,VERB PUNCT,VERB PUNCT PRON,True,False
609,TV,True,Context carries tense rather than verb.,VERB,PRON VERB ADP,VERB ADP,VERB ADP DET,False,False
610,RA,True,Map to the same pronoun in Chinese,DET,AUX DET PUNCT,DET PUNCT,DET PUNCT PRON,False,False
611,DA,False,Using your instead of yours for sign offs,DET,DET ADV,DET ADV,DET ADV,False,True
612,DY,False,Spelling error,ADV,PROPN ADV,ADV,ADV,False,True
613,AGV,True,3rd person plural verb form used instead of 3rd person singular form,AUX,CCONJ AUX ADJ,AUX ADJ,AUX ADJ ADJ,False,False
614,AGN,True,Number error,NOUN,DET NOUN ADP,NOUN ADP,NOUN ADP NOUN,False,False
616,AGN,False,Overcorrection,NOUN,DET NOUN VERB,NOUN VERB,NOUN VERB PART,True,False
617,AGV,True,Not applying the 3rd person present tense suffix -s,VERB,NOUN VERB DET,VERB DET,VERB DET NOUN,False,False
618,MT,True,Chinese doesn't use the word in this context,DET,VERB DET NOUN,DET NOUN,DET NOUN PRON,False,False
619,RD,True,Chinese uses a character that maps a determiner in this case,DET,ADP DET NOUN,DET NOUN,DET NOUN PRON,False,False
620,MT,True,Chinese doesn't use the word in this context,DET,VERB DET NOUN,DET NOUN,DET NOUN PRON,False,False
621,UP,False,Error that native speakers would make as well,PUNCT,PRON PUNCT SCONJ,PUNCT SCONJ,PUNCT SCONJ DET,False,True
622,MD,True,Chinese has no articles and doesn't use classifiers in this situation,PROPN,ADP PROPN PROPN,PROPN PROPN,PROPN PROPN PUNCT,False,False
623,TV,True,"Chinese generally expresses actions in present tense; Buildings are stationary, action verbs don't apply to them.",VERB,DET VERB ADP,VERB ADP,VERB ADP DET,False,False
624,MV,True,Chinese conventions conflict with English,ADP,NOUN ADP DET,ADP DET,ADP DET NOUN,False,False
625,TV,True,Chinese generally expresses actions in present tense,AUX,DET AUX ADV,AUX ADV,AUX ADV VERB,False,False
626,MP,True,Chinese uses commas to mark the end of a complete thought,ADP,NOUN ADP NOUN,ADP NOUN,ADP NOUN ADP,False,False
627,M,True,Incorrect introduction of subordinate clause or modifiers,AUX,NOUN AUX ADV,AUX ADV,AUX ADV ADJ,False,False
629,TV,False,-,AUX,ADV AUX DET,AUX DET,AUX DET ADV,False,True
630,UP,False,Error that native speakers would make as well,PUNCT,AUX PUNCT SCONJ,PUNCT SCONJ,PUNCT SCONJ PRON,False,True
631,TV,True,Context carries tense rather than verb.,VERB,PRON VERB ADP,VERB ADP,VERB ADP NUM,False,False
634,UD,False,Overcorrection,DET,AUX DET ADJ,DET ADJ,DET ADJ NOUN,False,True
635,DY,False,Spelling error,ADV,VERB ADV PUNCT,ADV PUNCT,ADV PUNCT,True,False
637,FN,True,Missing plural,NOUN,NOUN NOUN VERB,NOUN VERB,NOUN VERB AUX,True,True
638,UT,False,"Overcorrection by adding ""to"" to show the object of transitive verbs",ADP,VERB ADP DET,ADP DET,ADP DET NOUN,False,True
639,UD,False,Overcorrection,DET,ADP DET NOUN,DET NOUN,DET NOUN AUX,False,True
640,FD,False,Wrong determiner used,DET,VERB DET NOUN,DET NOUN,DET NOUN PUNCT,False,True
643,RA,False,general grammar rules confusion,PRON,NOUN PRON PRON,PRON PRON,PRON PRON VERB,True,False
644,MD,True,Chinese has no articles and doesn't use classifiers in this situation,PROPN,ADP PROPN CCONJ,PROPN CCONJ,PROPN CCONJ ADP,False,False
645,RP,True,Word not capitalized,NOUN,DET NOUN CCONJ,NOUN CCONJ,NOUN CCONJ ADP,False,False
646,UD,False,Overcorrection,DET,AUX DET ADV,DET ADV,DET ADV ADV,False,True
647,UP,False,Error that native speakers would make as well,PUNCT,VERB PUNCT SCONJ,PUNCT SCONJ,PUNCT SCONJ PRON,False,True
648,UP,False,Error that native speakers would make as well,PUNCT,VERB PUNCT SCONJ,PUNCT SCONJ,PUNCT SCONJ PRON,False,True
650,UP,False,Error that native speakers would make as well,PUNCT,VERB PUNCT SCONJ,PUNCT SCONJ,PUNCT SCONJ PRON,False,True
651,MD,True,Chinese uses classifiers instead of articles in this case,NOUN,VERB NOUN ADP,NOUN ADP,NOUN ADP DET,False,False
652,AGN,False,Overcorrection,NOUN,DET NOUN ADP,NOUN ADP,NOUN ADP DET,False,True
654,AGN,False,Overcorrection,NOUN,ADJ NOUN DET,NOUN DET,NOUN DET PRON,False,True
655,UP,False,Error that native speakers would make as well,PUNCT,VERB PUNCT SCONJ,PUNCT SCONJ,PUNCT SCONJ PRON,False,True
656,TV,True,Chinese generally expresses actions in present tense.,VERB,PRON VERB ADP,VERB ADP,VERB ADP DET,False,False
657,MD,True,Chinese has no articles and doesn't use classifiers in this situation,PROPN,ADP PROPN CCONJ,PROPN CCONJ,PROPN CCONJ ADP,False,False
658,RP,True,Word not capitalized,NOUN,DET NOUN CCONJ,NOUN CCONJ,NOUN CCONJ ADP,False,False
659,FN,True,Missing plural,NOUN,NOUN NOUN PUNCT,NOUN PUNCT,NOUN PUNCT PRON,True,True
661,FV,True,"Missing ""to"" for to-infinitive non-finite subordinate clauses",NOUN,NOUN NOUN ADP,NOUN ADP,NOUN ADP NOUN,False,False
662,IV,False,Spelling error,VERB,PUNCT VERB NOUN,VERB NOUN,VERB NOUN CCONJ,True,False
663,UD,False,Overcorrection,DET,ADP DET NOUN,DET NOUN,DET NOUN AUX,False,True
664,IN,True,Missing plural,NOUN,ADJ NOUN PUNCT,NOUN PUNCT,NOUN PUNCT PRON,True,True
665,MT,True,Chinese doesn't use the word in this context,PUNCT,VERB PUNCT NOUN,PUNCT NOUN,PUNCT NOUN NOUN,True,True
667,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,ADP NOUN NOUN,NOUN NOUN,NOUN NOUN PUNCT,True,True
668,UD,False,Overcorrection,DET,DET DET NOUN,DET NOUN,DET NOUN NOUN,False,True
669,AGV,True,Not applying the 3rd person present tense suffix -s,VERB,NOUN VERB PART,VERB PART,VERB PART AUX,True,True
670,MV,True,Chinese does not have auxiliary verbs,ADP,SCONJ ADP NOUN,ADP NOUN,ADP NOUN PUNCT,False,False
671,CN,False,Number disagreement,NOUN,ADP NOUN PUNCT,NOUN PUNCT,NOUN PUNCT DET,False,True
672,UD,False,Overcorrection,DET,DET DET NOUN,DET NOUN,DET NOUN NOUN,False,True
673,AGN,True,Number error,NOUN,PUNCT NOUN AUX,NOUN AUX,NOUN AUX VERB,False,False
675,AGV,True,Not applying the 3rd person present tense suffix -s,VERB,DET VERB PART,VERB PART,VERB PART AUX,True,True
676,DJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same",INTJ,ADV INTJ PART,INTJ PART,INTJ PART VERB,True,True
677,MT,True,Chinese doesn't use the word in this context,VERB,PRON VERB DET,VERB DET,VERB DET ADJ,False,False
679,UT,False,Overcorrection,ADP,AUX ADP ADP,ADP ADP,ADP ADP NOUN,False,True
680,DJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same",NOUN,NUM NOUN NOUN,NOUN NOUN,NOUN NOUN PUNCT,True,True
681,MC,True,Chinese does not use conjunctions to join clauses,PRON,PUNCT PRON AUX,PRON AUX,PRON AUX ADV,False,False
682,MD,True,Chinese has no articles and doesn't use classifiers in this situation,PROPN,ADP PROPN PART,PROPN PART,PROPN PART ADJ,False,False
683,MP,False,Missing apostrophy,PROPN,DET PROPN PROPN,PROPN PROPN,PROPN PROPN NOUN,False,True
685,FV,False,Incorrectly using progressive aspect,VERB,NOUN VERB NOUN,VERB NOUN,VERB NOUN PUNCT,True,False
686,AGA,False,Using 'It' incorrectly,PRON,SCONJ PRON AUX,PRON AUX,PRON AUX ADJ,False,True
687,AGV,True,3rd person singular form used instead of 3rd person plural verb form,AUX,PRON AUX ADJ,AUX ADJ,AUX ADJ ADP,False,False
688,UV,True,Modal used for polite speech,VERB,PRON VERB VERB,VERB VERB,VERB VERB ADP,False,False
689,MT,True,Chinese doesn't use the word in this context,DET,VERB DET NOUN,DET NOUN,DET NOUN ADP,False,False
691,UD,False,Chinese doesn't distinguish indefinite and definite articles like English,DET,VERB DET ADJ,DET ADJ,DET ADJ PUNCT,False,True
694,UC,True,Chinese would use word in the given context,SCONJ,NOUN SCONJ PRON,SCONJ PRON,SCONJ PRON VERB,True,True
695,MD,True,Chinese has no articles and doesn't use classifiers in this situation,PROPN,PUNCT PROPN NOUN,PROPN NOUN,PROPN NOUN ADP,False,False
696,MD,True,Chinese has no articles and doesn't use classifiers in this situation,ADJ,ADP ADJ NOUN,ADJ NOUN,ADJ NOUN,False,False
697,MN,False,Subject or object not specified,AUX,DET AUX PART,AUX PART,AUX PART VERB,False,True
698,UP,False,Error that native speakers would make as well,PUNCT,NOUN PUNCT VERB,PUNCT VERB,PUNCT VERB PROPN,True,False
699,M,True,Incorrect introduction of subordinate clause or modifiers,AUX,PROPN AUX ADJ,AUX ADJ,AUX ADJ VERB,False,False
700,UP,False,Overcorrection,NOUN,AUX NOUN PUNCT,NOUN PUNCT,NOUN PUNCT VERB,True,False
701,TV,True,Chinese generally expresses actions in present tense.,VERB,AUX VERB ADP,VERB ADP,VERB ADP NUM,False,False
702,RP,True,Word not capitalized,ADJ,ADP ADJ NOUN,ADJ NOUN,ADJ NOUN PUNCT,True,True
705,DJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same",VERB,AUX VERB ADP,VERB ADP,VERB ADP DET,False,False
706,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,ADP NOUN ADP,NOUN ADP,NOUN ADP NUM,False,False
707,CN,False,Number disagreement,PROPN,PUNCT PROPN,PROPN,PROPN,True,False
708,M,True,Article and comma issue,NOUN,NOUN NOUN PUNCT,NOUN PUNCT,NOUN PUNCT PUNCT,True,True
709,MP,True,Chinese uses commas to mark the end of a complete thought,ADP,PROPN ADP PROPN,ADP PROPN,ADP PROPN PROPN,False,False
710,MD,True,Chinese has no articles and doesn't use classifiers in this situation,PROPN,CCONJ PROPN AUX,PROPN AUX,PROPN AUX NOUN,False,False
714,AGV,True,3rd person plural verb form used instead of 3rd person singular form,AUX,PROPN AUX AUX,AUX AUX,AUX AUX ADV,False,False
715,AGV,True,Not applying the 3rd person present tense suffix -s,VERB,ADV VERB ADJ,VERB ADJ,VERB ADJ ADJ,False,False
716,M,True,Chinese conventions conflict with English,PROPN,PUNCT PROPN PART,PROPN PART,PROPN PART AUX,True,True
718,RA,False,Random pronoun used instead of null pronoun,PRON,PUNCT PRON VERB,PRON VERB,PRON VERB AUX,False,True
719,AGV,True,3rd person plural verb form used instead of 3rd person singular form,AUX,ADJ AUX DET,AUX DET,AUX DET NOUN,False,False
720,MD,True,Chinese has no articles and doesn't use classifiers in this situation,PROPN,ADP PROPN PROPN,PROPN PROPN,PROPN PROPN PUNCT,False,False
721,M,True,Chinese conventions conflict with English,PROPN,ADJ PROPN PROPN,PROPN PROPN,PROPN PROPN PUNCT,False,False
723,MD,True,Chinese has no articles and doesn't use classifiers in this situation,PROPN,ADP PROPN PROPN,PROPN PROPN,PROPN PROPN PUNCT,False,False
724,FD,False,Wrong determiner used,DET,AUX DET PROPN,DET PROPN,DET PROPN NOUN,False,True
726,AGV,True,3rd person plural verb form used instead of 3rd person singular form,AUX,CCONJ AUX ADJ,AUX ADJ,AUX ADJ NOUN,False,False
728,AGQ,True,Phrases map to the same Chinese phrase,DET,VERB DET NOUN,DET NOUN,DET NOUN SCONJ,False,False
729,TV,True,Modal used for polite speech,VERB,PRON VERB VERB,VERB VERB,VERB VERB DET,True,True
731,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,ADP NOUN PUNCT,NOUN PUNCT,NOUN PUNCT PRON,True,True
732,RD,True,Chinese has no plural marking,DET,VERB DET NOUN,DET NOUN,DET NOUN ADP,False,False
735,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,ADP NOUN PUNCT,NOUN PUNCT,NOUN PUNCT PRON,True,True
736,FV,False,Incorrectly using progressive aspect,VERB,CCONJ VERB ADV,VERB ADV,VERB ADV PUNCT,True,False
737,AGN,True,Number error,NOUN,DET NOUN ADP,NOUN ADP,NOUN ADP DET,False,False
739,RD,True,Chinese has no plural marking,DET,AUX DET NOUN,DET NOUN,DET NOUN PUNCT,False,False
740,M,True,Chinese conventions conflict with English,PROPN,PROPN PROPN PROPN,PROPN PROPN,PROPN PROPN NOUN,False,False
741,DJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same",PROPN,ADP PROPN NOUN,PROPN NOUN,PROPN NOUN AUX,False,False
742,MD,True,Chinese has no articles and doesn't use classifiers in this situation,ADJ,AUX ADJ NOUN,ADJ NOUN,ADJ NOUN ADP,False,False
744,RA,False,Random pronoun used instead of null pronoun,PRON,PUNCT PRON AUX,PRON AUX,PRON AUX DET,False,True
745,FD,False,Wrong determiner used,DET,AUX DET ADJ,DET ADJ,DET ADJ NOUN,False,True
746,MD,True,Chinese uses classifiers instead of articles in this case,NOUN,VERB NOUN PUNCT,NOUN PUNCT,NOUN PUNCT PROPN,True,True
747,RP,False,Overcorrection,PUNCT,NOUN PUNCT PROPN,PUNCT PROPN,PUNCT PROPN NOUN,True,False
748,MP,True,Chinese uses commas to mark the end of a complete thought,DET,NOUN DET PROPN,DET PROPN,DET PROPN PROPN,False,False
749,RA,False,general grammar rules confusion,PRON,PRON PRON PRON,PRON PRON,PRON PRON VERB,True,False
751,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,ADP NOUN PUNCT,NOUN PUNCT,NOUN PUNCT PRON,True,True
752,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,ADP NOUN PUNCT,NOUN PUNCT,NOUN PUNCT PRON,True,True
754,FV,True,"Missing ""to"" for to-infinitive non-finite subordinate clauses",VERB,NOUN VERB DET,VERB DET,VERB DET NOUN,False,False
755,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,ADP NOUN PUNCT,NOUN PUNCT,NOUN PUNCT PRON,True,True
756,FV,True,"Missing ""to"" for to-infinitive non-finite subordinate clauses",VERB,VERB VERB ADV,VERB ADV,VERB ADV PUNCT,True,True
758,TV,True,Modal used for polite speech,VERB,PRON VERB VERB,VERB VERB,VERB VERB DET,True,True
759,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,VERB NOUN PUNCT,NOUN PUNCT,NOUN PUNCT,True,True
760,UP,False,Unexplainable punctuation used,PUNCT,ADJ PUNCT ADP,PUNCT ADP,PUNCT ADP ADJ,False,True
761,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,ADP NOUN ADP,NOUN ADP,NOUN ADP PROPN,False,False
763,TV,True,Chinese generally expresses actions in present tense,VERB,VERB VERB ADP,VERB ADP,VERB ADP DET,False,False
764,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,ADP NOUN ADP,NOUN ADP,NOUN ADP PROPN,False,False
765,RP,True,Word not capitalized,INTJ,PUNCT INTJ VERB,INTJ VERB,INTJ VERB DET,False,False
766,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,ADP NOUN ADP,NOUN ADP,NOUN ADP PROPN,False,False
767,DA,False,Using possessive case inappropriately,DET,NOUN DET VERB,DET VERB,DET VERB SCONJ,False,True
770,RP,True,Word not capitalized,PROPN,PUNCT PROPN PROPN,PROPN PROPN,PROPN PROPN PUNCT,False,False
771,MP,True,Chinese uses commas to mark the end of a complete thought,DET,PUNCT DET AUX,DET AUX,DET AUX ADV,False,False
772,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,ADP NOUN ADP,NOUN ADP,NOUN ADP PROPN,False,False
773,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,ADP NOUN ADP,NOUN ADP,NOUN ADP PROPN,False,False
774,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,ADP NOUN ADP,NOUN ADP,NOUN ADP PROPN,False,False
775,UT,False,Overcorrection,ADP,VERB ADP DET,ADP DET,ADP DET NOUN,False,True
776,IV,False,Spelling error,VERB,AUX VERB DET,VERB DET,VERB DET NOUN,False,True
778,UP,False,Punctuation works the same in Chinese/Unexplainable punctuation used,PROPN,NOUN PROPN ADP,PROPN ADP,PROPN ADP DET,False,True
780,MP,True,Chinese uses commas to mark the end of a complete thought,DET,NOUN DET VERB,DET VERB,DET VERB DET,False,False
781,UP,False,Unexplainable punctuation used,PROPN,NOUN PROPN ADP,PROPN ADP,PROPN ADP DET,False,True
786,M,False,Word omitted even though in the Chinese translation it would be there,PROPN,NOUN PROPN NOUN,PROPN NOUN,PROPN NOUN NOUN,True,False
787,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,ADP NOUN PUNCT,NOUN PUNCT,NOUN PUNCT PROPN,True,True
789,UV,False,Unnecessary verb added,VERB,NOUN VERB PUNCT,VERB PUNCT,VERB PUNCT PRON,True,False
790,MN,True,Word prior or after contains the word in Chinese equivalent,PUNCT,NOUN PUNCT,PUNCT,PUNCT,True,True
791,UP,False,Unexplainable punctuation used,PUNCT,PROPN PUNCT ADV,PUNCT ADV,PUNCT ADV PUNCT,False,True
792,MT,True,Chinese doesn't use the word in this context,NOUN,ADV NOUN PUNCT,NOUN PUNCT,NOUN PUNCT PRON,True,True
795,RQ,False,Quantifier would not be used in this context in Chinese,DET,CCONJ DET NOUN,DET NOUN,DET NOUN ADP,False,True
797,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,SCONJ NOUN ADP,NOUN ADP,NOUN ADP ADJ,False,False
799,MJ,True,Chinese equivalent maps to only a part of the English word,NOUN,ADP NOUN PUNCT,NOUN PUNCT,NOUN PUNCT ADV,False,False
800,DJ,False,Chinese would also use distinct adjective form,NOUN,ADP NOUN NOUN,NOUN NOUN,NOUN NOUN PUNCT,True,False
801,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT,NOUN PUNCT PRON,PUNCT PRON,PUNCT PRON VERB,True,True
802,TV,False,Applying same tense to all verbs to show tense,VERB,PRON VERB PUNCT,VERB PUNCT,VERB PUNCT PRON,True,False
804,UT,False,Overcorrection,ADP,ADJ ADP PUNCT,ADP PUNCT,ADP PUNCT CCONJ,False,True
805,M,True,Incorrect introduction of subordinate clause or modifiers,ADJ,CCONJ ADJ NOUN,ADJ NOUN,ADJ NOUN PRON,True,True
807,M,False,Word omitted even though in the Chinese translation it would be there,NOUN,DET NOUN NOUN,NOUN NOUN,NOUN NOUN SCONJ,True,False
809,MC,True,Chinese does not use conjunctions to join clauses,DET,PUNCT DET NOUN,DET NOUN,DET NOUN ADP,False,False
810,M,True,Chinese conventions conflict with English,PUNCT,ADV PUNCT SCONJ,PUNCT SCONJ,PUNCT SCONJ ADJ,False,False
811,RP,False,Overcorrection,PUNCT,AUX PUNCT SCONJ,PUNCT SCONJ,PUNCT SCONJ ADJ,False,True
812,DJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same",VERB,DET VERB NOUN,VERB NOUN,VERB NOUN AUX,True,True
813,TV,True,Chinese generally expresses actions in present tense,VERB,ADV VERB ADP,VERB ADP,VERB ADP ADP,False,False
814,FJ,False,Misunderstanding of word usage/meaning,ADJ,DET ADJ NOUN,ADJ NOUN,ADJ NOUN PROPN,False,True
815,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT,AUX PUNCT PRON,PUNCT PRON,PUNCT PRON VERB,True,True
817,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,ADP NOUN PUNCT,NOUN PUNCT,NOUN PUNCT PRON,True,True
818,UN,True,Chinese conventions conflict with English,NOUN,NOUN NOUN PUNCT,NOUN PUNCT,NOUN PUNCT PRON,True,True
820,RD,False,Grammatical to exclude or include the word in Chinese,DET,ADP DET NOUN,DET NOUN,DET NOUN ADP,False,True
821,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,ADP NOUN PUNCT,NOUN PUNCT,NOUN PUNCT PRON,True,True
822,TV,False,Incorrectly using progressive aspect,VERB,PROPN VERB ADP,VERB ADP,VERB ADP NOUN,False,True
823,TV,False,Chinese generally expresses actions in present tense,VERB,NOUN VERB VERB,VERB VERB,VERB VERB ADP,False,True
824,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT,PROPN PUNCT PRON,PUNCT PRON,PUNCT PRON AUX,False,False
825,MD,True,Chinese has no articles and doesn't use classifiers in this situation,PROPN,ADP PROPN PROPN,PROPN PROPN,PROPN PROPN PUNCT,False,False
826,MP,True,Chinese uses commas to mark the end of a complete thought,DET,PROPN DET AUX,DET AUX,DET AUX PART,False,False
827,MP,True,Chinese uses commas to mark the end of a complete thought,VERB,NOUN VERB ADP,VERB ADP,VERB ADP NUM,False,False
828,IN,True,Chinese does not distinguish between mass and count nouns,NOUN,CCONJ NOUN VERB,NOUN VERB,NOUN VERB VERB,True,True
830,MD,True,Chinese has no articles and doesn't use classifiers in this situation,ADJ,ADP ADJ NOUN,ADJ NOUN,ADJ NOUN PUNCT,True,True
831,FN,True,Missing plural,NOUN,ADJ NOUN PUNCT,NOUN PUNCT,NOUN PUNCT DET,False,False
832,RA,False,Using 'It' incorrectly,PRON,ADP PRON AUX,PRON AUX,PRON AUX PART,False,True
834,TV,True,Context carries tense rather than verb.,VERB,PRON VERB ADJ,VERB ADJ,VERB ADJ NOUN,False,False
835,TV,True,Context carries tense rather than verb.,VERB,CCONJ VERB ADJ,VERB ADJ,VERB ADJ PUNCT,False,False
836,FN,True,Missing plural,NOUN,VERB NOUN ADP,NOUN ADP,NOUN ADP DET,False,False
