,error_type,Negative transfer?,Likely reason for mistake,incorrect_ud_tags,incorrect_ud_tags_padded,incorrect_ud_tags_unigram,incorrect_ud_tags_bigram,en,zhs,nlt
497,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON ADV,PUNCT PRON ADV,PUNCT PRON ADV VERB,-7.02436637878418,-7.043272018432617,False
498,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON ADP,PUNCT PRON ADP,PUNCT PRON ADP DET,-7.142446517944336,-7.52591609954834,False
499,RP,True,Chinese uses commas to mark the end of a complete thought,NOUN NOUN,ADJ NOUN NOUN PUNCT,NOUN NOUN PUNCT,NOUN NOUN PUNCT,-3.781497001647949,-2.7727162837982178,True
501,RP,False,Overcorrection,PUNCT DET,NOUN PUNCT DET NOUN,PUNCT DET NOUN,PUNCT DET NOUN ADP,-5.688526153564453,-5.948286056518555,False
503,FV,False,Present perfect tense used incorrectly,AUX VERB,VERB AUX VERB ADP,AUX VERB ADP,AUX VERB ADP PRON,-5.9264702796936035,-10.943586349487305,False
504,L,False,Misunderstanding of word usage/meaning,VERB VERB,PRON VERB VERB DET,VERB VERB DET,VERB VERB DET NOUN,-6.636114120483398,-7.664137840270996,False
505,TV,True,Chinese would use word in the given context,VERB AUX,PRON VERB AUX DET,VERB AUX DET,VERB AUX DET ADV,-6.966141700744629,-10.094924926757812,False
506,W,False,Incorrect article placement,ADV DET,AUX ADV DET ADJ,ADV DET ADJ,ADV DET ADJ NOUN,-6.380922317504883,-7.798240661621094,False
507,RP,False,Punctuation error related to Spelling errors (extra spaces),NOUN NOUN,ADJ NOUN NOUN ADP,NOUN NOUN ADP,NOUN NOUN ADP DET,-6.03188943862915,-6.254598617553711,False
509,DN,False,Equivalent word exists but is not used,NOUN NOUN,DET NOUN NOUN PUNCT,NOUN NOUN PUNCT,NOUN NOUN PUNCT ADP,-3.781497001647949,-2.7727162837982178,True
510,U,True,Chinese conventions conflict with English,VERB ADV,PRON VERB ADV PUNCT,VERB ADV PUNCT,VERB ADV PUNCT,-4.155261039733887,-3.874390125274658,True
511,TV,False,Past continuous used instead of past perfect,AUX AUX,NOUN AUX AUX VERB,AUX AUX VERB,AUX AUX VERB DET,-6.83863639831543,-10.635765075683594,False
512,UP,False,Overcorrection,PUNCT SCONJ,ADJ PUNCT SCONJ PRON,PUNCT SCONJ PRON,PUNCT SCONJ PRON VERB,-7.048191070556641,-6.967442512512207,True
514,UP,False,Overcorrection,PUNCT CCONJ,NOUN PUNCT CCONJ SCONJ,PUNCT CCONJ SCONJ,PUNCT CCONJ SCONJ PRON,-7.473716735839844,-9.106369018554688,False
515,W,True,Sentence could be valid in Chinese,ADV AUX,PROPN ADV AUX NOUN,ADV AUX NOUN,ADV AUX NOUN PUNCT,-6.003336429595947,-9.329106330871582,False
516,RP,False,Overcorrection,PUNCT SCONJ,NOUN PUNCT SCONJ PRON,PUNCT SCONJ PRON,PUNCT SCONJ PRON ADV,-7.048191070556641,-6.967442512512207,True
518,RP,False,Overcorrection,PUNCT PRON,NOUN PUNCT PRON VERB,PUNCT PRON VERB,PUNCT PRON VERB VERB,-5.68824577331543,-5.788882255554199,False
519,DN,True,English words map to the same Chinese word,NOUN NOUN,ADJ NOUN NOUN AUX,NOUN NOUN AUX,NOUN NOUN AUX NUM,-6.3014116287231445,-9.188239097595215,False
520,UP,False,Overcorrection,PUNCT CCONJ,NUM PUNCT CCONJ ADP,PUNCT CCONJ ADP,PUNCT CCONJ ADP DET,-7.162838935852051,-8.163054466247559,False
522,TV,True,Missing auxiliary with tense errors,VERB ADV,NOUN VERB ADV CCONJ,VERB ADV CCONJ,VERB ADV CCONJ ADV,-7.498137474060059,-8.120245933532715,False
523,FV,True,"Missing ""to"" for to-infinitive non-finite subordinate clauses",VERB ADP,VERB VERB ADP DET,VERB ADP DET,VERB ADP DET NOUN,-5.851269721984863,-7.798564910888672,False
526,TV,False,Past perfect used instead of past tense,AUX VERB,PRON AUX VERB SCONJ,AUX VERB SCONJ,AUX VERB SCONJ PRON,-7.8711652755737305,-10.981437683105469,False
527,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT DET,NOUN PUNCT DET NOUN,PUNCT DET NOUN,PUNCT DET NOUN VERB,-5.688526153564453,-5.948286056518555,False
528,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,ADJ PUNCT PRON VERB,PUNCT PRON VERB,PUNCT PRON VERB VERB,-5.68824577331543,-5.788882255554199,False
529,TV,True,English words map to the same Chinese word; Chinese would use word in the given context,VERB VERB,PRON VERB VERB DET,VERB VERB DET,VERB VERB DET PRON,-6.636114120483398,-7.664137840270996,False
531,FV,False,Incorrectly using progressive aspect,VERB ADV,NOUN VERB ADV PUNCT,VERB ADV PUNCT,VERB ADV PUNCT SCONJ,-4.155261039733887,-3.874390125274658,True
532,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT DET,AUX PUNCT DET VERB,PUNCT DET VERB,PUNCT DET VERB AUX,-6.813870906829834,-7.425139427185059,False
533,U,False,Confusion of phrase meaning and usage,PUNCT PRON,NOUN PUNCT PRON VERB,PUNCT PRON VERB,PUNCT PRON VERB DET,-5.68824577331543,-5.788882255554199,False
534,MP,True,Chinese doesn't use hyphens in words,ADV VERB,AUX ADV VERB PUNCT,ADV VERB PUNCT,ADV VERB PUNCT ADV,-4.356644630432129,-2.6320013999938965,True
535,MP,True,Chinese doesn't use hyphens in words,NOUN PUNCT,CCONJ NOUN PUNCT DET,NOUN PUNCT DET,NOUN PUNCT DET VERB,-6.48277473449707,-8.00236988067627,False
536,MP,True,Chinese doesn't use hyphens in words,VERB ADP,DET VERB ADP CCONJ,VERB ADP CCONJ,VERB ADP CCONJ ADV,-7.845061302185059,-8.528194427490234,False
537,W,True,Adjective/modifier precedes described object,PROPN ADJ,ADP PROPN ADJ NOUN,PROPN ADJ NOUN,PROPN ADJ NOUN CCONJ,-5.264140605926514,-4.841914176940918,True
538,AGN,True,Number error,NOUN PART,DET NOUN PART ADJ,NOUN PART ADJ,NOUN PART ADJ NOUN,-6.996725082397461,-8.021677017211914,False
539,RP,False,Punctuation error related to Spelling errors (extra spaces),AUX SCONJ,PUNCT AUX SCONJ PRON,AUX SCONJ PRON,AUX SCONJ PRON VERB,-8.052376747131348,-10.13827896118164,False
540,FN,True,Missing plural,NOUN PART,DET NOUN PART NOUN,NOUN PART NOUN,NOUN PART NOUN AUX,-4.4798583984375,-3.7309255599975586,True
541,U,False,Confusion of phrase meaning and usage,DET CCONJ,ADV DET CCONJ PRON,DET CCONJ PRON,DET CCONJ PRON DET,-7.672985076904297,-9.034835815429688,False
542,FV,False,"Using the infinitive form of the verb with ""to"" instead of using present tense or present progressive",PART VERB,AUX PART VERB VERB,PART VERB VERB,PART VERB VERB ADP,-6.440901756286621,-5.996015548706055,True
543,W,False,Compound noun error,NOUN NOUN,DET NOUN NOUN PUNCT,NOUN NOUN PUNCT,NOUN NOUN PUNCT PRON,-3.781497001647949,-2.7727162837982178,True
544,RP,False,Punctuation error related to Spelling errors (extra spaces),NOUN NOUN,DET NOUN NOUN PUNCT,NOUN NOUN PUNCT,NOUN NOUN PUNCT PRON,-3.781497001647949,-2.7727162837982178,True
546,FN,True,Missing plural,NOUN ADP,VERB NOUN ADP DET,NOUN ADP DET,NOUN ADP DET NOUN,-6.011322975158691,-7.693400859832764,False
548,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON VERB,PUNCT PRON VERB,PUNCT PRON VERB ADP,-5.68824577331543,-5.788882255554199,False
549,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON VERB,PUNCT PRON VERB,PUNCT PRON VERB ADP,-5.68824577331543,-5.788882255554199,False
551,FV,True,"Missing ""to"" for to-infinitive non-finite subordinate clauses",VERB DET,PRON VERB DET NOUN,VERB DET NOUN,VERB DET NOUN ADP,-3.9306564331054688,-5.082910537719727,False
552,RP,False,Overcorrection,PUNCT SCONJ,PROPN PUNCT SCONJ PRON,PUNCT SCONJ PRON,PUNCT SCONJ PRON VERB,-7.048191070556641,-6.967442512512207,True
554,RP,False,Punctuation error related to Spelling errors (extra spaces),NOUN NOUN,DET NOUN NOUN DET,NOUN NOUN DET,NOUN NOUN DET AUX,-7.2879743576049805,-7.262950420379639,True
556,TV,False,Past progressive used instead of past tense; Extra unecessary auxiliary added,AUX VERB,PRON AUX VERB NOUN,AUX VERB NOUN,AUX VERB NOUN ADP,-6.885072708129883,-9.503705024719238,False
558,U,False,Confusion of phrase meaning and usage,ADP NOUN,VERB ADP NOUN PUNCT,ADP NOUN PUNCT,ADP NOUN PUNCT ADV,-3.7444424629211426,-3.126373767852783,True
559,MP,True,Chinese sentence structure differs from English,ADP NOUN,NOUN ADP NOUN PRON,ADP NOUN PRON,ADP NOUN PRON VERB,-7.447781562805176,-6.627254486083984,True
560,RP,False,Overcorrection,PUNCT SCONJ,NOUN PUNCT SCONJ PRON,PUNCT SCONJ PRON,PUNCT SCONJ PRON AUX,-7.048191070556641,-6.967442512512207,True
561,U,False,Confusion of phrase meaning and usage,ADP NOUN,NOUN ADP NOUN PUNCT,ADP NOUN PUNCT,ADP NOUN PUNCT ADV,-3.7444424629211426,-3.126373767852783,True
562,RP,False,Punctuation error related to Spelling errors (extra spaces),NOUN NOUN,DET NOUN NOUN AUX,NOUN NOUN AUX,NOUN NOUN AUX VERB,-6.3014116287231445,-9.188239097595215,False
563,RP,False,Punctuation error related to Spelling errors (extra spaces),NOUN NOUN,DET NOUN NOUN AUX,NOUN NOUN AUX,NOUN NOUN AUX VERB,-6.3014116287231445,-9.188239097595215,False
566,RP,False,Overcorrection,PUNCT SCONJ,VERB PUNCT SCONJ DET,PUNCT SCONJ DET,PUNCT SCONJ DET NOUN,-7.046032905578613,-8.026008605957031,False
567,MT,True,Chinese doesn't use the word in this context,NUM ADP,PUNCT NUM ADP PRON,NUM ADP PRON,NUM ADP PRON PRON,-6.056719779968262,-7.787117004394531,False
568,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT ADP,VERB PUNCT ADP NUM,PUNCT ADP NUM,PUNCT ADP NUM ADP,-6.2869110107421875,-6.795168876647949,False
569,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT ADV,ADP PUNCT ADV PUNCT,PUNCT ADV PUNCT,PUNCT ADV PUNCT PRON,-4.841076850891113,-3.7614152431488037,True
570,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT DET,NOUN PUNCT DET NOUN,PUNCT DET NOUN,PUNCT DET NOUN ADP,-5.688526153564453,-5.948286056518555,False
571,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT ADV,NOUN PUNCT ADV PRON,PUNCT ADV PRON,PUNCT ADV PRON VERB,-6.6208367347717285,-6.183224678039551,True
572,TV,False,Past perfect used instead of past tense; Extra unecessary auxiliary added,AUX AUX,NOUN AUX AUX ADV,AUX AUX ADV,AUX AUX ADV PART,-7.594781875610352,-10.893773078918457,False
574,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT SCONJ,NOUN PUNCT SCONJ PRON,PUNCT SCONJ PRON,PUNCT SCONJ PRON VERB,-7.048191070556641,-6.967442512512207,True
576,RP,False,Punctuation error related to Spelling errors (extra spaces),VERB PART,PRON VERB PART VERB,VERB PART VERB,VERB PART VERB ADP,-4.857645511627197,-5.169448375701904,False
577,FV,False,"Using the infinitive form of the verb with ""to"" instead of using present tense or present progressive",PART VERB,SCONJ PART VERB ADP,PART VERB ADP,PART VERB ADP NOUN,-6.187060832977295,-8.367204666137695,False
578,RP,True,Word not capitalized,ADJ NOUN,DET ADJ NOUN PUNCT,ADJ NOUN PUNCT,ADJ NOUN PUNCT CCONJ,-3.3845911026000977,-3.7189626693725586,False
579,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT ADV,ADJ PUNCT ADV PRON,PUNCT ADV PRON,PUNCT ADV PRON AUX,-6.6208367347717285,-6.183224678039551,True
580,RP,False,Punctuation error related to Spelling errors (extra spaces),NOUN NOUN,ADP NOUN NOUN PUNCT,NOUN NOUN PUNCT,NOUN NOUN PUNCT PRON,-3.781497001647949,-2.7727162837982178,True
581,UV,False,Unnecessary auxiliary added,AUX VERB,PRON AUX VERB VERB,AUX VERB VERB,AUX VERB VERB PART,-7.257814407348633,-9.575262069702148,False
582,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT ADP,NOUN PUNCT ADP NOUN,PUNCT ADP NOUN,PUNCT ADP NOUN PUNCT,-5.588078498840332,-5.614548206329346,False
583,RP,True,Chinese uses commas to mark the end of a complete thought,NOUN NOUN,DET NOUN NOUN PUNCT,NOUN NOUN PUNCT,NOUN NOUN PUNCT PRON,-3.781497001647949,-2.7727162837982178,True
584,FV,True,Progressive aspect not applied,NOUN ADP,AUX NOUN ADP DET,NOUN ADP DET,NOUN ADP DET NOUN,-6.011322975158691,-7.693400859832764,False
586,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,ADJ PUNCT PRON AUX,PUNCT PRON AUX,PUNCT PRON AUX PART,-6.584131240844727,-8.993627548217773,False
587,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT PRON,NOUN PUNCT PRON VERB,PUNCT PRON VERB,PUNCT PRON VERB ADP,-5.68824577331543,-5.788882255554199,False
588,TV,True,Using auxiliary in past tense to inflect tense rather than changing the lexical verb's tense,AUX VERB,NOUN AUX VERB PART,AUX VERB PART,AUX VERB PART VERB,-7.8665361404418945,-9.545186042785645,False
589,TV,True,Modal used for polite speech,VERB AUX,NOUN VERB AUX ADJ,VERB AUX ADJ,VERB AUX ADJ PUNCT,-6.79292631149292,-10.214851379394531,False
591,TV,False,Incorrect auxiliary used,AUX AUX,CCONJ AUX AUX ADP,AUX AUX ADP,AUX AUX ADP DET,-8.196023941040039,-11.115428924560547,False
592,TV,False,Extra unecessary auxiliary added,AUX VERB,PRON AUX VERB ADP,AUX VERB ADP,AUX VERB ADP DET,-5.9264702796936035,-10.943586349487305,False
594,W,False,Order is incorrect in Chinese and English,VERB ADV,PRON VERB ADV SCONJ,VERB ADV SCONJ,VERB ADV SCONJ NOUN,-7.908690452575684,-8.583382606506348,False
595,TV,False,Incorrect auxiliary used; Extra unecessary auxiliary added; Present perfect used instead of past tense,AUX VERB,PROPN AUX VERB AUX,AUX VERB AUX,AUX VERB AUX ADV,-7.879083156585693,-11.504008293151855,False
597,DJ,True,Chinese doesn't use hyphens in words,NUM NOUN,DET NUM NOUN NOUN,NUM NOUN NOUN,NUM NOUN NOUN CCONJ,-4.678229808807373,-4.945687294006348,False
598,RP,False,Punctuation error related to Spelling errors (extra spaces),NOUN VERB,DET NOUN VERB PUNCT,NOUN VERB PUNCT,NOUN VERB PUNCT VERB,-3.841421604156494,-2.702009916305542,True
599,UP,False,Overcorrection,NOUN PUNCT,ADP NOUN PUNCT NOUN,NOUN PUNCT NOUN,NOUN PUNCT NOUN CCONJ,-4.792056083679199,-2.8282313346862793,True
600,UC,False,Incorrect/incomplete expression used,SCONJ ADJ,PUNCT SCONJ ADJ NOUN,SCONJ ADJ NOUN,SCONJ ADJ NOUN VERB,-5.50650691986084,-5.7951765060424805,False
601,TV,True,Context carries tense rather than verb.,VERB ADP,DET VERB ADP NOUN,VERB ADP NOUN,VERB ADP NOUN ADP,-3.8640220165252686,-5.236430644989014,False
602,MP,True,Chinese doesn't use hyphens in words,VERB ADP,AUX VERB ADP PART,VERB ADP PART,VERB ADP PART VERB,-7.67189884185791,-7.532290458679199,True
603,RP,False,Inappropriate capitalization in the middle of sentence,ADP,PUNCT ADP DET,ADP DET,ADP DET PROPN,-5.7816267013549805,-6.7317376136779785,False
605,MJ,True,Chinese equivalent maps to only a part of the English word,PUNCT,VERB PUNCT ADV,PUNCT ADV,PUNCT ADV VERB,-5.0786542892456055,-5.945232391357422,False
607,AGV,False,Incorrect application of 3rd person present tense (e.g. tagging on the suffix -s),VERB,ADV VERB PUNCT,VERB PUNCT,VERB PUNCT PRON,-3.648987054824829,-2.777564525604248,True
609,TV,True,Context carries tense rather than verb.,VERB,PRON VERB ADP,VERB ADP,VERB ADP DET,-5.054440498352051,-6.579588890075684,False
610,RA,True,Map to the same pronoun in Chinese,DET,AUX DET PUNCT,DET PUNCT,DET PUNCT PRON,-4.388567924499512,-5.194119930267334,False
611,DA,False,Using your instead of yours for sign offs,DET,DET ADV,DET ADV,DET ADV,-5.793658256530762,-6.4350409507751465,False
612,DY,False,Spelling error,ADV,PROPN ADV,ADV,ADV,-4.501544952392578,-4.1258225440979,True
613,AGV,True,3rd person plural verb form used instead of 3rd person singular form,AUX,CCONJ AUX ADJ,AUX ADJ,AUX ADJ ADJ,-5.503417491912842,-9.229647636413574,False
614,AGN,True,Number error,NOUN,DET NOUN ADP,NOUN ADP,NOUN ADP NOUN,-4.941747188568115,-5.87414026260376,False
616,AGN,False,Overcorrection,NOUN,DET NOUN VERB,NOUN VERB,NOUN VERB PART,-4.152782440185547,-3.4455204010009766,True
617,AGV,True,Not applying the 3rd person present tense suffix -s,VERB,NOUN VERB DET,VERB DET,VERB DET NOUN,-5.134259223937988,-6.7580156326293945,False
618,MT,True,Chinese doesn't use the word in this context,DET,VERB DET NOUN,DET NOUN,DET NOUN PRON,-3.951775550842285,-4.8027448654174805,False
619,RD,True,Chinese uses a character that maps a determiner in this case,DET,ADP DET NOUN,DET NOUN,DET NOUN PRON,-3.951775550842285,-4.8027448654174805,False
620,MT,True,Chinese doesn't use the word in this context,DET,VERB DET NOUN,DET NOUN,DET NOUN PRON,-3.951775550842285,-4.8027448654174805,False
621,UP,False,Error that native speakers would make as well,PUNCT,PRON PUNCT SCONJ,PUNCT SCONJ,PUNCT SCONJ DET,-6.237368106842041,-6.7686944007873535,False
622,MD,True,Chinese has no articles and doesn't use classifiers in this situation,PROPN,ADP PROPN PROPN,PROPN PROPN,PROPN PROPN PUNCT,-3.3136022090911865,-3.863765239715576,False
623,TV,True,"Chinese generally expresses actions in present tense; Buildings are stationary, action verbs don't apply to them.",VERB,DET VERB ADP,VERB ADP,VERB ADP DET,-5.054440498352051,-6.579588890075684,False
624,MV,True,Chinese conventions conflict with English,ADP,NOUN ADP DET,ADP DET,ADP DET NOUN,-5.7816267013549805,-6.7317376136779785,False
625,TV,True,Chinese generally expresses actions in present tense,AUX,DET AUX ADV,AUX ADV,AUX ADV VERB,-5.85208797454834,-8.647100448608398,False
626,MP,True,Chinese uses commas to mark the end of a complete thought,ADP,NOUN ADP NOUN,ADP NOUN,ADP NOUN ADP,-4.586891174316406,-4.972523212432861,False
627,M,True,Incorrect introduction of subordinate clause or modifiers,AUX,NOUN AUX ADV,AUX ADV,AUX ADV ADJ,-5.85208797454834,-8.647100448608398,False
629,TV,False,-,AUX,ADV AUX DET,AUX DET,AUX DET ADV,-5.85483455657959,-9.109721183776855,False
630,UP,False,Error that native speakers would make as well,PUNCT,AUX PUNCT SCONJ,PUNCT SCONJ,PUNCT SCONJ PRON,-6.237368106842041,-6.7686944007873535,False
631,TV,True,Context carries tense rather than verb.,VERB,PRON VERB ADP,VERB ADP,VERB ADP NUM,-5.054440498352051,-6.579588890075684,False
634,UD,False,Overcorrection,DET,AUX DET ADJ,DET ADJ,DET ADJ NOUN,-5.069649696350098,-7.109652042388916,False
635,DY,False,Spelling error,ADV,VERB ADV PUNCT,ADV PUNCT,ADV PUNCT,-3.199486255645752,-2.2728214263916016,True
637,FN,True,Missing plural,NOUN,NOUN NOUN VERB,NOUN VERB,NOUN VERB AUX,-4.152782440185547,-3.4455204010009766,True
638,UT,False,"Overcorrection by adding ""to"" to show the object of transitive verbs",ADP,VERB ADP DET,ADP DET,ADP DET NOUN,-5.7816267013549805,-6.7317376136779785,False
639,UD,False,Overcorrection,DET,ADP DET NOUN,DET NOUN,DET NOUN AUX,-3.951775550842285,-4.8027448654174805,False
640,FD,False,Wrong determiner used,DET,VERB DET NOUN,DET NOUN,DET NOUN PUNCT,-3.951775550842285,-4.8027448654174805,False
643,RA,False,general grammar rules confusion,PRON,NOUN PRON PRON,PRON PRON,PRON PRON VERB,-6.423996448516846,-6.2603759765625,True
644,MD,True,Chinese has no articles and doesn't use classifiers in this situation,PROPN,ADP PROPN CCONJ,PROPN CCONJ,PROPN CCONJ ADP,-6.319790363311768,-6.688270568847656,False
645,RP,True,Word not capitalized,NOUN,DET NOUN CCONJ,NOUN CCONJ,NOUN CCONJ ADP,-5.791991710662842,-6.759878158569336,False
646,UD,False,Overcorrection,DET,AUX DET ADV,DET ADV,DET ADV ADV,-5.793658256530762,-6.4350409507751465,False
647,UP,False,Error that native speakers would make as well,PUNCT,VERB PUNCT SCONJ,PUNCT SCONJ,PUNCT SCONJ PRON,-6.237368106842041,-6.7686944007873535,False
648,UP,False,Error that native speakers would make as well,PUNCT,VERB PUNCT SCONJ,PUNCT SCONJ,PUNCT SCONJ PRON,-6.237368106842041,-6.7686944007873535,False
650,UP,False,Error that native speakers would make as well,PUNCT,VERB PUNCT SCONJ,PUNCT SCONJ,PUNCT SCONJ PRON,-6.237368106842041,-6.7686944007873535,False
651,MD,True,Chinese uses classifiers instead of articles in this case,NOUN,VERB NOUN ADP,NOUN ADP,NOUN ADP DET,-4.941747188568115,-5.87414026260376,False
652,AGN,False,Overcorrection,NOUN,DET NOUN ADP,NOUN ADP,NOUN ADP DET,-4.941747188568115,-5.87414026260376,False
654,AGN,False,Overcorrection,NOUN,ADJ NOUN DET,NOUN DET,NOUN DET PRON,-6.24728536605835,-6.150540351867676,True
655,UP,False,Error that native speakers would make as well,PUNCT,VERB PUNCT SCONJ,PUNCT SCONJ,PUNCT SCONJ PRON,-6.237368106842041,-6.7686944007873535,False
656,TV,True,Chinese generally expresses actions in present tense.,VERB,PRON VERB ADP,VERB ADP,VERB ADP DET,-5.054440498352051,-6.579588890075684,False
657,MD,True,Chinese has no articles and doesn't use classifiers in this situation,PROPN,ADP PROPN CCONJ,PROPN CCONJ,PROPN CCONJ ADP,-6.319790363311768,-6.688270568847656,False
658,RP,True,Word not capitalized,NOUN,DET NOUN CCONJ,NOUN CCONJ,NOUN CCONJ ADP,-5.791991710662842,-6.759878158569336,False
659,FN,True,Missing plural,NOUN,NOUN NOUN PUNCT,NOUN PUNCT,NOUN PUNCT PRON,-3.1241037845611572,-2.562624454498291,True
661,FV,True,"Missing ""to"" for to-infinitive non-finite subordinate clauses",NOUN,NOUN NOUN ADP,NOUN ADP,NOUN ADP NOUN,-4.941747188568115,-5.87414026260376,False
662,IV,False,Spelling error,VERB,PUNCT VERB NOUN,VERB NOUN,VERB NOUN CCONJ,-3.9500415325164795,-3.5276107788085938,True
663,UD,False,Overcorrection,DET,ADP DET NOUN,DET NOUN,DET NOUN AUX,-3.951775550842285,-4.8027448654174805,False
664,IN,True,Missing plural,NOUN,ADJ NOUN PUNCT,NOUN PUNCT,NOUN PUNCT PRON,-3.1241037845611572,-2.562624454498291,True
665,MT,True,Chinese doesn't use the word in this context,PUNCT,VERB PUNCT NOUN,PUNCT NOUN,PUNCT NOUN NOUN,-4.837802886962891,-4.430675506591797,True
667,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,ADP NOUN NOUN,NOUN NOUN,NOUN NOUN PUNCT,-3.576719045639038,-3.149089813232422,True
668,UD,False,Overcorrection,DET,DET DET NOUN,DET NOUN,DET NOUN NOUN,-3.951775550842285,-4.8027448654174805,False
669,AGV,True,Not applying the 3rd person present tense suffix -s,VERB,NOUN VERB PART,VERB PART,VERB PART AUX,-6.253042221069336,-4.756141662597656,True
670,MV,True,Chinese does not have auxiliary verbs,ADP,SCONJ ADP NOUN,ADP NOUN,ADP NOUN PUNCT,-4.586891174316406,-4.972523212432861,False
671,CN,False,Number disagreement,NOUN,ADP NOUN PUNCT,NOUN PUNCT,NOUN PUNCT DET,-3.1241037845611572,-2.562624454498291,True
672,UD,False,Overcorrection,DET,DET DET NOUN,DET NOUN,DET NOUN NOUN,-3.951775550842285,-4.8027448654174805,False
673,AGN,True,Number error,NOUN,PUNCT NOUN AUX,NOUN AUX,NOUN AUX VERB,-5.5714616775512695,-8.23843002319336,False
675,AGV,True,Not applying the 3rd person present tense suffix -s,VERB,DET VERB PART,VERB PART,VERB PART AUX,-6.253042221069336,-4.756141662597656,True
676,DJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same",INTJ,ADV INTJ PART,INTJ PART,INTJ PART VERB,-7.158299446105957,-6.288029193878174,True
677,MT,True,Chinese doesn't use the word in this context,VERB,PRON VERB DET,VERB DET,VERB DET ADJ,-5.134259223937988,-6.7580156326293945,False
679,UT,False,Overcorrection,ADP,AUX ADP ADP,ADP ADP,ADP ADP NOUN,-6.259827613830566,-6.440402030944824,False
680,DJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same",NOUN,NUM NOUN NOUN,NOUN NOUN,NOUN NOUN PUNCT,-3.576719045639038,-3.149089813232422,True
681,MC,True,Chinese does not use conjunctions to join clauses,PRON,PUNCT PRON AUX,PRON AUX,PRON AUX ADV,-5.555111885070801,-8.200399398803711,False
682,MD,True,Chinese has no articles and doesn't use classifiers in this situation,PROPN,ADP PROPN PART,PROPN PART,PROPN PART ADJ,-5.876944065093994,-5.378117561340332,True
683,MP,False,Missing apostrophy,PROPN,DET PROPN PROPN,PROPN PROPN,PROPN PROPN NOUN,-3.3136022090911865,-3.863765239715576,False
685,FV,False,Incorrectly using progressive aspect,VERB,NOUN VERB NOUN,VERB NOUN,VERB NOUN PUNCT,-3.9500415325164795,-3.5276107788085938,True
686,AGA,False,Using 'It' incorrectly,PRON,SCONJ PRON AUX,PRON AUX,PRON AUX ADJ,-5.555111885070801,-8.200399398803711,False
687,AGV,True,3rd person singular form used instead of 3rd person plural verb form,AUX,PRON AUX ADJ,AUX ADJ,AUX ADJ ADP,-5.503417491912842,-9.229647636413574,False
688,UV,True,Modal used for polite speech,VERB,PRON VERB VERB,VERB VERB,VERB VERB ADP,-5.3520050048828125,-3.9568490982055664,True
689,MT,True,Chinese doesn't use the word in this context,DET,VERB DET NOUN,DET NOUN,DET NOUN ADP,-3.951775550842285,-4.8027448654174805,False
691,UD,False,Chinese doesn't distinguish indefinite and definite articles like English,DET,VERB DET ADJ,DET ADJ,DET ADJ PUNCT,-5.069649696350098,-7.109652042388916,False
694,UC,True,Chinese would use word in the given context,SCONJ,NOUN SCONJ PRON,SCONJ PRON,SCONJ PRON VERB,-5.9186625480651855,-5.806468486785889,True
695,MD,True,Chinese has no articles and doesn't use classifiers in this situation,PROPN,PUNCT PROPN NOUN,PROPN NOUN,PROPN NOUN ADP,-4.001293659210205,-3.689854621887207,True
696,MD,True,Chinese has no articles and doesn't use classifiers in this situation,ADJ,ADP ADJ NOUN,ADJ NOUN,ADJ NOUN,-3.232517719268799,-3.750581741333008,False
697,MN,False,Subject or object not specified,AUX,DET AUX PART,AUX PART,AUX PART VERB,-6.249741554260254,-8.552451133728027,False
698,UP,False,Error that native speakers would make as well,PUNCT,NOUN PUNCT VERB,PUNCT VERB,PUNCT VERB PROPN,-5.797328472137451,-4.92015266418457,True
699,M,True,Incorrect introduction of subordinate clause or modifiers,AUX,PROPN AUX ADJ,AUX ADJ,AUX ADJ VERB,-5.503417491912842,-9.229647636413574,False
700,UP,False,Overcorrection,NOUN,AUX NOUN PUNCT,NOUN PUNCT,NOUN PUNCT VERB,-3.1241037845611572,-2.562624454498291,True
701,TV,True,Chinese generally expresses actions in present tense.,VERB,AUX VERB ADP,VERB ADP,VERB ADP NUM,-5.054440498352051,-6.579588890075684,False
