,incorrect_trigram_penn,error_type,count
1622,VBG VBD RB,S,1
1805,"VBP RP ,",RV,1
1621,VBG VBD JJ,DN,1
1760,"VBP PRP ,",MP,1
20,", VBZ IN",MT,1
1600,VBG PRP VBP,UN,1
1799,VBP RB TO,FV,1
1822,VBP VBG RB,W,1
1585,VBG NN JJ,FV,1
1584,VBG NN IN,UV,1
1820,VBP VBG JJ,TV,1
1583,VBG NN IN,SX,1
1582,VBG NN IN,S,1
1821,VBP VBG RB,TV,1
1580,VBG NN IN,MT,1
1823,VBP VBN CD,TV,1
1587,VBG NN RB,TV,1
1824,VBP VBN DT,AGV,1
1697,VBN TO VB,TV,1
1577,VBG JJ CC,RV,1
1576,VBG IN WRB,RN,1
1575,VBG IN WRB,MP,1
1574,VBG IN PRP$,U,1
1573,VBG IN PRP$,S,1
1586,VBG NN RB,MD,1
11,", PRP VBD",M,1
1599,VBG PRP VBP,S,1
1817,VBP VBG DT,RV,1
1814,VBP VBG .,S,1
1598,VBG PRP VBP,MV,1
1815,VBP VBG DT,AGV,1
1816,VBP VBG DT,MV,1
1597,VBG PRP VBP,DN,1
1596,VBG PRP VBD,RP,1
1595,VBG PRP VBD,RJ,1
1594,VBG PRP PRP$,AS,1
1818,VBP VBG DT,TV,1
1593,VBG PRP DT,MT,1
1592,VBG NNS RB,FV,1
1178,RB RB PRP,RC,1
1591,VBG NNS IN,W,1
1590,VBG NNS IN,DV,1
1589,VBG NNS IN,AS,1
1588,VBG NNS DT,RV,1
1630,VBG VBN IN,FV,1
1631,VBG VBN IN,MP,1
1881,VBZ PRP$ NN,AGV,1
1665,VBN IN NNS,RV,1
1672,VBN NN DT,RV,1
1671,VBN MD VB,S,1
1670,VBN JJ IN,S,1
1669,VBN JJ .,TV,1
1668,VBN IN PRP$,S,1
1688,VBN RB IN,S,1
1778,VBP PRP VBZ,SX,1
1779,VBP PRP$ NN,AGV,1
1777,VBP PRP VBP,UV,1
1689,VBN RB JJ,FV,1
1663,VBN IN NNP,IV,1
1662,VBN IN NNP,FV,1
1661,VBN IN NNP,DV,1
1660,VBN IN NN,TV,1
1690,VBN RB JJ,RV,1
1781,VBP PRP$ NN,S,1
1673,VBN NN IN,FV,1
1776,VBP PRP VBP,SX,1
1657,VBN IN NN,MP,1
1680,"VBN PRP ,",FV,1
1770,VBP PRP PRP,MV,1
1771,VBP PRP PRP,RV,1
1772,VBP PRP PRP,TV,1
1767,VBP PRP CC,TV,1
1683,VBN PRP$ $,TV,1
1682,VBN PRP VBP,FV,1
1681,VBN PRP DT,RV,1
1766,VBP PRP CC,DV,1
1674,VBN NN IN,RV,1
1679,VBN NNS IN,IJ,1
1678,VBN NNS IN,FV,1
1677,"VBN NNP ,",RJ,1
1773,VBP PRP VBP,MA,1
1676,VBN NN IN,UV,1
1687,VBN PRP$ NNS,R,1
1775,VBP PRP VBP,S,1
1658,VBN IN NN,R,1
1656,VBN IN NN,DJ,1
1632,VBG VBN IN,TV,1
1795,VBP RB JJ,R,1
1642,VBN CC DT,RV,1
1793,VBP RB JJ,MP,1
1641,"VBN CC ,",DJ,1
1693,VBN TO VB,FV,1
1794,VBP RB JJ,MV,1
1761,"VBP PRP ,",S,1
1638,VBN . _,RJ,1
1637,VBN . _,FV,1
1692,VBN RB PRP,RV,1
1636,VBN . VBP,FV,1
1694,VBN TO VB,IV,1
1635,"VBN , NNP",RJ,1
1797,VBP RB JJ,W,1
1634,"VBN , IN",S,1
1633,"VBN , IN",MV,1
1798,VBP RB NN,R,1
1643,VBN CC IN,RV,1
1645,VBN DT CC,W,1
1655,VBN IN JJS,DJ,1
1763,VBP PRP .,RV,1
1783,VBP PRP$ NNS,AGV,1
1784,VBP PRP$ NNS,TV,1
1785,VBP PRP$ NNS,W,1
1786,VBP RB .,MV,1
1764,VBP PRP .,S,1
1654,VBN DT VBN,U,1
1653,VBN DT NNS,IV,1
1652,VBN DT NN,SX,1
1646,VBN DT IN,IV,1
1787,VBP RB .,TV,1
1788,VBP RB .,X,1
1789,VBP RB CC,AGV,1
1649,VBN DT NN,IV,1
1790,VBP RB IN,FV,1
1691,VBN RB JJ,W,1
1792,VBP RB JJ,M,1
25,. DT NN,UC,1
1825,VBP VBN DT,MV,1
1826,VBP VBN DT,TV,1
1864,VBZ JJ .,MA,1
1861,VBZ IN WP,FV,1
1862,"VBZ JJ ,",FV,1
1490,VBD RB .,MP,1
1489,"VBD RB ,",RV,1
1488,VBD PRP$ NNS,W,1
1487,VBD PRP$ NNS,TV,1
1863,"VBZ JJ ,",MA,1
1708,VBP CC PRP,AGV,1
1859,VBZ IN PRP$,AGV,1
1866,VBZ JJ .,TV,1
1867,VBZ JJ DT,M,1
35,CC DT JJS,MP,1
1484,VBD PRP$ NN,RV,1
1483,VBD PRP$ NN,MA,1
1482,VBD PRP VBP,SX,1
1709,VBP CD CC,RV,1
1860,VBZ IN PRP$,AS,1
1707,VBP CC IN,DJ,1
1479,VBD PRP DT,S,1
1856,VBZ IN DT,RV,1
1508,VBD VBD IN,R,1
33,: IN NN,RT,1
1506,VBD TO VB,S,1
34,CC DT .,MP,1
1504,VBD TO VB,M,1
1503,VBD TO VB,IV,1
1502,VBD TO VB,FV,1
1501,VBD TO VB,AGV,1
1858,VBZ IN NNP,MA,1
1705,VBP . _,S,1
1499,VBD RB PRP$,FV,1
1498,VBD RB PRP$,AGV,1
1706,VBP . _,TV,1
1497,VBD RB IN,RV,1
1496,VBD RB IN,MV,1
1495,VBD RB IN,AS,1
1743,VBP JJ RB,R,1
1478,VBD PRP DT,RV,1
1570,VBG IN PRP$,FV,1
1453,VBD IN CC,TV,1
1459,"VBD JJ ,",RV,1
1874,VBZ NN JJ,AS,1
1875,VBZ NN JJ,MA,1
1876,VBZ NN RB,W,1
1456,VBD IN NNS,RV,1
1455,VBD IN NNS,MA,1
1454,VBD IN NNS,IV,1
1877,VBZ PRP DT,S,1
1461,"VBD JJ ,",TV,1
1451,VBD DT NNS,SX,1
1450,VBD DT NNS,RV,1
1878,VBZ PRP IN,TV,1
1449,VBD DT NNS,FV,1
1448,VBD DT NNS,AGV,1
1879,VBZ PRP NN,RV,1
15,", RB PRP",MA,1
1460,"VBD JJ ,",S,1
1873,VBZ NN IN,CN,1
1477,VBD PRP DT,IV,1
1471,"VBD PRP ,",ID,1
1476,VBD PRP DT,AS,1
1475,VBD PRP CC,TV,1
1474,VBD PRP CC,S,1
1473,VBD PRP CC,FV,1
1869,VBZ JJ IN,TV,1
1472,"VBD PRP ,",RV,1
6,", DT .",MT,1
1470,VBD POS NNS,S,1
1462,"VBD JJ ,",UV,1
1469,VBD NNP RB,TV,1
1871,VBZ JJ TO,R,1
1467,VBD NN IN,RV,1
1466,VBD JJ IN,TV,1
1872,VBZ JJ TO,TV,1
1464,VBD JJ IN,MA,1
1463,VBD JJ CD,S,1
1704,VBP . _,RV,1
7,", DT VBZ",RA,1
1854,VBZ IN DT,M,1
30,. RB PRP,RP,1
1834,VBP VBN VBZ,TV,1
1835,VBP VBP IN,S,1
1758,VBP POS IN,UP,1
28,. RB PRP,MA,1
1836,VBP VBP IN,UV,1
29,. RB PRP,MJ,1
1548,VBG DT NN,MA,1
1699,VBN VBN IN,UV,1
1554,VBG DT NN,UV,1
1545,VBG DT IN,RV,1
1544,VBG DT IN,MT,1
1838,"VBZ , CC",FV,1
1542,VBG CD NNS,S,1
1839,"VBZ , CC",TV,1
1541,VBG CD NNS,RV,1
1700,VBN VBZ IN,IV,1
1698,VBN VBG CC,RV,1
1832,VBP VBN PRP$,MA,1
1509,VBD VBG CD,TV,1
10,", NNS IN",MV,1
1569,VBG IN PDT,MP,1
1568,VBG IN NNP,UV,1
1567,VBG IN NNP,IV,1
1566,VBG IN NNP,FV,1
1565,VBG IN NN,S,1
1827,VBP VBN IN,FV,1
1828,VBP VBN IN,RV,1
1563,VBG IN NN,RT,1
1556,VBG DT NNS,ID,1
1562,VBG IN NN,R,1
1759,"VBP PRP ,",AGV,1
26,. PRP VBZ,MN,1
27,. PRP VBZ,MT,1
1559,VBG IN CC,FV,1
1558,VBG DT NNS,MT,1
1831,VBP VBN PRP$,FV,1
1840,"VBZ , IN",MA,1
1539,VBG CD NNS,IV,1
1701,"VBP , CC",AGV,1
1851,VBZ FW .,MP,1
1524,VBD VBN PRP$,RV,1
1523,VBD VBN NNS,TV,1
1757,VBP POS CD,UP,1
1521,VBD VBN NN,TV,1
1520,VBD VBN JJ,TV,1
1519,VBD VBN JJ,FV,1
1850,VBZ DT NNS,SX,1
1517,VBD VBN DT,FV,1
1538,VBG CC TO,R,1
1852,VBZ IN DT,AGN,1
1703,VBP . IN,TV,1
1514,VBD VBG IN,UV,1
32,. WP VBZ,M,1
1512,VBD VBG IN,S,1
1511,VBD VBG DT,S,1
1510,VBD VBG DT,RV,1
1848,VBZ DT NN,S,1
1702,"VBP , IN",TV,1
1846,VBZ DT NN,MA,1
1527,VBD VBN RB,UV,1
1841,VBZ . TO,AGV,1
1537,VBG CC TO,IV,1
1536,VBG CC IN,RV,1
1842,VBZ . UH,TV,1
1843,VBZ : DT,RV,1
1535,VBG . _,RV,1
1844,VBZ CC VB,SX,1
1534,VBG . _,DN,1
9,", IN DT",RP,1
1533,VBG . _,DJ,1
1532,VBG -RRB- .,DN,1
1531,"VBG , NN",SX,1
1530,"VBG , IN",SX,1
1529,"VBG , DT",RV,1
1528,VBD VBN VBZ,UV,1
1480,VBD PRP VBP,DY,1
71,CD IN NNS,S,1
1177,RB RB NNP,W,1
496,MD VB NNS,MY,1
122,DT NN RB,MA,1
123,DT NN RB,MT,1
522,"NN , IN",MT,1
520,"NN , IN",FV,1
517,"NN , DT",MN,1
125,DT NN RB,RP,1
515,"NN , DT",L,1
513,"NN , :",DN,1
511,NN '' IN,R,1
510,NN '' IN,FV,1
509,MD VB VBD,M,1
508,MD VB VB,RV,1
506,MD VB TO,UV,1
127,DT NN RB,W,1
504,MD VB RBR,TV,1
503,MD VB RBR,RV,1
502,MD VB RBR,MA,1
501,MD VB RB,W,1
128,DT NN WP,RP,1
499,MD VB RB,MN,1
498,MD VB PRP$,RV,1
528,"NN , MD",SX,1
529,"NN , PRP$",M,1
532,"NN , VBD",FV,1
118,DT NN JJ,MY,1
565,NN CC DT,DN,1
563,"NN CC ,",MQ,1
562,NN : _,RP,1
561,NN : DT,RP,1
560,NN : .,UN,1
559,NN : .,RN,1
116,DT NN DT,RD,1
555,NN . _,SA,1
117,DT NN DT,W,1
550,NN . _,MT,1
533,"NN , _",S,1
549,NN . _,MQ,1
548,NN . _,MP,1
119,DT NN JJ,RP,1
545,NN . _,MC,1
544,NN . _,FV,1
120,DT NN NNP,W,1
539,NN . IN,S,1
535,NN . IN,FV,1
534,NN -RRB- .,MQ,1
497,MD VB NNS,TV,1
495,MD VB NNP,RV,1
704,NN RB PRP,S,1
494,MD VB NNP,MA,1
464,JJR . JJ,RJ,1
462,JJ WRB PRP,DJ,1
461,JJ WDT PRP,IN,1
460,JJ VBN .,R,1
459,"JJ VBN ,",DY,1
457,JJ VBG DT,SX,1
456,"JJ VBG ,",S,1
455,"JJ VBG ,",L,1
454,JJ VBD IN,RJ,1
453,JJ UH .,RP,1
133,DT NNP .,UD,1
134,DT NNP CD,UD,1
450,JJ TO VB,MV,1
448,JJ TO VB,MA,1
447,JJ TO VB,IV,1
446,JJ RB JJ,AGN,1
445,JJ PRP$ NN,SX,1
444,JJ PRP$ NN,FJ,1
443,JJ PRP VBD,SX,1
442,JJ PRP VBD,S,1
441,JJ PRP VBD,DN,1
465,JJR . PRP,DY,1
466,JJR CC DT,IJ,1
467,JJR CC RB,RJ,1
132,DT NNP .,MT,1
493,MD VB NN,UV,1
492,MD VB JJS,RV,1
491,MD VB JJR,TV,1
490,MD VB JJR,RP,1
129,"DT NNP ,",FD,1
130,"DT NNP ,",R,1
487,MD VB IN,RP,1
485,MD VB DT,UV,1
482,MD VB DT,RP,1
480,MD VB DT,M,1
468,JJR IN DT,FJ,1
479,MD VB DT,FV,1
478,MD VB .,TV,1
477,"MD VB ,",UV,1
476,JJS VBG IN,UY,1
475,JJS TO VB,R,1
474,JJS PRP VBD,SX,1
473,"JJS , NNS",FJ,1
471,JJR NN .,W,1
469,JJR IN PRP,FJ,1
566,NN CC DT,FN,1
567,NN CC DT,MD,1
568,NN CC DT,RN,1
571,NN CC IN,RN,1
671,NN NN IN,W,1
669,NN NN IN,SX,1
668,NN NN IN,SA,1
93,DT IN DT,RP,1
664,NN NN IN,MT,1
94,DT JJ .,MT,1
661,NN NN IN,DJ,1
660,NN NN CD,W,1
95,DT JJ .,R,1
657,NN MD VB,RA,1
656,NN MD VB,MD,1
96,DT JJ CD,UD,1
654,NN JJR .,AGN,1
653,NN JJ IN,AGN,1
651,NN JJ CC,MT,1
650,NN JJ .,AGN,1
649,NN IN ``,AGN,1
648,NN IN WRB,RN,1
647,NN IN WP,RN,1
645,NN IN TO,S,1
644,NN IN RB,DJ,1
672,NN NN JJ,RN,1
673,NN NN PRP,RJ,1
675,NN NN PRP,SX,1
690,NN NNS JJ,W,1
702,NN RB PRP,RN,1
701,NN RB PRP,AGN,1
699,NN RB JJ,S,1
698,NN RB JJ,RN,1
697,NN RB DT,MD,1
696,NN PRP$ NN,RP,1
695,NN PRP$ NN,FV,1
694,NN PRP VBZ,SX,1
692,NN PRP VBZ,MD,1
689,NN NNS IN,S,1
676,NN NN PRP,UN,1
688,NN NNS IN,RN,1
687,NN NNS IN,MJ,1
686,NN NNS IN,FV,1
684,NN NNS DT,DJ,1
683,NN NNP IN,MD,1
682,"NN NNP ,",W,1
681,NN NN RB,SX,1
678,NN NN RB,FV,1
677,NN NN RB,DJ,1
643,NN IN PDT,S,1
642,NN IN PDT,RN,1
97,DT JJ IN,SX,1
589,NN IN DT,MN,1
601,NN IN IN,MD,1
600,NN IN IN,M,1
599,NN IN IN,DJ,1
598,NN IN FW,S,1
106,DT NN '',UD,1
107,DT NN :,UD,1
593,NN IN DT,RP,1
110,DT NN CC,MY,1
590,NN IN DT,MQ,1
587,NN IN DT,L,1
604,NN IN NN,DJ,1
586,NN IN DT,ID,1
580,NN IN .,S,1
579,NN FW .,S,1
578,NN DT HYPH,RN,1
577,NN DT .,UN,1
576,NN DT .,RN,1
574,NN CC PRP$,S,1
573,NN CC IN,S,1
572,NN CC IN,RP,1
602,NN IN IN,RP,1
605,NN IN NN,DY,1
640,NN IN NNS,RP,1
624,NN IN NNP,MD,1
98,DT JJ NNS,AGD,1
638,NN IN NNS,RJ,1
637,NN IN NNS,MQ,1
635,NN IN NNS,FV,1
99,DT JJ NNS,MC,1
630,NN IN NNP,UN,1
101,DT JJ NNS,RQ,1
103,DT MD VB,MP,1
625,NN IN NNP,MQ,1
622,NN IN NNP,DN,1
606,NN IN NN,FN,1
621,NN IN NNP,AGN,1
619,NN IN NN,U,1
618,NN IN NN,TV,1
616,NN IN NN,SA,1
104,DT MD VB,SX,1
105,DT MD VB,W,1
611,NN IN NN,MT,1
610,NN IN NN,MP,1
608,NN IN NN,IQ,1
439,JJ NNS IN,W,1
438,JJ NNS IN,S,1
436,JJ NNP .,RP,1
146,DT RB PRP,R,1
154,DT VBP NN,RA,1
279,"IN PRP ,",RA,1
277,"IN PRP ,",MP,1
276,"IN PRP ,",MN,1
275,IN NNS NNP,R,1
274,IN NNS DT,UT,1
273,IN NNP VBP,RT,1
272,IN NNP RB,W,1
271,IN NNP RB,RT,1
270,IN NNP PRP,W,1
268,IN NNP IN,UT,1
155,DT VBP PDT,AGA,1
266,IN NNP IN,R,1
264,"IN NNP ,",UT,1
262,IN NN _,RT,1
261,IN NN WP,RT,1
259,IN NN PRP,UT,1
258,IN NN PRP,U,1
254,IN NN PDT,W,1
253,IN NN JJ,UT,1
252,IN NN JJ,RT,1
281,"IN PRP ,",UT,1
282,IN PRP .,MA,1
153,DT VBP CC,MV,1
296,IN PRP VBZ,RT,1
307,IN PRP$ NN,UC,1
306,IN PRP$ NN,U,1
148,DT VBD IN,RA,1
304,IN PRP$ NN,R,1
303,IN PRP$ NN,MV,1
302,IN PRP$ NN,MT,1
149,DT VBD IN,UQ,1
150,DT VBD NN,RA,1
297,IN PRP VBZ,SX,1
295,IN PRP VBZ,RA,1
285,IN PRP .,UT,1
151,DT VBD PRP$,R,1
293,IN PRP PRP$,W,1
292,IN PRP DT,W,1
291,IN PRP DT,U,1
290,IN PRP DT,MV,1
289,IN PRP CC,UT,1
288,IN PRP CC,TV,1
152,DT VBG NNP,R,1
286,IN PRP CC,MY,1
156,DT VBP VBN,W,1
157,DT VBZ DT,MP,1
245,IN NN IN,DT,1
193,IN DT NN,MC,1
205,IN DT NN,UC,1
163,DT WRB .,RP,1
203,IN DT NN,SX,1
164,EX VBD NN,MP,1
165,EX VBZ PRP,UA,1
198,IN DT NN,RC,1
166,HYPH RB VBZ,MA,1
167,"IN , IN",MP,1
168,"IN , RB",UT,1
170,IN . IN,UT,1
210,IN DT NNS,MP,1
190,IN DT IN,W,1
189,IN DT IN,UT,1
186,IN DT CD,RT,1
185,IN DT CD,ID,1
181,"IN DT ,",DY,1
180,IN CD PRP,RT,1
175,IN CC PRP,UT,1
174,IN . VBP,UT,1
173,IN . RB,RY,1
208,IN DT NNS,AS,1
212,IN DT NNS,RP,1
244,IN NN FW,UT,1
226,IN DT VBZ,UT,1
243,IN JJ RB,W,1
240,IN JJ NN,RC,1
237,IN JJ DT,DY,1
236,IN IN IN,SX,1
231,IN IN DT,MV,1
230,IN IN DT,MP,1
229,IN EX VBD,MY,1
228,IN DT ``,RT,1
227,IN DT WP,UT,1
224,IN DT RBS,RT,1
161,DT VBZ VBG,RA,1
223,IN DT RBS,R,1
222,IN DT PRP$,ID,1
221,IN DT PRP,U,1
220,IN DT PRP,RT,1
218,IN DT NNS,W,1
217,IN DT NNS,UY,1
159,DT VBZ IN,MP,1
160,DT VBZ IN,RA,1
214,IN DT NNS,SX,1
147,"DT RBR ,",RP,1
310,IN PRP$ NNP,RT,1
435,JJ NNP .,IV,1
312,IN PRP$ NNS,R,1
396,JJ IN IN,RJ,1
395,JJ IN IN,DJ,1
394,JJ IN EX,RJ,1
392,JJ IN DT,SX,1
390,JJ IN DT,RY,1
388,JJ IN DT,M,1
386,JJ IN CD,S,1
385,JJ IN CD,M,1
384,JJ IN .,RJ,1
383,JJ DT VBZ,R,1
382,JJ CC WRB,DY,1
381,JJ CC RB,ID,1
380,JJ CC DT,RJ,1
379,"JJ CC ,",DY,1
378,JJ . _,SX,1
377,JJ . _,SA,1
375,JJ . _,RP,1
142,DT PRP VBD,W,1
372,JJ . _,MV,1
371,JJ . _,MT,1
370,JJ . _,M,1
397,JJ IN NN,DY,1
398,JJ IN NN,MP,1
402,JJ IN WP,S,1
418,"JJ NN ,",R,1
135,DT NNP IN,MT,1
431,JJ NN IN,RP,1
136,DT NNP PRP,RD,1
429,JJ NN IN,R,1
137,DT NNS JJR,RP,1
426,JJ NN IN,M,1
425,JJ NN IN,FJ,1
424,JJ NN IN,DJ,1
420,"JJ NN ,",RP,1
417,"JJ NN ,",MY,1
403,JJ IN WRB,DJ,1
416,"JJ NN ,",MV,1
415,"JJ NN ,",MT,1
138,DT NNS RB,RQ,1
410,"JJ NN ,",DN,1
409,"JJ NN ,",CQ,1
407,JJ JJ RB,DY,1
406,JJ JJ IN,S,1
405,JJ JJ IN,DY,1
404,JJ JJ .,DY,1
369,JJ . _,DY,1
368,JJ . _,DN,1
367,JJ . _,DJ,1
143,DT PRP$ NN,UC,1
336,IN WP NN,RT,1
335,IN WDT VBZ,RT,1
333,IN WDT NN,SX,1
331,IN WDT NN,MC,1
330,IN VBZ IN,RT,1
329,IN VBG RB,RT,1
328,IN VBG RB,R,1
327,IN VBG IN,W,1
326,IN VBG IN,UT,1
324,IN VBG IN,MY,1
338,"JJ '' ,",S,1
323,IN VBD IN,R,1
322,IN VB DT,R,1
144,DT PRP$ NN,UQ,1
320,IN RB PRP,UT,1
319,IN RB PRP,U,1
318,IN RB PRP,R,1
317,IN RB MD,RA,1
315,IN RB IN,SX,1
145,DT RB NN,R,1
337,IN WRB .,R,1
341,"JJ , FW",RJ,1
366,JJ . RB,SX,1
354,JJ . DT,DY,1
364,JJ . RB,RJ,1
363,JJ . RB,DJ,1
362,JJ . PRP$,DN,1
361,JJ . NNS,S,1
360,JJ . NNS,RJ,1
359,JJ . NNP,DY,1
357,JJ . IN,RJ,1
356,JJ . DT,S,1
355,JJ . DT,RJ,1
353,JJ . CD,S,1
342,"JJ , IN",DY,1
351,JJ . CC,RJ,1
350,JJ . .,S,1
349,"JJ , VBG",FA,1
348,"JJ , VBG",DJ,1
347,"JJ , RB",RJ,1
346,"JJ , NNS",RJ,1
345,"JJ , IN",S,1
344,"JJ , IN",RJ,1
343,"JJ , IN",FJ,1
703,NN RB PRP,RP,1
705,NN TO VB,DN,1
1175,RB RB JJ,UY,1
999,PRP VBP IN,U,1
1027,PRP VBZ VBN,TV,1
1025,PRP VBZ VBN,MP,1
1024,PRP VBZ VBG,MT,1
1023,PRP VBZ VBD,UV,1
1022,PRP VBZ VBD,U,1
1020,PRP VBZ PRP$,MP,1
1019,PRP VBZ PRP,R,1
1018,PRP VBZ NNS,RP,1
1017,PRP VBZ NN,UP,1
1016,PRP VBZ NN,S,1
1015,PRP VBZ NN,RA,1
1012,PRP VBZ IN,AGA,1
1009,PRP VBZ DT,R,1
1008,PRP VBZ DT,MP,1
1007,PRP VBZ CD,UA,1
1006,PRP VBZ CD,R,1
1005,PRP VBZ CD,AG,1
1004,PRP VBZ .,RA,1
1003,PRP VBP VBP,MP,1
1002,PRP VBP VBN,R,1
1001,PRP VBP VBN,MA,1
1029,PRP WDT NN,UA,1
1030,PRP WRB .,MT,1
1031,PRP$ CD IN,MP,1
1045,PRP$ NN .,RD,1
72,CD NN .,MN,1
1054,PRP$ NN IN,AGD,1
1053,PRP$ NN CC,UD,1
1052,PRP$ NN CC,R,1
1050,PRP$ NN CC,MP,1
1049,PRP$ NN CC,M,1
1048,PRP$ NN CC,AGD,1
1047,PRP$ NN .,UA,1
1046,PRP$ NN .,U,1
1044,PRP$ NN .,R,1
1033,PRP$ JJ IN,MP,1
73,CD NN IN,MP,1
1042,"PRP$ NN ,",MT,1
1041,"PRP$ NN ,",MP,1
1040,"PRP$ NN ,",DD,1
1039,"PRP$ NN ,",AGD,1
1038,PRP$ JJ NN,R,1
1037,PRP$ JJ NN,MV,1
1035,PRP$ JJ NN,MP,1
1034,PRP$ JJ NN,DD,1
1000,PRP VBP NNS,MP,1
998,PRP VBP IN,R,1
706,NN TO VB,FN,1
997,PRP VBP IN,MV,1
77,CD NN RB,MT,1
966,PRP TO VB,AGA,1
965,PRP RB VBZ,UA,1
964,PRP RB PRP,IV,1
962,"PRP RB ,",RP,1
961,"PRP RB ,",MT,1
960,PRP PRP$ NN,UA,1
959,PRP PRP$ NN,MT,1
958,PRP NN IN,DD,1
78,CD NNP .,MT,1
79,CD NNS CC,MT,1
955,PRP MD VB,U,1
80,CD NNS IN,MP,1
81,CD NNS IN,MT,1
952,PRP MD VB,R,1
951,PRP MD VB,MY,1
82,CD NNS IN,R,1
949,PRP MD VB,MN,1
947,PRP MD VB,M,1
946,PRP MD VB,AGA,1
945,PRP JJ CC,DD,1
968,PRP TO VB,R,1
970,PRP TO VB,W,1
971,"PRP UH ,",R,1
75,CD NN JJ,MP,1
74,CD NN IN,RD,1
995,PRP VBP IN,MC,1
994,PRP VBP CC,MN,1
993,PRP VBP .,MP,1
991,PRP VBP .,DD,1
990,PRP VBG NNS,UA,1
989,PRP VBG IN,MT,1
988,PRP VBD NNS,MP,1
987,PRP VBD IN,UA,1
984,PRP VBD IN,M,1
972,"PRP VB ,",RA,1
983,PRP VBD DT,UA,1
982,PRP VBD DT,RP,1
76,CD NN JJ,RP,1
979,PRP VBD .,UA,1
1,", . DT",M,1
977,PRP VB VBP,TV,1
975,PRP VB .,UA,1
974,PRP VB .,RA,1
973,PRP VB .,DD,1
1057,PRP$ NN IN,RD,1
1058,PRP$ NN JJ,MP,1
1059,PRP$ NN JJ,S,1
1060,PRP$ NN JJR,DI,1
1145,RB MD VB,DY,1
1144,RB JJ RB,RY,1
1143,RB JJ PRP$,W,1
1142,RB JJ PRP,UY,1
1141,RB JJ PRP,MY,1
62,CC TO VB,R,1
1138,RB JJ IN,DY,1
1137,RB JJ CC,RY,1
63,CC VB DT,MN,1
1134,RB JJ .,MP,1
1133,RB JJ .,L,1
64,CC WP NNS,MT,1
1131,RB JJ -RRB-,UY,1
65,CD . IN,M,1
1127,RB IN WP,S,1
1126,RB IN WP,RP,1
1125,RB IN NNP,U,1
1123,RB IN NNP,MV,1
1122,RB IN IN,UY,1
1121,RB IN IN,RY,1
1119,RB IN DT,UY,1
1146,RB MD VB,RY,1
1147,RB MD VB,S,1
1148,RB MD VB,UY,1
1163,RB PRP VBD,RC,1
1173,RB RB DT,W,1
60,CC RB PRP,MT,1
1171,RB RB DT,DY,1
1170,RB PRP$ NNS,RC,1
1169,RB PRP$ NN,S,1
1168,RB PRP$ NN,RY,1
1167,RB PRP$ NN,R,1
1166,RB PRP VBZ,RP,1
1164,RB PRP VBD,RP,1
1161,RB NNS JJ,X,1
61,CC TO VB,MP,1
1159,RB NNS IN,RJ,1
1158,RB NNS IN,RD,1
1157,RB NNP RB,R,1
1156,RB NN _,DJ,1
1155,RB NN IN,RD,1
1153,RB NN CC,MP,1
1152,RB NN .,UY,1
1151,RB NN .,RP,1
1150,RB NN .,DJ,1
1118,RB IN DT,SX,1
1115,RB IN DT,RT,1
1114,RB IN DT,RP,1
70,CD IN NNS,AGN,1
1082,"RB , IN",FJ,1
1081,"RB , DT",UY,1
1080,"RB , DT",RY,1
1079,"RB , DT",R,1
1077,"RB , .",S,1
1076,PRP$ VBN IN,DA,1
1075,PRP$ VBD WRB,DA,1
1074,PRP$ VB .,DA,1
1073,PRP$ RB JJ,MP,1
1070,PRP$ NNS RB,MT,1
1085,"RB , RB",FY,1
1069,PRP$ NNS IN,MT,1
1068,PRP$ NN WRB,MT,1
1067,PRP$ NN VBP,W,1
1066,PRP$ NN VBG,MT,1
1065,PRP$ NN RB,MV,1
1064,PRP$ NN RB,MT,1
172,IN . RB,RT,1
1062,PRP$ NN PRP,MT,1
1061,PRP$ NN NNP,AGD,1
1084,"RB , IN",RY,1
1086,"RB , VBZ",RP,1
1112,RB IN DT,MP,1
1101,RB CC IN,MP,1
1111,RB IN DT,MA,1
1110,RB IN DT,ID,1
1109,RB IN DT,DJ,1
1108,RB IN $,W,1
1106,RB DT NNS,R,1
1105,RB DT NN,S,1
1104,RB DT NN,R,1
1103,RB DT NN,DY,1
1102,RB CC NN,UY,1
1100,RB CC IN,CL,1
1087,RB . _,DJ,1
1099,"RB CC ,",RY,1
1098,RB : .,DY,1
66,CD CC CD,MN,1
1096,RB . _,UT,1
67,CD CC NNS,FN,1
1093,RB . _,RJ,1
1092,RB . _,R,1
1091,RB . _,MP,1
68,CD DT CD,ID,1
944,"PRP JJ ,",UA,1
943,PRP IN NNP,AGA,1
942,PRP DT NNS,UA,1
829,"NNS , RB",FN,1
795,"NNP NNPS ,",RP,1
793,NNP NNP IN,S,1
792,NNP NNP CC,S,1
791,NNP NNP CC,MT,1
790,NNP NNP .,RP,1
788,NNP NN IN,W,1
787,NNP NN IN,RP,1
786,NNP NN DT,S,1
785,NNP NN DT,RP,1
784,NNP MD VB,S,1
783,NNP JJS CC,MP,1
782,NNP IN NN,S,1
778,NNP IN DT,MT,1
777,"NNP IN ,",MT,1
776,NNP DT NNS,S,1
775,NNP CC VBZ,S,1
774,NNP CC DT,S,1
773,NNP CC DT,RP,1
772,NNP . RB,RP,1
